PS No & Name,Address,Constituency Number
1 - Vadhona,"G. P. Prath. Shala,Vadhona",74
2 - Sawarla,"Z. P. Prath. Shala, Sawarla",74
3 - Puyaradand,"G. P. Prath. Shala,Puyardand",74
4 - Vakarla,"G. P. Uchch. Prath. Shala,Wakrla",74
5 - Amboli,"G. P. Uchch. Prath. Shala Juni Imarat,Amboli",74
6 - Amboli,"G. P. Uchch. Prath. Shala Navin Imarat,Amboli",74
7 - Javarabodi,"G. P. Prath. Shala,Jawarabodi",74
8 - Hivara,"G. P. Uchch. Prath. Shala,Hiwara",74
9 - Sathagaon,"G. P. Uchch. Prath. Shala,Sathgaon",74
10 - Shankarapur,"Vikas Prath.Shala,Shankarpur Purv Bhag Kholi No.1,Shankarpur",74
11 - Shankarapur,"Vikas Prath.Shala,Shankarpur Paschim Bhag Kholi No,Shankarpur",74
12 - Shankarapur,"G. P. Uchch Prath Kanya Shala Pashchimekadil Bhag,Shankarpur",74
13 - Shankarapur,"G. P. Uchch. Prath. Kanya Shala Purvekadil Bhag (police Chauki Jawal),Shankarpur",74
14 - Shankarapur,"G. P. Uchch. Prath. Kanya Shala Police Chowki Samoril Bhag,Shankarpur",74
15 - Chichala Kunabi,"G. P. Prath. Shala,Chichala Kunbi",74
16 - Kolari,"G. P. Uchch. Prath. Shala,Kolari",74
17 - Panjarepar,"G.P.Prath. Shala,Panjarepar",74
18 - Khairi,"G. P. Uchch. Prath. Shala,Khairi",74
19 - Kanapa,G. P. Prath. Shala Madhy Bhag Kanpa,74
20 - Kanpa,G. P. Prath. Shala Kholi Kr. 1 Kanpa,74
21 - Bikali,G. P. Prath. Shala Kholi Kr. 2 East Bhag Bikali,74
22 - Mohadi Mo,G. P. Uchch. Prath. Shala Kholi Kr. 1 Juni Imarat Mohadi Mo,74
23 - Mohadi Mo,G. P. Uchch. Prath. Shala Kholi Kr. 4 Navin Imarat Mohadi Mo,74
24 - Paharni,G. Pr. Prath. Shala Kholi Kr. 1 Paharani,74
25 - Paharni,G. P. Prath. Shala Kholi Kr. 2 Pahrani,74
26 - Dhorapa,G. P. Prath. Shala Dhorapa,74
27 - Iravha,G. P. Prath. Shala Iravha,74
28 - Torgaon Buj,G. P. East Madhy. Shala Kholi Kr. 1 Torgaon Bk,74
29 - Torgaon Buj,G. P. East Madhy. Shala Kholi Kr. 2 Torgaon Bk,74
30 - Kolari,G. P. Purv. Madhy. Shala Kolari,74
31 - Belgaon Jani,G. P. Prath. Shala Belgaon,74
32 - Torgaon Khurd,G. P. East Madhy. Shala Kholi Kr. 1 Torgaon Kh,74
33 - Torgaon Khurd,G. P. East Madhy. Shala Kholi Kr. 2 Torgaon Kh,74
34 - Dighori,G. P. Prath. Shala Dighori,74
35 - Nanhori,G. P. Uchch. Prath. Shala Kholi Kr. 1 Nanhori,74
36 - Nanhori,G. P. Uchch. Prath. Shala Kholi Kr. 3 Nanhori,74
37 - Kanhalgaon,G. P. Uchch. Prath. Shala Kholi Kr. 2 Kanhalgaon,74
38 - Nandgaon Jani,G. P. Purv. Madhy. Shala Kholi Kr. 1 Nandgaon Jani,74
39 - Nandgaon Jani,G. P. Purv. Madhy. Shala Kholi Kr. 2 Nandgaon Jani,74
40 - Bhaleshwar,G. P. Prath. Shala Bhaleshwar,74
41 - Arher Navargaon,G. P. Purv. Madhy. Shala Dakshin Bhag Arher Nawargaon,74
42 - Arher Navargaon,G. P. Purv. Madhy. Shala Uttar Bhag Arher Nawargaon,74
43 - Arher Navargaon,G. P. Pra. Shala Navin Imarat Kho. Kran. 1 Arher Nawargaon,74
44 - Pimpalgaon,G. P. Purv. Madhy. Shala Kholi Kr. 1 Pimpalgaon,74
45 - Pimpalgaon,G. P. Purv. Madhy. Shala Kholi Kr. 2 Pimpalgaon,74
46 - Pimpalgaon,G. P. Purv. Madhy. Shala Navin Imarat Pimpalgaon,74
47 - Ladaj,G. P. Prath. Shala Ladaj,74
48 - Chikhalgaon,G. P. Uchch. Prath. Shala Kholi Kr. 1 Chikhalgaon,74
49 - Chikhalgaon,G. P. Uchch. Prath. Shala. Kholi Kr. 2 Chikhalgaon,74
50 - Hardoli,Gramapanchayat Karyalay Hardoli,74
51 - Saundri,G. P. Uchch Prath. Shala Navin Imarat Sondri,74
52 - Navegaon Makta,G. P. Prath. Shala Nawegaon Makta,74
53 - Khandala,G. P. Uchch. Prath. Shala Khandala,74
54 - Khandala,G. P. Uchch. Prath. Navin Imarat Kholi Kr. 2 Khandala,74
55 - Kahali,G. P. Prath. Shala Kahali,74
56 - Khed Makta,G. P. Purv. Madhy. Shala Kholi Kr. 1 Khedmakta,74
57 - Khed Makta,G. P. East Madhy. Shala Kholi Kr. 2 Khedmakta,74
58 - Khed Makta,G. P. East Madhy. Shala Kholi Kr. 3 Khedmakta,74
59 - Khedamakta,G. P. East Madhy. Shala Kholi Kr. 4 Khedmakta,74
60 - Chandali,G. P. Prath. Shala Chandali,74
61 - Kaleta,G. P. Prath. Shala Kaleta,74
62 - Mararmendha,G. P. Prath. Shala Mararmendha,74
63 - Mayar,G. P. Prath. Shala Mayar,74
64 - Lakhapur,G. P. Prath. Shala Lakhapur,74
65 - Panoli,G. P. Prath. Shala Panholi,74
66 - Maushi,G. P. Prath. Shala Kholi Kr. 1 Uttar Bhag Maushi,74
67 - Maushi,G. P. Prath. Shala Kholi Kr. 2 Moushi,74
68 - Balapur Khurd,G. P. Prath. Shala Balapur Khu,74
69 - Panjarepar,G. P. Prath. Shala Panjarepar,74
70 - Kordha,G. P. Prath. Shala Kholi Kr. 1 Kordha,74
71 - Chikamara,G. P. Prath. Shala Chikmara,74
72 - Chikhal Parasodi,G. P. Prath. Shala Chikhalparsodi,74
73 - Vilam,G. P. Prath. Shala Vilam,74
74 - Mhasali,G. P. Prath. Shala Mahsali,74
75 - Telimedha,G. P. Prath. Shala Telimendha,74
76 - Kothulana,G. P. Prath. Shala Kothulana,74
77 - Sulezari,Anganwadi Sulezari,74
78 - Sulezari,z.p. New building Sulezari,74
79 - Bothali,OLD Grampanchayat Office Bothali,74
80 - Mangali Arab,G. P. Prath. Shala Dakshinekadil Kholi Mangali Arab,74
81 - Kotaganv,"Z.P. Prath. Shala,Kotgaon Navin Imarat Kotgoan",74
82 - Navakhala,G. P. Prath. Shala Dakshinekadil Kholi Kr. 1Navkhala,74
83 - Navakhala,G. P. Prath. Shala Dakshin Bhag Kholi Kr. 3 Navkhala,74
84 - Navakhala,G. P. Prath. Shala East Bhag Kholi Kr. 3 Navkhala,74
85 - Bamhani,G. P. Prath. Shala Bamani,74
86 - Pendhari Barad,G. P. Prath. Shala pendhari Barad,74
87 - Dongargaon,G. P. Prath. Shala Dongargoan,74
88 - Korambhi,G. P. Prath. Shala Korambhi,74
89 - Jhari,"G. P. Uchch Prath. Shala,Zari",74
90 - Kavadashi Desh,"G. P. Uchch Prath. Shala West Bhag,Kawadshi Desh",74
91 - Hirapur,"G. P. Uchch Prath. Shala,Hirapur",74
92 - Hirapur,"G. P. Uchch Prath. Shala Uttar Bhag,Hirapur",74
93 - Doma,"G. P. Ucch Prath. Shala Navin Imarat East Bhag,Doma",74
94 - Doma,"G. P. Uchch Prath. Shala West Bhag,Doma",74
95 - Chak Jatepar,"Z. P. Prath. Shala, Chak Jatepar",74
96 - Shivra,"G. P. Prath. Shala,Shiwara",74
97 - Gadapipari,"G. P. Prath. Shala,Gadpipari",74
98 - Sirasapur,"G. P. Prath. Shala,Siraspur",74
99 - Maagalgaon,"G. P. Uchch. Prath. Shala,Mangalgaon",74
100 - Mangalgaon,"G. P. Uchch. Prath. Shala,Mangalgaon",74
101 - Ambeneri,"G. P. Uchch Prath. Shala,Ambeneri",74
102 - Kaparla Khurd,"G. P. Uchch Prath. Shala,Kaparla Khurd",74
103 - Bhisi,"Z.P. Prath. Mulanchi Shala,Bhisi Navin Imarat,Bhisi",74
104 - Bhisi,"Z.P. Prath. Mulanchi Shala,Bhisi Navin Imarat,Bhisi",74
105 - Bhisi,"Aadarsh Janata Junior College, Bhisi",74
106 - Bhisi,"Aadarsh Janata Primary School , Bhisi",74
107 - Bhisi,"G. P. Prath. Mulinchi Shala Dakshin Bhag,Bhisi",74
108 - Bhisi,"G. P. Prath. Mulinchi Shala Uttar Bhag,Bhisi",74
109 - Bhisi,"Aadarsh Janata Junior College, Room No. 01, Bhisi",74
110 - Bhisi,"Aadarsh Janata Junior College, Room No.2, Bhisi",74
111 - Kanhalgaon,"G. P. Uchch. Prath. Shala,Kanhalgaon",74
112 - Yerkheda,"Z. P. Uchch. Prath. Shala, Yerkaeda",74
113 - Jamgaon Komati,"G. P. Uchch. Prath. Shala,Jamgaon Komti",74
114 - Mahalgaon Kalu,"G. P. Prath. Shala,Mahalgaon Kalu",74
115 - Garadapar,"G. P. Prath. Shala,Gardapar",74
116 - Tirakhura,"G. P. Prath. Shala,Tirkhura",74
117 - Naveganv Peth,"G. P. Prath. Shala,Navegaon Peth",74
118 - Paradapar,"G. P. Prath. Shala,Paradpar",74
119 - Jambhulaghat,"G. P. Prath. Shala Kholi Kr. 1,Jambhulghat",74
