PS No & Name,Address,Constituency Number
1 - 1- Nagri,"Jilha Parishad Primary School,Nagri North Side",75
2 - 2- Nagri,"Jilha Parishad Primary School, Nagri South Side Room No.1",75
3 - 3- Nagari,"Jilha Parishad Primary School,Nagri South Side Room No.2",75
4 - 4- Nagri,"Jilha Parishad Primary School,Nagri South Side Room No.3",75
5 - 5- Ukharda,"Zilha Parishad Primary School,Ukharda",75
6 - 6- Jamakhula,"Zilha Parishad Primary School,Jamkhula Room No.1",75
7 - 7- Jamkhula,"Zilha Parishad Primary School,Jamkhula Room No.2",75
8 - 8- Ajanagaon,Zilha Parishad Primary School Ajangaon South Side,75
9 - 9- Ajanagaon,Zilha Parishad Primary School Ajangaon North Side,75
10 - 10- Baravha,"Zilha Parishad Primary School, Baravha",75
11 - 11- Fattapur Rampur,"Zilha Parishad Primary School, Fattapur",75
12 - 12- Khambada,"Zilha Parishad Primary School, New Building Room No. 1",75
13 - 13- Khambada,"Zilha Parishad Primary School, New Building Room No. 2",75
14 - 14- Wathoda,"Zilha Parishad Primary School, Wathoda, Room NO. 1",75
15 - 15- Kosarasar,"Zilha Parishad Primary School, Kosarsar Room No.1",75
16 - 16- Kosarasar,"Zilha Parishad Primary School, Kosarsar Room No.2",75
17 - 17- Bodakha Md.,"Zilha Parishad Primary School, Bodkha Mo.",75
18 - 18- Susa,"Zilha Parishad Primary School, Susa",75
19 - 19- Mokhala,"Zilha Parishad Primary School, Mokhala",75
20 - 20- Abamakta,"Zilha Parishad Primary School, Abamakta",75
21 - 21- Wadagaon Makta,"Zilha Parishad Primary School, Vadagaon Makta",75
22 - 22- Yerakheda,"Zilha Parishad Primary School, Yerkheda",75
23 - 23- Paradi,"Zilha Parishad Primary School, Pardi",75
24 - 24- Ralegaon,"Zilha Parishad Primary School, Ralegaon",75
25 - 25- Nimdhela,"Zilha parishad Primary School, Nimdhela",75
26 - 26- Waygaon Bho.,"Zilha Parishad Primary School, Vaygaon Bho.Room No.1",75
27 - 27- Waygaon Bho.,"Zilha Parishad Primary School, Vaygaon Bho.Room No.2",75
28 - 28- Charagaon Bu.,"Zilha Parishad Primary School, Chargaon Bk.",75
29 - 29- Umari,"Zilha Parishad Primary School, Umari",75
30 - 30- Sakhara Raja,"Zilha Parishad Primary School, Sakhara Raja",75
31 - 31- Sumathana,"Zilha Parishad Primary School, Sumthana",75
32 - 32- Chakakavadapur,"Zilha Parishad Primary School, Chakakawdapur",75
33 - 33- Boragaon Shi,"Zilha Parishad Primary School, Borgaon Shi.",75
34 - 34- Mangali De.,"Zilha Parishad Primary School, Mangali De.",75
35 - 35- Talegaon,"Zilha Parishad Primary School, Talegaon",75
36 - 36- Umari Rai,"Zilha Parishad Primary School, Umari Rai.",75
37 - 37- Tumagaon,"Zilha Parishad Primary School, Tumgaon",75
38 - 38- Mahadoli,"Zilha Parishad Primary School, Mahadoli",75
39 - 39- Waghnakh,"Zilha Parishad Primary School, Vaghnakh",75
40 - 40- Yeoti,"Zilha Parishad Primary School, Yevti",75
41 - 41- Keli,"Zilha Parishad Primary School, Keli",75
42 - 42- Pauni,"Zilha Parishad Primary School, Pauni",75
43 - 43- Jalaka,"Zilha Parishad Primary School, Jalka",75
44 - 44- Kharavad,"Zilha Parishad Primary School, Kharvad",75
45 - 45- Chikani,"Zilha Parishad Primary School, Chikni North Side",75
46 - 46- Chikani,"Zilha Parishad Primary School, Chikni South Side",75
47 - 47- Jamani,"Zilha Parishad Primary School, Jamni",75
48 - 48- Khapari,"Zilha Parishad Primary School, Khapri",75
49 - 49- Atamurdi,"Zilha Parishad Primary School, Atamurdi",75
