PS No & Name,Address,Constituency Number
1 - Kosara,Z.P.Sr.P. School Kosara Room No.1,76
2 - Sawangi,Z.P Primary School Sawangi Room No.1,76
3 - Bori (Bu),Z.P.U.P. School Bori (Bu) Room No.1,76
4 - Chinchmandal,Z.P.Sr.P. School Chinchmandal Room No.1,76
5 - Chinchmandal,Z.P.Sr.P. School Chinchmandal Room No. 2,76
6 - Gadegaon,Z.P.Jr. Pri. School Gadegaon Room No.1,76
7 - Shivani (dhobe),Z.P.Sr.P. School Shivani (dhobe) Room No.1,76
8 - Kanda,Z.P.Jr.Pri. School Kanda Room No.1,76
9 - Chopan,Z.P.U.P. School Chopan Room No.1,76
10 - Chopan,Z.P.U.P. School Chopan Room No.2,76
11 - Majra,Z.P.U.P. School Majra Room No.1,76
12 - Hivaramajra,Z.P.Sr.P. School Hivaramajra Room No.1,76
13 - Dandgaon,Z.P.Jr.Pri. School Dandgaon Room No.1,76
14 - Apati,Z.P.Sr.P. School Apati Room No.1,76
15 - Vanoja,Z.P.Sr.P. School Vanoja Room No.2,76
16 - Macchindra,Z.P.Sr.P. School Macchindra Room No.1,76
17 - Macchindra,Z.P.Sr.P. School Macchindra Room No.2,76
18 - Mardi,Z.P.Sr.P. School Mardi Room No.1,76
19 - Mardi,Z.P.Sr.P. School Mardi Room No.5,76
20 - Devala,Z.P.Sr.P. School Dewala Room No.1,76
21 - Shindhi (M.),Z.P.U.P. School Sindi (M) Room No.1,76
22 - Shindhi (M.),Z.P.U.P. School Sindi (M) Room No.3,76
23 - Kothurla,Z.P. School Kothurla Room No. 1,76
24 - Kumbha,Z.P.kendriy Pri. School Kumbha Room No.1,76
25 - Kumbha,Z.P.kendriy Pri. School kumbha (North Side) Room No. 9,76
26 - Kumbha,Z.P.kendriy P. School Kumbha Room No.2,76
27 - Indiragram,Z.P. Primary School Indiragram Room No.1,76
28 - Kumbha,Z.P.kendriy P. School Kumbha Room No.8,76
29 - Ghoguldara,Z.P.Sr.P. School Ghogulthara Room No.1,76
30 - Shivnala,Z.P. School Room No. 1,76
31 - Gondburanda,Z.P.Sr.P. School Gondburandaa Room No.1,76
32 - Pahapal,Z.P.Sr.P. School Pahapal Room No.1,76
33 - Kinhala,Z.P.Jr.P. School Kinhala Room No.1,76
34 - Pisgaon,Z.P.Sr.P. School Pisgaon Room No.1,76
35 - Pisgaon,Z.P.Sr.P. School Pisgaon Room No.2,76
36 - Dhamni,Z.P.Sr.P. School Dhamani Room No.1,76
37 - Narsala,Z.P.Sr.P. School Narsala Room No.1,76
38 - Narsala,Z.P.Sr.P. School Narsala Room No.2,76
39 - Jalaka,Z.P.Sr.P. School Jalaka Room No.1,76
40 - Jalaka,Z.P.Sr.P. School Jalaka Room No.2,76
41 - Chi. Botoni,Z.P.Sr.P.School Chi. Botoni Room No.1,76
42 - Chi. Botoni,Z.P.Sr. P.School Chi. Botoni Room No.2,76
43 - Buranda,Z.P.Jr. Pri.School Buranda (Kha) Room No.1,76
44 - Buranda,Z.P.Jr. Pri.School Buranda (Kha) Room No.2,76
45 - Karanwadi,Z.P.Sr.P. School Karanwadi Room No.1,76
46 - Maregaon,Z.P.Sr.Pri. School Maregaon (Old Bilding) Room No.1,76
47 - Maregaon,Z.P.Sr.Pri. School Maregaon Old Bilding) Room No.4,76
48 - Maregaon,Z.P.Sr.Pri. School Maregaon Old Bilding) Room No. 6,76
49 - Maregaon,Z.P.Sr.Pri. School Maregaon Old Bilding) Room No. 7,76
50 - Maregaon,Z.P.Sr.Pri. School Maregaon (New Bilding) Room No.2,76
51 - Maregaon,Z.P.Sr.Pri. School Maregaon (New Bilding) Room No.3,76
52 - Maregaon,Z.P.Sr.Pri. School Maregaon (New Bilding) Room No.4,76
53 - Maregaon,Nagar Panchayat Maregaon (hall),76
54 - Maregaon,Z.P.Sr.Pri. School Maregaon Sarvshiksha abhiyan imarat Room No.1,76
55 - Chinchala,Z.P.Sr. P. School Chinchala Room No.1,76
56 - Akapur,Z.P.Jr. P. School Akapur Room No.1,76
57 - Shelu khu.,Z.P. School room no.20,76
58 - Rangana,Z.P. School room no.1,76
59 - Nandepera,Z.P. School room no.2,76
60 - Nandepera,Z.P. School room no.3,76
61 - Majara,Z.P. School room no.1,76
62 - Rajur Ijara,Z.P. School room no.1,76
63 - Rajur Ijara,Z.P. School room no.5,76
64 - Rajur Ijara,Z.P. School room no.4,76
65 - Rajur (Co.),Z.P. School room no.5,76
66 - Rajur (Co.),Z.P. School room no.3,76
67 - Rajur (Co),Rashrtriy Vidyalyay room no.1,76
68 - Rajur (Co.),Rashrtriy Vidyalyay room no.2,76
69 - Rajur (Co.),Z.P. School room no.1,76
70 - Rajur (Co.),Z.P. School room no.5,76
71 - Rajur (Co.),Z.P. Upper Primary School Room No. 4,76
72 - Nimbala (Road),Z.P. School room no.1,76
73 - Gaurala,Z.P.Sr. P. School Gaurala Room No.1,76
74 - Gaurala,Z.P.Sr. P. School Gaurala Room No.2,76
75 - Mangrul,Z.P.Sr.P. School Mangrul Room No.1,76
76 - Salebhatti,Z.P.Jr.Pri. School Salebhatti Room No.2,76
77 - Kolgaon,Z.P.P.Sr.School Kolgaon Room No.4,76
78 - Kolgaon,Z.P.P.Sr. School Kolgaon Room No.2,76
"79 - Hivari,",Z.P.U.P.School Hivari Room No.1,76
80 - Navargaon,Z.P.Jr. Pri. School Navargaon Room No.1,76
81 - Navargaon,Gram Panchayat Office Navargaon,76
82 - Mhaisathodaka,Z.P.Sr.Pri.School Mhaisathodaka Room No.1,76
83 - Sagnapur,Z.P.Sr. Pri. School Sagnapur Room No.5,76
84 - Sarati,Z.P.Sr.P.School Sarati Room No.1,76
