PS No & Name,Address,Constituency Number
1 - Saujana,Zilla Parishad. Primary School Saujana Room No. 1,77
2 - Shindi,Zilla Parishad. Primary School Shindi Room No. 1,77
3 - Varud,Zilla Parishad Primary School Varud Room No. 1,77
4 - Pachkhed,Zilla Parishad. Pra School Pachkhed Room No. 1,77
5 - Gharfal,Zilla Parishad. Primary School Gharfal Room No. 1,77
6 - Gharfal,Zilla Parishad. Primary School Gharfal Room No. 2,77
7 - Sarul,Zilla Parishad. Primary School Sarul Room No. 1,77
8 - Sarul,Zilla Parishad. Primary School SarulRoom No. 2,77
9 - Mahamadpur,Zilla Parishad. Primary School Mahamadpur Room No. 1,77
10 - Falegaon,Zilla Parishad. Primary School Falegaon Room No. 1,77
11 - Falegaon,Zilla Parishad. Primary School Falegaon Room No. 2,77
12 - Kolhi,Zilla Parishad. Primary School Kolhi Room No. 1,77
13 - Kolhi,Zilla Parishad. Primary School Kolhi Room No. 2,77
14 - Barad,Zilla Parishad. Primary School Barad Room No. 1,77
15 - Kotha Fattepur,Zilla Parishad. Primary School Kotha Fattepur Room No. 1,77
16 - Fattepur,Zilla Parishad. Primary School Fattepur Room No. 1,77
17 - Pimpalkhutha,Zilla Parishad. Primary School Pimpalkhutha Room No. 1,77
18 - Dhabha,Zilla Parishad. Primary School Dhabha Room No. 1,77
19 - Dhabha,Zilla Parishad. Primary School Dhabha Room No. 2,77
20 - Dhabha,Zilla Parishad. Primary School Dhabha Room No. 3,77
21 - Pahur,Zilla Parishad. Primary School Pahur Room No. 1,77
22 - Pahur,Zilla Parishad. Primary School Pahur Room No. 2,77
23 - Pahur,Zilla Parishad. Primary School Pahur Room No. 3,77
24 - Malapur,Zilla Parishad. Primary School Malapur Room No. 1,77
25 - Mitanapur,Zilla Parishad. Primary School Mitanapur Room No. 1,77
26 - Kharda,Zilla Parishad. Primary School Kharda Room No. 1,77
27 - Kharda,Zilla Parishad. Primary School Kharda Room No. 2,77
28 - Sarfali,Zilla Parishad. Primary School Sarfali Room No. 1,77
29 - Parsodi,Zilla Parishad. Primary School Parsodi Room No. 1,77
30 - Yarandgaon,Zilla Parishad. Primary School Yarandgaon Room No. 1,77
31 - Gondhali,Zilla Parishad. Primary School Gondhali Room No. 1,77
32 - Gondhali,Zilla Parishad. Primary School Gondhali Room No. 2,77
33 - Gavandi,Zilla Parishad. Primary School Gavandi Room No. 1,77
34 - Pratappur,Zilla Parishad. Primary School Pratappur Room No. 1,77
35 - Dhighi,Zilla Parishad. Primary School Dhighi Room No. 1,77
36 - Nagargaon,Zilla Parishad. Primary School Nagargaon Room No. 1,77
37 - Dehani,Zilla Parishad. Primary School Dehani Room No. 1,77
38 - Alegaon,Zilla Parishad. Primary School Alegaon Room No. 1,77
39 - Asegaon devi,Zilla Parishad. Primary School Asegaon devi Room No. 1,77
40 - Asegaon devi,Zilla Parishad. Primary School Asegaon devi Room No. 2,77
41 - Yavali,Zilla Parishad. Primary School Yavali Room No. 1,77
42 - Mahuli,Zilla Parishad. Primary School Mahuli Room No. 1,77
43 - Rani amravati,Zilla Parishad. Primary School Rani amravati Room No. 1,77
44 - Rani amravati,Zilla Parishad. Primary School Rani amravati Room No. 2,77
45 - Rani amravati,Zilla Parishad. Primary School Rani amravati Room No. 3,77
46 - Chimanapur,Zilla Parishad. Primary School Chimanapur Room No. 1,77
47 - Takalgaon,Zilla Parishad. Primary School Takalgaon Room No. 1,77
48 - Kopara Ja.,Zilla Parishad. Primary School Kopara Ja. Room No. 1,77
49 - Nandur Bk.,Zilla Parishad. Primary School Nandur Bk. Room No. 1,77
50 - Nandur Bk.,Zilla Parishad. Primary School Nandur Bk. Room No. 2,77
51 - Mangsawangi,Zilla Parishad. Primary School Mangsawangi Room No. 1,77
52 - Gimona,Zilla Parishad. Primary School Gimona Room No. 1,77
53 - Virkhed,Zilla Parishad. Primary School Virkhed Room No. 1,77
54 - Vatkhed Bk.,Zilla Parishad. Primary School Vatkhed Bk. Room No. 1,77
55 - Mubarakpur,Zilla Parishad. Primary School Mubarakpur,77
56 - Vatkhed khu.,Zilla Parishad. Primary School Vatkhed khu. Room No. 1,77
57 - Mitanapur,Zilla Parishad. Primary School Mitanapur Room No. 1,77
58 - Kondha,Zilla Parishad. Primary School Kondha Room No. 1,77
59 - Naygaon,Zilla Parishad. Primary School Naygaon Room No. 1,77
60 - Naygaon,Zilla Parishad. Primary School Naygaon Room No. 2,77
61 - Devgaon,Zilla Parishad. Primary School Devgaon Room No. 1,77
62 - GaNori,Zilla Parishad. Primary School GaNori Room No. 1,77
63 - GaNori,Zilla Parishad. Primary School GaNori Room No. 2,77
64 - Babhulgaon,Zilla Parishad. Primary School Babhulgaon Room No. 1,77
65 - Babhulgaon,Zilla Parishad. Primary School Babhulgaon Room No. 2,77
66 - Babhulgaon,Zilla Parishad. Primary School Babhulgaon Room No. 1,77
67 - Babhulgaon,Zilla Parishad Primary School Babhulgaon Room No. 2,77
68 - Umari,Zilla Parishad. Primary School Umari Room No. 1,77
69 - Chondhi,Zilla Parishad. Primary School Chondhi Room No. 1,77
70 - Sawar,Zilla Parishad. Primary School Sawar Room No. 1,77
71 - Sawar,Zilla Parishad. Primary School Sawar Room No. 2,77
72 - Sawar,Zilla Parishad. Primary School Sawar Room No. 3,77
73 - Galva,Zilla Parishad. Primary School Galva Room No. 1,77
74 - Galavha,Z. P. pri. School Galavha Kholi Kr.. 2,77
75 - Karlgaon,Zilla Parishad. Primary School Karlgaon Room No. 1,77
76 - Sukali,Zilla Parishad. Primary School Sukali Room No. 1,77
77 - Panchgavan,Zilla Parishad. Primary School Panchgavan Room No. 1,77
78 - Krushnapur,Zilla Parishad. Primary School Krushnapur Room No. 1,77
79 - Pimpari Izara,Zilla Parishad. Primary School Pimpari Izara Room No. 1,77
80 - Nandesawangi,Zilla Parishad. Primary School Nandesawangi Room No. 1,77
81 - Tambha,Zilla Parishad. Primary School Tambha Room No. 1,77
82 - Veni,Zilla Parishad. Primary School Veni Room No. 1,77
83 - Veni,Zilla Parishad. Primary School Veni Room No. 2,77
84 - Loni,Zilla Parishad. Primary School Loni Room No. 1,77
85 - Kotamba,Zilla Parishad. Primary School Kotamba Room No. 1,77
86 - Kotamba,Zilla Parishad. Primary School Kotamba Room No. 2,77
87 - Madani,Zilla Parishad. Primary School Madani Room No. 1,77
88 - Madani,Zilla Parishad. Primary School Madani Room No. 2,77
89 - Nandura Khu.,Zilla Parishad. Primary School Nandura Khu. Room No. 1,77
