PS No & Name,Address,Constituency Number
1 - Wai,Z. P. Primary School North Area Room No. 1 Wai,78
2 - Wai,Z. P. Primary School North Area Room No. 2 Wai,78
3 - Aasola,Z. P. Upper Primary School New Building Room No.4 Asola,78
4 - Pandhurna,Z. P. Primary School South Area Room No. 1 Pandhurna,78
5 - Kapra Method,Z. P. Primary School South Room No. 1 Kapra Methad,78
6 - Kapra Method,Z. P. Primary School South Room No. 2 Kapra Methad,78
7 - Bhisani,Z. P. Primary School Room No. 1 Bhisani,78
8 - Tembhurni,Z. P. Upper Primary School New Building Room No. 2 Tembhurni,78
9 - Kita,Grampanchayat Office Room No.. 1 Kita,78
10 - Lasina,Z. P. Primary School South Area Room 1 Lasina,78
11 - Lasina,Z. P. Primary School North Area Room No.2 Lasina,78
12 - Pimpalgaon,Lalbahadur N.P.Primary School Room No.8 Pimpalgaon,78
13 - Pimpalgaon,Mahila Sanskrutik Bhavan Nagar Parishad Sai Nagar Room No. 1 Pimpalgaon,78
14 - Pimpalgaon,Mahila Sanskrutik Bhavan Nagar Parishad Sai Nagar Room No. 2 Pimpalgaon,78
15 - Pimpalgaon,Wedadharini Primary School Room No. 1 Pimpalgaon,78
16 - Pimpalgaon,Z.P. H. Primary School Green Park Society Room No.1 Pimpalgaon,78
17 - Pimpalgaon,Wedadharini Primary School Room No.3 Pimpalgaon,78
18 - Pimpalgaon,Wedadharini Primary School Room No. 2 Pimpalgaon,78
19 - Moha,Z. P. Upper Primary School New Building Room No. 3 Moha,78
20 - Moha,Z. P. Upper Primary School New Building Room No. 7 Moha,78
21 - Moha,Z. P. Upper Primary School New Building Room No. 5 Moha,78
22 - Moha,Z. P.Upper Primary School New Building Room No.9 Moha,78
23 - Moha,Z. P.Upper Primary School New Building Room No.6 Moha,78
24 - Borgaon,Z. P. Primary School Room No. 1 Borgaon,78
25 - Madkona,Z. P..Primary School Room No.3 Madkona,78
26 - Madkona,Z. P. .Primary School Room No.2 Madkona,78
27 - Dorli,Z. P. Upper Primary School East Side Room No. 1 Dorli,78
28 - Dorli,Z. P. Upper Primary School East Side Room No. 3 Dorli,78
