PS No & Name,Address,Constituency Number
1 - parule karli,z.p.Purn Primary school parule karliwadi,79
2 - parule Kalwand,z.p.Purn Primary school parule kalwand,79
3 - Parule,z.p. Primary school parule gawan,79
4 - Parule,z.p.Purn primary central school parule no-3,79
5 - Parule chipi,z.p.Purn Primary school parule chipi,79
6 - Ravadas,kai.Balkrishanya Vishram Prabhu Ravadaskar vidyalaya kushewada (parule) (east area),79
7 - Ravadas,kai.Balkrishanya Vishram Prabhu Ravadaskar vidyalaya kushewada ( parule) (west area),79
8 - Shelapi,Z.P.Purn Primary school Shelapi,79
9 - Bhogave,Z.P.Purn Primary school Bhogave No1,79
10 - Kochare,Z.P. Primary school Shriram vidhyalaya kochare shriramwadi,79
11 - Kochare,Gopalrao zile prabhu jivan shikshan Central School Kochare no 1,79
12 - Kochare,Saraswati Vidyalaya Kochare,79
13 - Shriram wadi medha,Z.P. Purn Primary Pratap pandit school medha-nivati,79
14 - Mhapan,Z.P.Center School Mhapan no 1 (East area),79
15 - Mhapan,Z.P.Center School Mhapan no 1 (West area),79
16 - Khavane,z.p. primary school mhapan malai,79
17 - Khavane,purn primary school mhapan khavane,79
18 - Kelus,Navbharat Vidyalaya Kelus No 1,79
19 - Kelus,Z.P.Purn Primary school Kelus Kalavi,79
20 - Talekarwadi,Z.P.Purn Primary school Wayangani Surangpani (Khanoli) (adjacent building),79
21 - Khanoli,Z.P.Sindhudurg jivan shikashan school Khanoli No 1,79
22 - Vetore,Z.P.Primary school Vetore No 2 (east part ),79
23 - Vetore,Z.p.Primary school Vetore No 2 (West part),79
24 - Vetore,Z.P.purn primary Center School Vetore no 1 (East part),79
25 - Vetore,Z.P.purn primary Center School Vetore no.1 (West part),79
26 - Aadeli,Z.P.Purn Primary school no.1 Adeli,79
27 - Aadeli bhandarwada,shri.sharada VidyaMandir Bhandarwada,79
28 - Aadeli,Z.P.purn Primary school Khutavalwadi Aadeli,79
29 - Kamalevir,"Ekatmik Balvikas seva yojana vengurle, Aanganwadi Adeli Kamlevir",79
30 - Vajarat,Z.P.Sindhudurg purn Primary School No 1 Vajarat,79
31 - Vajarat (pimpalache Bharad),Z.P.Primary School vajarat No.4 Pimpalache Bharad,79
32 - Vajarat (devasu),Z.P.Sindhudurg Primary School Devasu No 2,79
33 - Hodawada,Z.P.purn Primary School No 2 Hodawada,79
34 - Hodawada,Z.P.Center School Hodawade No 1,79
35 - Hodawada (subhash vadi),Z.P.Purn Primary School Subhashwadi,79
36 - Math,Kai.Dr.Raysaheb Ramaji Dhondaji Khanolakar High School Math Room No.04,79
37 - Math,Kai.Raysaheb Dr.Ramaji Dhondaji Khanolakar Z.P.Purn primary Center School No 1,79
38 - Dabholi,Z.P.Sindhudurg Purn Prathmik Shala Dabholi (Room No.1),79
39 - Dabholi,Z.P.Purn Primary School Dabholi No 1,79
40 - Wayangani,Z.P.Purn Primary School Wayangani No 2,79
41 - Wayangani,Shri.Dev Sidheshwar Rawalnath Prasanna Grampanchayat Karyalaya Wayagani.,79
42 - Vengurla,Kai.laxman Mahadev Varasakar School Z.P. School vengurle Bhatwadi No 2,79
43 - Vengurla,Z.P. Primary School Bhatwadi No 1,79
44 - Vengurla,Z.P.Purn primary school vengurle no.3 (East Part),79
45 - Vengurla,Z.P. Purn Primary School vengurla No 3 (West Part),79
46 - Vengurla,Rani Laxmibai Marathi Kanyashala Vengurla Kubalwada,79
47 - Vengurla,z.p.Purn primary School Dabhos Vengurla,79
48 - Vengurla,z.p.Purn primary School No. 2 Vengurla,79
49 - Vengurla,Taluka School No. 1 Vengurla (North Part),79
50 - Vengurla,Kai Bhaurao Mahadev Parab Vidyamandir Purn Primary School vengurle no.4,79
51 - Vengurla,Vengurla High School Vengurla,79
52 - Tulas,Shri. Rayat Shikshan Sanstheche Shivaji High School Tulas,79
53 - Tulas,Z.P.Sindhudurg Shri Jaitir Vidyalaya Tulas (West Part),79
54 - Tulas,Z.P.Sindhudurg Shri Jaitir Vidyalaya Tulas (East Part),79
55 - Tulas,Shri Vetal Vidyamandir Tulas,79
56 - Tulas,Shri Saraswati Vidyalaya Tulas Palatad,79
57 - Parabwada,Z.P.Purn Primary School Parabwada no. 1,79
58 - Aadari,Z.P. Primary School Ubhadanda Bhendmala (South Part),79
59 - Ubhadanda,Z.P.Purn Primary School Ubhadanda Navabag,79
60 - Ubhadanda,Z.P.Purn Primary School Bagayat Ubhadanda (East Part),79
61 - Ubhadanda,Center School Ubhadanda No. 1,79
62 - Aadari,Z.P. Purn Primary School No. 2 Ubhadanda,79
63 - Aadari,Z.P. Purn Primary School Ubhadanda No. 3 (East Part),79
64 - Aadari,Z.P. Purn Primary School Ubhadanda No. 3 (West Part),79
65 - Mochemad,Z.P. Purn Primary School Mochemad,79
66 - Ansur,Z.P. Purn Primary School Varache Ansur,79
67 - Asoli,Aasoli Nhaichiaad Z.P. Primary School,79
68 - Aasoli Pal,Z.P. Sindhurdurg Shri Khajanadevi Vidyamandir Pal,79
69 - Matond,z.p.purn primary school matond no.1 Karyalay kholi (North Part),79
70 - Matond,z.p.purn primary school matond no.1 empty Room (South Part),79
71 - Matond,Shri Sharada Vidyamandir Matond Bambar No. 5 (North Part),79
72 - Matond (pendur),Shri Kuldevata Vidyamandir Z.P. Purn Primary School Pandur Pendharyachiwadi,79
73 - Satwayangani,Z.P. Matond Satwayangani School No. 4,79
74 - Asoli,Shri Dev Narayan Vidyamandir Purn Primary School Aasoli No. 1 (South Part),79
75 - Asoli,Shri Dev Narayan Vidyamandir Purn Primary School Aasoli No. 1 (East Part),79
76 - Aarawali,Z.P. Purn Primary School Aarawali Tak,79
77 - Aarawali Tak,Saraswati Vidyalaya Aarawali Tak,79
78 - Aarwarli,Jivan Shikshan School No. 1 (East Part),79
79 - Aarwarli,Jivan Shikshan School No. 1 (West Part),79
80 - Aarwarli Sonsure,Purn Primary Marathi School Arawali Sonsure,79
81 - Shiroda,Z.P. Purn Primary School Khrdewadi Shiroda,79
82 - Shiroda,Z.P. Purn Primary School Kervada (Shiroda) (North Part),79
83 - Shiroda,Z.P. Purn Primary School Kervada (Shiroda) (South Part),79
84 - Shiroda,Central Primary School Shiroda No. 1,79
85 - Shiroda,Guruvarya A.V.Bawadekar Vidyalaya shiroda,79
86 - Shiroda,Z.P.Primary School Shiroda Gawadewadi,79
87 - Huda,Shri Satyapurush Vidyamandir Redi Hudawadi,79
88 - Redi,Z.P. Purn Primary School Sukhalbhat No. 2 (South Part),79
89 - Redi,Z.P. Purn Primary School Sukhalbhat No. 2 (North Part),79
90 - Redi,Central Primary School Redi No. 1 (East Part),79
91 - Redi,Central Primary School Redi No. 1 West Part),79
92 - Kanyal,Z.P. Primary School Redi Kanyal,79
93 - Gavtale,Z.P. Primary School Redi Gavtale,79
94 - Kolgaon,Z. P. Primary School Kolgoan No. 3,79
95 - Kolgaon,Z.P. Primary School Kolgaon No. 2,79
96 - Kolgaon,Z.P. Primary School Kolgaon No. 2,79
97 - Kolgaon,Z.P. Primary School Kolgaon No. 1,79
98 - Kolgaon,Z.P. Primary School Kolgaon No. 4 Metwadi,79
99 - Kunkeri,Z. P.Primary. School kunkeri No. 1,79
100 - Kunkeri,Z.P.Primary School Kunkeri No. 2,79
101 - Ambegaon,Z.P. Primary School Ambegaon No. 1,79
102 - Madkhol,Z.P. Primary School Madkhol No. 2 Dhavadaki,79
103 - Madkhol,Z.P.Primary School Madkhol No. 3,79
104 - Madkhol,Z.P. Primary Kendra School Madkhol No. 1,79
105 - Sangeli,Z.P. Primary School Kendra Sangeli No.1 (South Part),79
106 - Sangeli,Z.P. Primary School Kendra Sangeli No.1 (North Part),79
107 - Sangeli,Z.P.Primary School Sangeli Gurgut,79
108 - Sawarwad,Z.P.Primary School Sangeli Sawarwad,79
109 - Ovaliye,Z.P.Primary School Ovaliye,79
110 - Kalambist,Kalambist High School (East Part),79
111 - Kalambist,Kalambist High School (West Part),79
112 - Shirshinge,Z.P. Pu. Primary School Shirshinge No. 1,79
113 - Shirshinge,Z.P.Primary School Shirshinge Gothave,79
114 - Verle,Z.P.Primary School Verle No. 1 (East Part),79
115 - Verle,Z.P.Primary School Verle No. 1 (West Part),79
116 - Gele,Z.P. P. Primary School Gele No. 1,79
117 - Amboli,Panchakaroshi Shikshan Prasarak Mandal Amboli Unioun English School Amboli,79
118 - Amboli,Z.P. Primar School Amboli Gavthan No. 6,79
