PS No & Name,Address,Constituency Number
1 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aashram School Nagaon Bari Vidhyawadi Deopur Room No. 2,7
2 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aashram School Nagaon Bari Vidhyawadi Deopur Room No. 4,7
3 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aashram School Nagaon Bari Vidyawadi Deopur Room No. 5,7
4 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aasharam School Nagaon Bari Vidyawadi Deopur Room No. 7,7
5 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aasharam School Nagaon Bari Vidyawadi Deopur,7
6 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aashram School Nagaon Bari Vidhyawadi Deopur Room No. 8,7
7 - Dhule Devpur Nagaon Bari,Satpuda Vidyalay Primary Aashram School Nagaon Bari Vidyawadi Deopur Room No. 10,7
8 - Dhule Deopur Sharada Nagar,Ekavira Vidyalay Devapur North Side building west side Room No. 1,7
9 - Dhule Devpur Sharda Nagar,Ekavira Vidyalay Devapur North Side building west side Room No. 2,7
10 - Dhule Devpur Sharda Nagar,Ekavira Vidyalay Devapur South Side building Room No.2,7
11 - Dhule Devpur Sharda Nagar,Ekvira Vidyalay Deopur East Side building Room No. 4,7
12 - Dhule Devpur Sharda Nagar,Ekavira Vidyalay Devapur South Side building Room No. 3,7
13 - Dhule Devpur Sharda Nagar,Ekavira Vidyalay Devapur East Side building Room No. 1,7
14 - Dhule Devpur Sharda Nagar,Ekavira Vidyalay Devapur South Side building Room No. 1,7
15 - Dhule Devpur Donde Colony.,Adarsh Madhyamik. Vidyalay East Side Room No. 1,7
16 - Dhule Devpur Donde Colony.,Aadarsh Madhyamik Vidyalay East Side Room No. 5,7
17 - Dhule Devpur Donde Colony.,Adarsh Madhyamik. Vidyalay South Side building Room No. 1,7
18 - Dhule Devpur Donde Colony.,Aadarsh Madhyamik Vidyalay South Side building Room No. 4,7
19 - Dhule Devpur Agra Road,Mahajan High school North Side building Room No. 1,7
20 - Dhule Devpur Agra Road,Mahajan High school North Side building Room No. 6,7
21 - Dhule Devpur Agra Road,Mahajan High school East Side building Nourth Side Room No. 2,7
22 - Dhule Devpur Agra Road,Mahajan High school East Side building Nourth Side Room No. 4,7
23 - Dhule Devpur Agra Road,Mahajan High school East Side building Nourth Side Room No. 6,7
24 - Dhule Devpur Agra Road,Mahajan High school East Side building Nourth Side Room No. 8,7
25 - Dhule Devpur Agra Road,Mahajan High school East Side building Nourth Side Room No. 10,7
26 - Dhule Devpur Agra Road,Shrimati Reshmabai Gajmal Mali Primary Vidyamandir South Side building Room No. 1,7
27 - Dhule Devpur Agra Road,Shrimati Reshmabai Gajmal Mali Primary Vidyamandir South Side building Room No. 2,7
28 - Dhule Devpur Agra Road,Shrimati Reshmabai Gajmal Mali Primary Vidyamandir South Side building Room No. 3,7
29 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor South Side Room No. 1,7
30 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor South Side Room No. 2,7
31 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor North Side Building West side,7
32 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor South Side Room No. 3,7
33 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor South Side Room No. 4,7
34 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor North Side Room No. 4,7
35 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor North Side Room No. 3,7
36 - Dhule Devpur Agra Road,L M Sardar Urdu School Ground Floor North Side,7
37 - Dhule Devpur Agra Road,M.N.P. Urdu School No. 10 Devapur Room No. 1,7
38 - Dhule Devpur Agra Road,M.N.P.Urdu School No. 10 Devapur Room No. 2,7
39 - Dhule Devpur Agra Road,M.N.P.Urdu School No. 10 Devapur,7
40 - Dhule Devpur,Rajiv Gandhi Primary School Deopur West Side building Ground Floor Room No. 1,7
41 - Dhule Devpur,Rajiv Gandhi Primary School Deopur West Side building Ground Floor Room No. 3,7
42 - Dhule Devpur,Rajiv Gandhi Primary School Deopur West Side building Ground Floor Room No. 6,7
43 - Dhule Devpur Vadibhokar Road,"Samaj Sudharak Mandal Marathi School,Shaskiy Vasahat , Devpur Dhule, East Side Room No.2",7
44 - Dhule Devpur,"Samaj Sudharak Mandal Marathi School,Shaskiy Vasahat , Devpur East Side Room No.3",7
45 - Dhule Devpur Vadibhokar Road,"Samaj Sudharak Mandal Marathi School,Shaskiy Vasahat , Devpur Dhule, East Side Room No.5",7
46 - Dhule Devpur Vadibhokar Road,"Samaj Sudharak Mandal Marathi School,Shaskiy Vasahat , Devpur Dhule, East Side Room No.5",7
47 - Dhule Devpur,Jai Hind College Devapur North Side Room No. 1,7
48 - Dhule Devpur,Jai Hind College Devapur North Side Auditirum and Jim Hall,7
49 - Dhule Devpur,Unnati School Devapur East Side Room No. 1,7
50 - Dhule Devpur,Unnati School Devapur East Side Room No. 2,7
51 - Dhule Devpur,Unnati School Deopur East Side Room No. 3,7
52 - Dhule Devpur,Unnati School Deopur East Side Room No. 4,7
53 - Dhule Devpur,Unnati School Deopur East Side Room No. 5,7
54 - Dhule Devpur,"Unnati School Deopur North side East West Building, Room No.3 From west",7
55 - Dhule Devpur,Aadishakti Kanushri Primary Vidyalay Deopur Pramodnagar East Side Room No. 3,7
56 - Dhule Devpur,Aadishakti Kanushri Primary Vidyalay Deopur Pramodnagar East Side Room No. 2,7
57 - Dhule Devpur,Dr. Baba Saheb Ambedkar School Devapur East Side Room No. 1,7
58 - Dhule Devpur,Dr. Baba Saheb Ambedkar School Devapur East Side Room No. 2,7
59 - Dhule Devpur,Dr. Baba Saheb Ambedkar School Devapur South Side Room No. 3,7
60 - Dhule Devpur,Dr.Babasaheb Ambedkar School South Side Room No. 4,7
61 - Dhule Devpur,Dr. Baba Saheb Ambedkar School Devapur South Side Room No. 5,7
62 - Dhule Devpur,Jai Hind School Devapur South Side building Room No. 1,7
63 - Dhule Devpur,Jaihind School Devapur North Side building Room No. 1,7
64 - Dhule Devpur,Jai Hind School Devapur North Side building Room No. 2,7
65 - Dhule Sharda Nagar Devpur,R. K. Chitale School Devapur Room No. 1,7
66 - Dhule Devpur,R. K. Chitale School Devapur Room No. 2,7
67 - Dhule Nehru Nagar,R. K. Chitale School Devapur Room No. 3,7
68 - Dhule Nehru Nagar,R. K. Chitale School Devapur Room No. 4,7
69 - Dhule Nehru Nagar,R. K. Chitale School Devapur Room No. 5,7
70 - Dhule Devpur,Maharana Pratap School South Side building Room No. 1,7
71 - Dhule Devpur,Maharana Pratap School South Side building Room No. 2,7
72 - Dhule Devpur,Maharana Pratap School South Side building Room No. 3,7
73 - Dhule Devpur,Bhagini Seva Mandal Girls School devapur Ground Floor Room No. 1,7
74 - Dhule Devpur,Bhagini Seva Mandal Girls School Deopur Ground Floor North Side building Room No. 1,7
75 - Dhule Devpur,Bhagini Seva Mandal Girls School Deopur Ground Floor North Side building Room No. 2,7
76 - Dhule Devpur,Bhagini Seva Mandal Girls School Deopur Ground Floor West Side Room No. 1,7
77 - Dhule Devpur,Bhagini Seva Mandal Girls School Deopur Ground Floor West Side Room No. 2,7
78 - Dhule Subhash Nagar,M.N.P. Primary Girls School No.22 East Side building Room No. 1,7
79 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 22 East Side building Room No. 2,7
80 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 11 Subhash Nagar South Side building Room No. 1,7
81 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 11 Subhash Nagar South Side building Room No. 2,7
82 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 16 Subhash Nagar North Side. building Room No. 1,7
83 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 16 Subhash Nagar North Side. building Room No. 2,7
84 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. . 16 Subhash Nagar North Side. building Room No. 3,7
85 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 2 North Side building Subhash Nagar Room No. 1,7
86 - Dhule Subhash Nagar,M.N.P. Primary Grils School No. 2 North Side building Subhash Nagar Room No. 2,7
87 - Dhule Subhash Nagar,M.N.P. Primary Girls School No.2 Subhash nagar South Side Hall,7
88 - Dhule Subhash Nagar,M.N.P. Primary Girls School No.2 Subhash nagar West Side building Room No. 2,7
89 - Dhule Subhash Nagar,M.N.P. Primary Girls School No.2 Subhash nagar West Side building Room No. 4,7
90 - Dhule Subhash Nagar,M.N.P. Primary Girls School No.2 Subhash nagar South Side building Room No. 7,7
91 - Dhule Subhash Nagar,Dudhodiya School East Side New building Room No. 6,7
92 - Dhule Parola Road,Dudhodiya School East Side New building Room No. 1,7
93 - Dhule Parola Road,Dudhodiya School East Side New building Room No. 2,7
94 - Dhule Parola Road,Dudhodiya School East Side New building Room No. 3,7
95 - Dhule Parola Road,Dudhodiya School East Side New building Room No. 4,7
96 - Dhule Parola Road,Dudhodiya School East Side building West Side Room No. 3,7
97 - Dhule Parola Road,Dudhodiya School East Side building West Side Room No. 1,7
98 - Dhule Parola Road,Dudhodiya School South Side building West Side Room No. 1,7
99 - Dhule Parola Road,Dudhodiya School South Side building West Side Room No. 2,7
100 - Dhule Parola Road,Dudhodiya School South Side building Room No. 3,7
101 - Dhule Parola Road,Gindodiya High school Room No. 1,7
102 - Dhule Parola Road,Gindodiya High school Room No. 2,7
103 - Dhule Parola Road,Gindodiya High school Room No. 3,7
104 - Dhule Parola Road,Gindodiya High school Room No. 4,7
105 - Dhule Parola Road,Gindodiya High school Room No. 5,7
106 - Dhule Parola Road,Dudhodiya School East Side New building Room No. 7,7
107 - Dhule Parola Road,"M.N.P. School No.3, Kalamandir, Parola Road, East Side building, South Side Room No. 1.",7
108 - Dhule Parola Road,"M.N.P. School No.3, Kalamandir, Parola Road, East Side building, South Side Room No. 2.",7
