PS No & Name,Address,Constituency Number
1 - Loni,"Loni ,Z.P.Primary Marathi School Room No.1",80
2 - Loni,"Loni ,Z.P.Primary Marathi School Room No.2",80
3 - Loni,Grampanchayat Office Loni,80
4 - Gangaon,Z p School Gangaon,80
5 - Taroda,Z P primary school Taroda,80
6 - Deogaon,Z.P.PRIMARY SCHOOL DEVAGAV,80
7 - Khed,Z.P.Primary School Deogaon,80
8 - Khed,Z P praimary Scholl Khed,80
9 - Bid,Z P primary school Bid-,80
10 - Khandala,Z P primary school Khandala,80
11 - Jawala,Z P primary school Jawala,80
12 - Jawala,Z P primary school Jawala,80
13 - Jawala,gurudev vidyamandir room no 1 Jawala,80
14 - Jawala,Grampanchayat Karyalay Room No.1 Jawala,80
15 - Jawala,gurudev vidyamandir room no 3 Jawala,80
16 - Bramhanwada,Z P primary school Bramhanwada,80
17 - Shelu Br,Z P primary school Shelu Br,80
18 - Jamb,Z P primary school Jamb,80
19 - Shirpur,Z P primary school Shirpur,80
20 - Umari P,Z P primary school Umari P,80
21 - Mahalungi,Z.P.Primary School Mahalungi,80
22 - Mahalungi,Z.P.Primary School Mahalungi,80
23 - Chikani,Z.P.Primary School Chikani,80
24 - Gavana,Z P primary school Gavana,80
25 - Shekalgaon,Z P primary school Shekalgaon,80
26 - Mhasola,Z P primary school Mhasola Room No 1 New Building,80
27 - Mhasola,Z P primary school Mhasola Room No 2 New Building,80
28 - Borgaon Pu,Zilha Parishad Prathamik Marathi Shala Borgaon poo Kholi Kramank 2,80
29 - Borgaon Pu,Zilha Parishad Prathamik Marathi Shala Borgaon Poo Kholi Kramank 3,80
30 - Pahur N,Zilha Parishad Prathamik Marathi Shala Pahur Naskari Kholi Kramank 1,80
31 - Pahur N,Zilha Parishad Prathamik Marathi Shala Pahur Naskari Kholi Kramank 2,80
32 - Dabhadi,Zilha Parishad Prathamik Marathi Shala Dabhadi Kholi No. 1,80
33 - Dabhadi,Zilha Parishad Prathamik Marathi Shala Dabhadi Kholi No.2,80
34 - Kinhi,Z.P.Primary School Kinhi,80
35 - Satara,Z P primary school Satara,80
36 - Parsoda,Z.P.Primary School Parsoda,80
37 - Saykheda,Z.P.Primary School Saykheda,80
38 - Kopra,Primary School Kopra,80
39 - Bhandari,Z P primary school Bhandari,80
40 - Bhandari,Z.P.Primary School Bhandari J,80
41 - Dattarampur,N P primary school No.8 Dattarampur,80
42 - Umari I,Zilha Parishad Prathamik Marathi Shala Umari Izaara Kholi No.1,80
43 - Umari I,Zilha Parishad Prathamik Marathi Shala Umari Izaara Kholi No.2,80
44 - Pangari,Zilha Parishad Prathamik Marathi Shala Pangari Kholi No.1,80
45 - Pangari,Zilha Parishad Prathamik Marathi Shala Pangari Kholi No.2,80
46 - Chandapur,Z.P. Primary School Building Room No.1 Chandapur,80
47 - Kurha d,Z.P. Primari School Room No. 1,80
48 - pandhurna bu.,Z.P. Higher Primary School Building Room No.1 Pandhurna Bu.,80
49 - pandhurna khu.,Z.P. Higher Primary School Building Room No. 2 Pandhurna Khu.,80
50 - murali,Z.P. Higher Primary School Building Room no. 1 Murli,80
51 - murali,Anganvadi Building Room No. 2 Murli,80
52 - kondajhai,Vasti School Building Room No. 1 Konjhai,80
53 - dattapur,Z.P. Primary School Building Room No.1 Dattapur,80
54 - belora,Z.P. Higher Primary School Building Room No.4 Belora,80
55 - belora,Z.P. Higher Primary School Building Room No.3 Belora,80
56 - khapari,Z.P. Primary School Building Room No.1 Purvekadil Bhag Khapari,80
57 - khapari,Z.P. Primary School Building Room No.4 Khapari,80
58 - khapari,Z.P. Primary School Building Room No.2 Khapari,80
59 - anji nru.,Z.P. Primary School Building Room No.1 Anji Nru. Purvekadil Bhag,80
60 - anji nru.,Z.P. Higher School Building Room no. 2 Anji Nru.,80
61 - kumbhari,Z.P. Primari School Room No. 1,80
62 - tivsala,Z.P. Higher Primary School Building Room No.1 Tivsala,80
63 - Talani,Zilha Parishad Prathamik Marathi Shala Talani Kholi No.1,80
64 - Talani,Zilha Parishad Prathamik Marathi Shala Talani Kholi No.2,80
65 - Kurha T,Zilha Parishad Prathamik Marathi Shala Kurha Talani Kholi No.2,80
66 - Kurha T,Zilha Parishad Prathamik Marathi Shala Kurha Talani Kholi No.3,80
67 - Anji Na,Zilha Parishad Prathamik Marathi Shala Anji Na Kholi No.1,80
68 - Anji Na,Zilha Parishad Prathamik Marathi Shala Anji Na Kholi No.3,80
69 - Borgaon,Zilha Parishad Prathamik Marathi Shala Borgaon Da Kholi No.1,80
70 - Borgaon,Zilha Parishad Prathamik Marathi Shala Borgaon Da Kholi No.2,80
71 - Borgaon,Zilha Parishad Prathamik Marathi Shala Borgaon Da Kholi No.3,80
72 - Tendoli,Z.P.Primary Schol Tendoli,80
73 - Deurwadi Pu,N P primary school room no 1 .Deurwadi Pu.,80
74 - Deurwadi Pu,N P primary school room no 2 Deurwadi Pu.,80
75 - ARNI,S.M.D. Bharati Primary marathi School gandhinagar Arni Room No.1,80
76 - ARNI,S.M.D. Bharati Primary marathi School gandhinagar Arni Room No.2,80
77 - ARNI,s.m.d.Bharti Vidhyalay Gandhi nagar ROOM NO 1,80
78 - ARNI,s.m.d.Bharti Vidhyalay Gandhi nagar ROOM NO.4,80
79 - ARNI,s.m.d.Bharti Vidhyalay Gandhi nagar ROOM NO 2,80
80 - ARNI,S.M.D.Bharti Vidhyalay Gandhi nagar Room No 3,80
