PS No & Name,Address,Constituency Number
1 - Lakhi,"Z. P. Higher Primary School North side, Lakhi Room No 1",81
2 - Lakhi,"Z. P. Higher Primary School South side, Lakhi Room NO 2",81
3 - Lakhi,"Anganwadi Building, Lakhi",81
4 - Rajana,"Z. P. Primary Marathi School, Rajana Room No 1",81
5 - Rajana,"Z. P. Prathmik Marathi School, Rajana Room 3",81
6 - Bhandari,"Z. P. LowerPrimary Marathi School, Bhandari",81
7 - Paradh,"Z. P. Higher Primary Marathi School, North Side, Paradh Room No 1",81
8 - Paradh,"Z. P. Higher Prathmik School, South Side, Paradh Room 3",81
9 - Pimpalgaon (Pa),Z P uchch Prathmik School Pimpalgaon,81
10 - Lobhivantnagar,"Z. P. LowerPrimary Marathi School, Lobhivantnagar",81
11 - Karhol,"Z. P. LowerPrimary Marathi School, Karhol",81
12 - Gahuli,"Z. P. Higher Primary Marathi School, Gahuli",81
13 - Chichghat,"Z. P. LowerPrimary Marathi School, Chichghat",81
14 - Chondhi,"Z. P. Higher Primary Marathi School, Chondhi",81
15 - Mokhad,"Z. P.LowerPrimary Marathi School, Mokhad",81
16 - Waltur T.,"Z. P. Lower Primary Marathi School, Waltur T.",81
17 - Brhamangaon,"Z. P, Higher Primary School, West Side, Brhamangaon",81
18 - Shampur,"Z.P.primary school, Shampur",81
19 - Udadi,"Z. P. Lower Primary School, Udadi",81
20 - Hausapur,"Z. P. LowerPrimary School, Hausapur",81
21 - Mhaismal,"Z. P. LowerPrimary Marathi School, Mhaismal",81
22 - Panhala,"Z. P. Higher Primary Marathi School, Panhala",81
23 - Rampur,"Z. P. Lower Primary Marathi School, East Side, Rampur Room 1",81
24 - Rampur,"Z. P. Lower Primary Marathi School, Weste Side, Rampur Room 4",81
25 - Parwa bk.,"Z. P. LowerPrimary Marathi School, Parwa Bk.",81
26 - Parwa Kd.,"Z. P. LowerPrimary Marathi School, Parwa Kd.",81
27 - Wadgaon,"Z. P. Higher Primary Marathi School, North Side, Wadgaon Room No 1",81
28 - Wadgaon,"Z. P. Higher Primary School, South Side, Wadgaon Room No 2",81
29 - Chikhali,Z P Prathmik School Chikhali,81
30 - Wanwarla,"Z. P. Higher Primary Marathi School, North Side, Wanwarla",81
31 - Wanwarla,"Z. P. Higher Primary Marathi School, South Side, Wanwarla",81
32 - Mungashi,"Z. P. Primary School, West Side, Mungshi",81
33 - Mungashi,"Z. P. Higher Primary School, South Side, Mungshi",81
34 - Bansi,"Z. P. Higher Primary School, North Side, Bansi Room no 1",81
35 - Bansi,"Z. P. Higher Primary Marathi School, South Side, Bansi Room No 2",81
36 - Bajarangnagar,"Z. P. LowerPrimary Marathi School, Bajrangnagar",81
37 - Pimpalkhuta,"Z. P. Lower Primary Marathi School, Pimpalkhuta",81
38 - Jawaharnagar,"Z. P. Higher Primary School, North Side, Jawaharnagar Room No 1",81
39 - Jawaharnagar,"Z. P. Higher Primary Marathi School, South Side, Jawaharnagar Room No 2",81
40 - Belgavhan,"Z. P. LowerPrimary School, Belgavhan",81
41 - Sewadasnagar,"Z. P. LowerPrimary School, Sewadasnagar",81
42 - Wadad B,"Z. P. LowerPrimary School, Wadad",81
43 - Bramhi,"Z. P. Primary School, Bramhi",81
44 - Khamalwadi,"Z. P. Primary School, Khamalwadi",81
45 - Sai Iz,"Z. P. Higher Primary School, North Side, Sai Iz.",81
46 - Sai Iz,"Z. P. Higher Primary School, South Side, Sai Iz.",81
47 - Chichpad,"Z. P. Lower Primary School, chichpad",81
48 - Wanoli,"Z. P. Lower Primary School, Wanoli",81
49 - Khedi,"Z. P. Prathmik School, khedi",81
50 - Tulshinagar,"Z. P. Lower Primary School, West side, Tulshinagar",81
51 - Tulshinagar,"Z. P. Lower Primary School, South Side, Tulshinagar",81
52 - Kali D,"Z. P. Higher Primary School, West Side, Kali D. Room No 1",81
53 - Kali D,"Z. P. Higher Primary School, West Side, Kali D. Room No 2",81
54 - Kali D,"Z. P. Higher Primary Urdu School, east Side, Kali D. Room No 3",81
55 - Kali D,"Z. P. Higher Primary Urdu School, South Side, Kali D Room No 1",81
56 - Kali D,"Z.P. Higher Primary Urdu School, South Side, Kali D. Room No 2",81
57 - Kali D,"Z. P. Higher Prathmik Urdu School, south Side, Kali D. Room No. 3",81
58 - Kali D,"Z. P. Higher Prathmik Urdu School, south Side, Kali D. Room No. 4",81
59 - Wakad iz,"Z. P. Lower Primary School, West side, Wakad iz",81
60 - Hiwari,"Z. P. Lower Primary School, Hiwari",81
61 - Koudgaon,"Z. P. Prathmik School, Koudgaon",81
62 - Bori iz,"Z. P. Higher Primary School, North Side, Bori Iz.",81
63 - Kalulalnagar,"Z. P. Higher Primary School, Kalulalnagar",81
64 - Manoharnagar,"Z. P. Higher Primary School, Manoharnagar",81
65 - Kkatarwadi,"Z. P. LowerPrimary School, Katarwadi",81
66 - Morwadi,"Z. P. Primary School, Morwadi",81
67 - Aregaon kd,"Z. P. Higher Primary Marathi School, Aregaon Kd. Room No 1",81
68 - Aregaon kd,"Z. P. Virishtha Prath. Marathi School, Aregaon Kd. Room No 2",81
69 - Ramnagar,"Gram Panchayat Office, Ramnagar",81
70 - Moha iz,"Z. P. Lower Primary School, North Side, Moha Iz.",81
71 - Nandipur,Z P Pr School Nandipur,81
72 - Shivanagar,Z P Pr School Shivanagar,81
73 - Jyotinagar,"Z. P. Lower Primary School, Jyotinagar",81
74 - Ghatodi,"Z. P. Lower Primary School, Ghatodi",81
75 - Warud,"Z. P. Higher Primary School, West Side, Warud",81
76 - Warud,"Z. P. Higher Primary School, South Side, Warud",81
77 - Sawangi,"Z. P. Lower Primary School, Sawangi Room No 1",81
78 - Bhojala,"Z. P. Lower Primary School, Bhojla Room No 3",81
79 - Bhojala,"Z. P. Lower Primary School, Bhojla Room No 4",81
80 - Bhojala,"Z. P. Lower Primary School, West Side, Bhojla",81
81 - Pimpalgaon Mu.,"Z. P. Lower Primary Marathi School, Pimpalgaon Mungshi",81
82 - Jambbajar,"Z. P. Higher Primary Urdu School, East Side, Jambbajar Room No 1",81
83 - Jambbajar,"Z. P. Higher Primary Urdu School, West Side, Jambbajar Room no 2",81
84 - Jambbajar,"Z. P. Higher Primary Urdu School, South Side, Jambbajar Room No 3",81
85 - Jambbajar,"Z. P. Higher Prathmik Urdu School, South Side, Jambbajar Room No 4",81
86 - Jamshetpur,"Z. P. Lower Primary School, East Side, Jamshetpur Room No 1",81
87 - Jamshetpur,"Z. P. Lower Primary School, West Side, Jamshetpur Room No 2",81
88 - Dhanora Iz.,"Z. P. Lower Primary School, East Side, Dhanora Iz.",81
89 - Singarwadi,Z P K Prathamik School Singarvadi,81
90 - Nandura Iz.,"Z. P. Lower Primary Marathi School, Nandura Iz.",81
91 - Marwadi Kd.,"Z. P. Lower Primary Marathi School, Marwadi",81
92 - Sattarmal,"Z. P. Lower Primary Marathi School, Sattarmal",81
93 - Manjar jawala Bk.,"Z. P. Primary School, Manjarjawala Bk.",81
94 - Waghjali,"Z. P. Lower Primary School, North Side Waghjali",81
95 - Kanherwadi,Z P Pr School Kanherwadi,81
96 - Belora Bu.,"Z. P. Higher Primary Marathi Boy’s School, East Side, Belora Bk.",81
97 - Belora Bu.,"Z. P. Higher Primary Marathi Boys School, South Side, Belora Bk.",81
98 - Belora Bu.,"Z. P. Higher Primary Marathi Boy’s School, West Side, Belora Bk.",81
99 - Belora Kd.,"Z. P. Higher Prathimk Marathi School, Belora Kd.",81
100 - Pandhurna Bu.,"Z. P. Lower Primary School, Pandhurna Bk.",81
101 - Rohada,"Z. P. Higher Primary School, North Side, Rohada",81
102 - Rohada,"Z. P. Higher Primary School, South Side, Rohada",81
103 - Hanwatkheda,"Z. P. Lower Primary Marathi School, Hanwatkheda",81
104 - Vasantwadi,"Z. P. Higher Primary Marathi School, East Side, Vasantwadi",81
105 - Marwadi Bu.,"Z. P. Higher Primary Marathi School, Marwadi Bk.",81
106 - Hiwalni Talao,"Z. P. Higher Primary Marathi School, Hiwalni T.",81
107 - Hiwalni Kd.,"Z. P. Higher Primary Marathi School, Hiwalni Kd.",81
108 - Januna,"Z. P. Higher Primary Marathi School, Januna",81
109 - Gajupur,"Z. P. Lower Primary School, Gajipur",81
110 - Yeladari,"Z. P. Lower Primary School, Yeldari",81
111 - Pardi,"Z. P. Higher Primary School, west Side, Pardi",81
112 - Pardi,"Z. P. Higher Primary School,south Side, Pardi",81
113 - Sewadasnagar,"Z. P. Lower Primary School, Sewadasnagar",81
114 - Ganeshpur,"Z. P. Lower Primary School, Ganeshpur",81
115 - Waltur Rly.,"Grampanchat Office, Waltur R.",81
116 - Ashwinpur,"Z. P. Lower Primary School , South Side Ashwinipur",81
117 - Loni,"Z. P. Primary Marathi School, Loni",81
118 - Aregaon Bu.,"Z. P. Primary School, Aregaon Bk.",81
119 - Palodi,"Z. P. Primary Marathi School, Palodi",81
