PS No & Name,Address,Constituency Number
1 - Fulsingnagar,Z. P. pri. School Room No 1 Fulsingnagar,82
2 - Pimplgaon Kanha,Z. P. pri. School Room No 1 Pimpalgaon (Kanha),82
3 - Pimplgaon Kanha,Z. P. pri. School Room No 2 Pimpalgaon (Kanha),82
4 - Sarkhani,Z. P. pri. School Room No 1 Sarkhani,82
5 - Malkinhi,Z. P. High pri. School Room No 1 Malkinhi,82
6 - Malkinhi,Z. P. High pri. School Room No 2 Malkinhi,82
7 - Malegaon,Z. P. High pri. School Room No 1 Malegaon,82
8 - Karanji,Z. P. High pri. School Room No 1 Karanji,82
9 - Leva,Z. P. Pri. School (East Side ) Room No 1 Leva,82
10 - Vasantanagar,Z. P. Pri. School Room No 1 Vasantnagar,82
11 - Rautwadigaon,Z. P. pri. School ( New Building ) (North Side ) Room No 1 Rautwadi,82
12 - Ijani,Z. P. High pri. School Building (North Side ) Room No 1 Ijani,82
13 - Ijani,Z. P. High pri. School (South Side ) Room No 2 Ijani,82
14 - Malkapur,Z. P. High School (North Side ) Room No 1 Malakapur,82
15 - Tiwarang,Z. P. pri. School (North Side ) Room No 1 Tiwarang,82
16 - Tiwarang,Z. P. pri. School (South Side )Room No 2 Tiwarang,82
17 - Bhosa,Z. P. pri. School Room No 1 Bhosa,82
18 - Dahisawali,Z. P. pri. School Building West Side Building (North Side ) Room No 1 Dahisawali,82
19 - Dahisawali,Z. P. pri. School Building West Side Building (South Side ) Room No 2 Dahisawali,82
20 - Pohandul,Z. P. pri. School Building (East Side ) Room No 1 Pohandul,82
21 - Pohandul,Z. P. pri. School Building (East Side ) Room No 2 Pohandul,82
22 - Dhanoda,Z. P. High pri. School Building (East Side ) Room No 1 Dhanoda,82
23 - Hiwara,Z. P. High pri. School Building Room No.1 Hivara,82
24 - Hiwara,Z. P. High pri. School Building Room No.2 Hivara,82
25 - Hiwara,Z. P. High pri. School Building Room No.3 Hivara,82
26 - Khadaka,Z. P. High pri. School Building (South Side ) Room No 1 Khadka,82
27 - Waghanath,Z. P. pri. School Building Room No 1 Waghanath,82
28 - Shirpur,Z. P. High pri. School Building (South Side ) Room No 1 Shirpur,82
29 - Chilganvhan,Z. P. pri. School Building Room No 1 Chilgavhan,82
30 - Gunj,Z. P. High pri. School Building Room No 1 Gunj,82
31 - Gunj,Z. P. High pri. Marathi School Middle Room No 3 Gunj,82
32 - Gunj,Z. P. High pri. School Building (East Side) Room No 4 Gunj,82
33 - Gunj,Z. P. High pri. School Building (West Side) Room No 5 Gunj,82
34 - Kanha,Z. P. High pri. School Building (West Side) Room No 1 Kanha,82
35 - Kanha,Z. P. High pri. School Building (East Side) Room No 1 Kanha,82
36 - Dharakanha,Z. P. pri. School Room No 1 Dharkanha,82
37 - Veni Bu.,Z. P. pri. School Building (East Side ) Room No 1 Veni (Bk.),82
38 - Veni Bu.,Z. P. pri. School Building (West Side ) Room No 2 Veni (Bk.),82
39 - Dogargaon,Z. P. pri. School Building (West Side ) Room No 1 Dongargaon,82
40 - Dogargaon,Z. P. pri. School Building (East Side ) Room No 2 Dongargaon,82
41 - Sawana,Z. P. High pri. School Building (West Side ) Room No 1 Sawana,82
42 - Sawana,Z. P. High pri. School Building (East Side ) Room No 2 Sawana,82
43 - Sawana,Shivaji Vidyalay (Central Room ) Room No 2 Sawana,82
44 - Sawana,Shivaji Vidyalay (East Side ) Room No 3 Sawana,82
