PS No & Name,Address,Constituency Number
1 - sayphal,z.p.p.s.sayphal,83
2 - wadsa,z.p.p.s. wadsa North Side,83
3 - wadsa,z.p.p.s. wadsa East Side,83
4 - Padsa,Z.P.P.S. Padsa,83
5 - Takali,az.p.p.s. takali,83
6 - Limbayat,z.p.p.s.Limbayat,83
7 - murli,z.p.p.s.murli,83
8 - Ashta,z.p.p.s. ashta,83
9 - Gokul Nagar,ZPPS Gokul Gondegaon,83
10 - Pardi,Z.P.P.S.Pardi Durgapeth,83
11 - Rampur,Samaj Mandir Rampur,83
12 - Dhanora Si,Z.P.P.S.Dhanora Si,83
13 - wasamtanda,z.p.p.s. wasramtanda,83
14 - Bondgavan,z.p.p.s. Bondgavan,83
15 - madanapur,z.p.p.s. madnapur,83
16 - madanapur,z.p.p.s.madnapur,83
17 - gokulgondegaon,z.p.p.s.gokulgondegaon Tanda,83
18 - machindrapardi,z.p.p.smachindrapardi,83
19 - nakhegaon,z.p.p.s.nakhegaon,83
20 - lakhamapur,z.p.p.s.lakhamaur,83
21 - malwada,z.p.p.s. Malwada,83
22 - lanji,z.p.p.s.lanji,83
23 - shekapur,zpps shekapur,83
24 - mahur,Z.P.C.P.S Mahur East Side,83
25 - mahur,ZPCPS mahur East Side Near,83
26 - mahur,ZPCPS Mahur,83
27 - mahur,ZPCPS Mahur,83
28 - mahur,ZPCPS Mahur,83
29 - mahur,ZPCPS Mahur,83
30 - mahur,Z.P.P.S Navi Aabadi Mahur,83
31 - mahur,Z.P.P.S. Navi Aabadi Mahur,83
32 - mahur,Anganwadi Budhapura mahur,83
33 - mahur,ZPPS Dharamwadi mahur,83
34 - lakhapurtanda,ZPPS Lakhamapur Tanda,83
35 - lakhapurtanda,ZPPS Lakhamapur Tanda,83
36 - hiwalni,ZPPS Hiwalani,83
37 - umra,ZPPS Umara,83
38 - banjara tanda,ZPPS Banjara Tanda,83
39 - sawarkhed,ZPPS Sawarkhed,83
40 - satiguda,ZPPS Satiguda,83
41 - Pathari,Z.P.P.S.Pathari West Side,83
42 - Khambala,ZPPS West Side Khambala,83
43 - Khambala,ZPPS North Side Khambala,83
44 - Sakrunaiktanda,ZPPS Sakrunaiktanda,83
45 - Pimpalshenda,ZPPS Pimpalshenda,83
46 - Tembhitanda,ZPPS Tembhi Tanda,83
47 - bamanguda,ZPPS Bamanguda,83
48 - sindkhed,Grampanchayat Sindkhed,83
49 - lokarwadi,ZPPS Lokarwadi,83
50 - hardap,ZPPS Hardaf,83
51 - hardap,ZPPS Hardaf,83
52 - wai,ZPCPS wai tq mahur,83
53 - wai,ZPCPS wai tq mahur,83
54 - wai,ZPCPS wai tq mahur,83
55 - wai ba,ZPCPS wai tq mahur,83
56 - papalwadi,ZPPS Papalwadi,83
57 - rui,ZPPS Rui tq mahur,83
58 - gundawal,ZPPS Gundwal,83
59 - aasoli,ZPPS Asoli,83
60 - malakaguda tanda,ZPPS Malakaguda tanda,83
61 - anjankhed,ZPPS Anjankhed,83
62 - anjankhed,ZPPS Anjankhed,83
63 - Gauri,Z.P.P.S.Chapla naik tanda,83
64 - Chinchkhed,ZPPS Chinchakhed,83
65 - Both,Z.P.P.S.BOTH,83
66 - Unakdev,ZPPS UNAKDEV,83
67 - Parasramnaik Tanda,ZPPS PARASRAM NAIK TANDA,83
68 - Dundra,ZPPS DUNDRA,83
69 - wayphani,ZPPS Waifani,83
70 - karanji,ZPPS Karanji,83
71 - karanji,ZPPS Karanji,83
72 - shelu,ZPPS Shelu,83
73 - tulsi,ZPPS Tulshi,83
74 - met,ZPPS Met tq mahur,83
75 - hadasani,ZPPS Hadsani,83
76 - hadasani,ZPPS Hadsani,83
77 - anmal,ZPPS Anmal,83
78 - anmal,ZPPS Anmal,83
79 - sh farid wa,ZPPS Shekh Farid Wazra,83
80 - sh farid wa,ZPPS Shekh Farid Wazra,83
81 - kasarpeth,ZPPS Kasarpeth,83
82 - lasanwadi,ZPPS Lasanwadi,83
83 - gondwadi,ZPPS Gondwadi,83
84 - bhagwati,ZPPS Bhagwati,83
85 - Daheli Tanda,ZPPS DAHELI TANDA,83
86 - Vazara Bk,ZPPS VAZARA (Bu),83
87 - Umari Ba,zpps Umari (Ba) East Side,83
88 - Umari Ba,ZPPS Umari (Ba) West Side,83
89 - Nagapur,ZPPS Nagapur,83
90 - Lingi,ZPPS West Side Lingi,83
91 - Lingi,ZPPS East Side Lingi,83
92 - Navargaon,Anganwadi Kendra Navargaon,83
93 - Niralatanda,ZPPS Nirala Tanda,83
94 - gondwadasa,ZPPS Gondwadsa,83
95 - gondwadasa,ZPPS Gondwadsa,83
96 - malakaguda,Z P P S Malkaguda,83
97 - mandva,ZPPS Mandva,83
98 - dattmanjri,ZPPS Dattamanjari,83
99 - tandala,ZPPS Tandala,83
100 - rupla naik tanda,ZPPS Rupla naik Tanda,83
101 - bhorad,ZPPS Bhorad,83
102 - bhorad,ZPPS Bhorad,83
103 - Sarkhani,ZPPS Sarkhani East Side,83
104 - Sarkhani,ZPPS Sarkhani West Side,83
105 - Daheli,ZPPS Daheli Nourth Side,83
106 - Daheli,ZPPS Daheli West Side,83
107 - Daheli,ZPPS Daheli South Side,83
108 - Nirala,ZPPS Nirala,83
109 - Darsangavi Si,ZPPS Darsangvi (si),83
110 - Shirpur,ZPPS Sirpur,83
