PS No & Name,Address,Constituency Number
1 - Waki,Z.P.P.S.Waki,84
2 - Irapur,Z.P.P.S Irapur,84
3 - Shiur,Z.P.P.S Shiur,84
4 - Unchegaon Bk.,Z.P.P.S Unchegaon bu Room no.1,84
5 - Unchegaon Bk.,Z.P.P.S Unchegaon bu Room no.2,84
6 - Sapti,Z.P.P.S Sapti,84
7 - Sapti,Z.P.P.S Sapti,84
8 - Manula Bk.,Z.P.P.S Manula Bu,84
9 - Amghavan,Z.P.P.S Aamgavhan,84
10 - Talni,Z.P.P.S.Talni New building East side,84
11 - Talni,Z.P.P.S.Talni New building North side,84
12 - Talni,Z.P.P.S.Talni New building West side,84
13 - Talni,Z.P.P.S.Talni North side,84
14 - Kohali,Z.P.P.S.Kohali South side,84
15 - Kohali,Z.P.P.S.Kohali East side,84
16 - Shirad,Z.P.P.S.Shirad East side,84
17 - Shirad,Z.P.P.S.Shirad North side,84
18 - Shirad,Z.P.P.S.Shirad West side,84
19 - Matala,Z.P.P.S.Matala,84
20 - Peva,Z.P.P.S Peva,84
21 - Karodi,Z.P.P.S Karodi,84
22 - Bhategaon,Z.P.P.S Bhategaon,84
23 - Bhategaon,Z.P.P.S Bhategaon,84
24 - Umri Khu.,Z.P.P.S Umari khu,84
25 - Nivla,Z.P.P.S Nivala,84
26 - Chakri,Z.P.P.S Chakri,84
27 - Mahatala,Z.P.P.S,84
28 - Kaleshwar,Z.P.P.S Kaleshwar,84
29 - Yelamb,Z.P.P.S,84
30 - Yelamb,Z.P.P.S,84
31 - Nivagha,Village Panchayat,84
32 - Nivagha,Z.P.C.P.S Nivagha East side,84
33 - Nivagha,Z.P.C.P.S. Nivagha West side,84
34 - Nivagha,Z.P.C.P.S. Nivagha South side,84
35 - Nivagha,Z.P.C.P.S. Nivagha South side,84
36 - Koli,Z.P.C.P.S. Koli South side,84
37 - Koli,Z.P.C.P.S. Koli North side,84
38 - Koli,Z.P.C.P.S. Koli North Side,84
39 - Maradaga,Z.P.P.S Maradaga,84
40 - Maradaga,Z.P.P.S Maradaga,84
41 - Borgaon H,Z.P.P.S Borgaon h,84
42 - Borgaon H,Z.P.P.S Borgaon h,84
43 - Hastara,Z.P.P.S Hastara,84
44 - Hastara,Z.P.P.S Hastara,84
45 - Dhanora Ru,Z.P.P.S Dhanora ru,84
46 - Dhanora Ru,Z.P.P.S Dhanora ru,84
47 - Unchegaon Khu,Z.P.P.S Unchegaon Khu,84
48 - Nevari,Z.P.P.S Nevari,84
49 - Nevari,Z.P.P.S Nevari,84
50 - Newarwadi,Z.P.P.S. Newarwadi,84
51 - Marlegaon,Z.P.P.S Marlegaon,84
52 - Bhanegaon,Z.P.P.S Bhanegaon,84
53 - Bhanegaon,Z.P.P.S Bhanegaon,84
54 - Gojegaon,Z.P.P.S Gojegaon,84
55 - Kothala,Z.P.P.S Kothala,84
56 - Gurfali,Z.P.P.S Gurfali Juni,84
57 - Gurfali,Z.P.P.S Gurfali Navin,84
58 - Sirpalli,Z.P.P.S Sirpalli,84
59 - Kautha J,Z.P.P.S Kautha J,84
60 - Kautha Tanda,Z.P.P.S Kautha Tanda,84
61 - Warangtakli,Z.P.P.S,84
62 - Dolhari,Z.P.P.S Dolhari,84
63 - Gorlegaon,Z.P.P.S Gorlegaon Room No.1,84
64 - Gorlegaon,Z.P.P.S Gorlegaon Room No.2,84
65 - Hadgaon,Panchshil V.High School Hadgaon Room No.3,84
66 - Hadgaon,Panchshil V.High School Hadgaon Room No.4,84
67 - Hadgaon,Panchshil V.High School Hadgaon Room No.5,84
68 - Hadgaon,Panchshil V.High School Hadgaon Room No.7,84
69 - Hadgaon,Panchshil V.High School Hadgaon Room No.7,84
70 - Hadgaon,Panchshil V.High School Hadgaon Room No.10,84
71 - Hadgaon,Z.P.Highschool Clssa 5th A,84
72 - Rui dha.,Z.P.P.S Rui Dha South Side,84
73 - Rui dha.,Z.P.P.S Rui Dha North Side,84
74 - Talang,Z.P.P.S Talang,84
75 - Talang,Z.P.P.S Talang,84
76 - Pimparkhed,Z.P.P.S Pimparkhed East Side,84
77 - Pimparkhed,Z.P.P.S Pimparkhed West Side,84
78 - Pimparkhed,Z.P.P.S Pimparkhed West Side,84
79 - Ambala,Z.P.P.S Ambala,84
80 - Ambala,Z.P.P.S Ambala,84
81 - Hadgaon,Z.P.Highschool Class 5th B,84
82 - Hadgaon,Z.P.Highschool Hadgaon Class 7th A,84
83 - Hadgaon,Z.P.Highschool Hadgaon Class 7th A,84
84 - Hadgaon,Z.P.Highschool Hadgaon Class 12th A,84
