PS No & Name,Address,Constituency Number
1 - Shingaravadi,Z.P.P.S.Shingaravadi,85
2 - Bhogaon,Z.P.P.S. Bhogaon Class 5 West Side,85
3 - Bhogaon,Z.P.P.S. Bhogaon South Side Class 6,85
4 - Delub (khu.),Z.P.P.S. Delub khu.,85
5 - Delub (bk),Z.P.P.S East Side Delub Bu,85
6 - Delub (bk),Z.P.P.S.West Site Delub Bk,85
7 - Pardi (m),Z.P.P.S. Pardi(M)Room No.(2),85
8 - Pardi (m),Z.P.P.S. Pardi(M)Room No.(3),85
9 - Pardi (m),Rajabai Madhyamik Uchya Madhyamik Vidhyalay Pardi M (Sheni ) Room No 3,85
10 - Karwadi,Z.P.P.School Karwadi,85
11 - Bhurabhushi,Z.P.P.S. Bhurabhushi,85
12 - Maldari Tanda,Z.P.P.S. Maldari Tanda South Side,85
13 - Amathana,Z.P.P.S. Amthana New Building,85
14 - Nekali,Z.P.P.S. Nekali,85
15 - Devathana,Z.P.P.S. Devthana (South Side),85
16 - Devathana,Z.P.P.S. Devthana (North Side),85
17 - Devathana Tanda,Z.P.P.S. Paki Tanda,85
18 - Masalga,Z.P.P.S. Masalga,85
19 - Somathana P.Bho,.Z.P.P.S. Somthana P.Bho. (Room No 1),85
20 - Somathana P.Bho,Z.P.P.S. Somathana P.Bho.Room No. 2,85
21 - Theraban,Z.P.P.S. North Side Theraban,85
22 - Theraban,Z.P.P.S. West Side Theraban,85
23 - Dhavari Bu.,Z.P.P.S. Dhavari Bu.,85
24 - Dhavari Khu.,Z.P.P.S. Dhavari Khu.,85
25 - Pangari,Z.P.P.S.Pangari,85
26 - Sheni,Z.P.P.S.Sheni South Side room No. (1),85
27 - Sheni,Z.P.P.S.Sheni south Side room No. (2),85
28 - Umri,Z.P.P.S.West side Umri,85
29 - Umri,Z.P.P.S.South side Umri,85
30 - Dhamdhri,Z.P.P.S.Dhamdhri,85
31 - Sawargaon,Z.P.P.S.Sawargaon,85
32 - Kondha,Z.P.P.S.D.P.E .P.Buiding Kondha,85
33 - Kondha,Z.P.P.S.North side Kondha,85
34 - Ardhapur,sahayak sanchalk kukutpaln west side Ardhapur,85
35 - Ardhapur,sahayak sanchalk kukutpaln East side Ardhapur,85
36 - Ardhapur,sahayak sanchalk kukutpal Room No.1 Ardhapur,85
37 - Ardhapur,Anganvadi No.20 Near Kaji Masjid Ardhapur,85
38 - Ardhapur,Z.P.P.S Urdu Nai Abadi Near Kaji Masjid Ardhapur,85
39 - Ardhapur,Nagar Panchyat karyalya Sabhagrah Ardhapur,85
40 - Ardhapur,Z.P.H Primary Vibhag Room No.1 Ardhapur,85
41 - Ardhapur,Z.P.H Primary Vibhag imarat Room No.3 Ardhapur,85
42 - Ardhapur,Zilla Parshid Central Primary School. ( Kanya )l Room No.2 Ardhapur,85
