PS No & Name,Address,Constituency Number
1 - Kasarkheda,Gram Panchayat Office Kasarkheda Meeting Hall,86
2 - Kasarkheda,Rajmata jijau Kuposhan Mukt And Ananddayi Shikshanasah ISO Anganwadi kasarkheda,86
3 - Kasarkheda,Zilha Parishad Primary School Kasarakheda,86
4 - Nandusa,Zilha Parishad Primary School Nandusa,86
5 - Bhalki,Zilha Parishad Primary School Bhalki,86
6 - Ekdara,Zilha Parishad Primary School Ekdara,86
7 - Ekdara,Zilha Parishad Primary School Ekdara,86
8 - Alegaon,Zilha Parishad Primary School Alegaon,86
9 - Chikhali.Bu,Zilha Parishad Primary School Chikhali.bu,86
10 - Khurgaon,Zilha Parishad Primary School Khurgaon,86
11 - Pasadgaon,Zilha Parishad Primary School Pasadgaon,86
12 - Chimegaon,Zilha Parishad Primary School Chimegaon Room No. 1,86
13 - Nila,Zilha Parishad Kendriy Primary School Nila Room No. 3,86
14 - Nila,Zilha Parishad Kendriy Primary School Nila Room No. 5,86
15 - Chikhali.Kh,Zilha Parishad Primary School Chikhali.Kh,86
16 - Bondhar.N,Zilha Parishad Primary School Bondhar Tarfe Nerli Room No 1,86
17 - Nerli,Zilha Parishad Primary School Nerli Room No. 2,86
18 - Nerli,Zilha Parishad Primary School Nerli Room No. 3,86
19 - Taroda Bk,Zilha Parishad Primary School West Side Taroda Bk.,86
20 - Taroda Bk,Zilha Parishad Primary School West Side Taroda Bk. Class 2,86
21 - Taroda Bk,Sana Urdu Primary School Class 5 Jinyakhalachi Room,86
22 - Taroda Bk,Sana Urdu Primary School Class 1,86
23 - Taroda Bk,Sana Urdu High School South Side class 3 Chaitanyanagar,86
24 - Taroda Bk,Sana Urdu High School South Side Chaitanyanagar,86
25 - Taroda Bk,Sandipani Public School sunil nagar North Side First Room Taroda Bk.,86
26 - Taroda Bk,Sandipani Public School Sunil Nagar North Side Room No 3 Taroda Bu,86
27 - Taroda Bk,Sandipani Public School Sunil Nagar North Side Room No 4 Taroda bu,86
28 - Taroda Bk,Lal Bahadur Shastri High School West Side Class 4 B,86
29 - Taroda Bk,Lal bahadur Shastri High School Class 2,86
30 - Taroda Bk,Lal bahadur Shastri High School Class 3,86
31 - Taroda Bk,Lal Bahadur Shastri High School Class 8 A East side,86
32 - Taroda Bk,Veankatrao Tarodekar High School Class 6,86
33 - Taroda Bk,Veankatrao Tarodekar High School Class 9,86
34 - Taroda Bk,Rashtramata School Sambhaji Nagar Anganwadi Taroda Bu,86
35 - Taroda Bk,Rashtramata School Sambhaji Nagar Taroda Bu Room No 5,86
36 - Taroda Bk,Sandipani Public School Sunilanagar South Side 4 Room no 4,86
37 - Taroda Bk,Sandipani Public School Sunilanagar South Side Room5,86
38 - Taroda Bk,Rashtramata Indira Gandhi Primary School Hall No. 2,86
39 - Taroda Bk,Rashtramata Indira Gandhi Primary School Hall No. 4,86
40 - Taroda Bk,Rashtramata Indira Gandhi Primary School Hall No. 3,86
41 - Puyani,Zilha Parishad Primary School Puyani,86
42 - Puyani,Zilha Parishad Primary School Puyani Hall No.4,86
43 - Marlak.Bk,Zilha Parishad Primary School Marlak Bk. Class 7,86
44 - Marlak.Bk,Zilha Parishad Primary School Marlak Bk. Class 6,86
45 - Wadvana,Zilha Parishad Primary School Wadvana,86
46 - Pimpari.M,Zilla Parishad Primary School Pimpri Mahipal Class 3 rd,86
47 - Pimpari.M,Zilla Parishad Primary School Pimpri Mahipal Class 5 th,86
48 - Talani,Zilha Parishad Primary School Talani,86
49 - Talani,Dynaneshwar Madhyamik Vidyalay Talani,86
50 - Khadaki,Zilha Parishad Primary School Khadaki Hall No. 2,86
51 - Taroda.Kh,Zilla Parishad Primary School Old Village Taroda Khurd,86
52 - Taroda.Kh,Zilla Parishad Primary School Old Village Taroda Khurd,86
53 - Taroda.Kh,Zilha Parishad Primary School south side Taroda kh. Old village room no.1,86
54 - Taroda.Kh,Zilha Parishad Primary School south side Taroda kh. Old village room no2,86
55 - Taroda.Kh,Zilla Parishad School Taroda Khurd New Building,86
56 - Taroda.Kh,Zilla Parishad School Taroda Khurd New Building,86
57 - Taroda.Kh,Zilha Parishad Primary School Taroda Kh. New Building,86
58 - Taroda.Kh,Zillha Parishad Primary School Shahaji Nagar,86
59 - Taroda.Kh,Zillha Parishad Primary School Shahaji Nagar,86
60 - Taroda.Kh,Zillha Parishad Primary School Shahaji Nagar Anganwadi Room,86
61 - Taroda.Kh,Kamla Nehru Primary School Rajgad Nagar,86
62 - Taroda.Kh,Zilha Parishad Primary School Shahajinagar North Side Room No. 2,86
63 - Taroda.Kh,Zilha Parishad Primary School Shahajinagar South Side Room No. 2,86
64 - Taroda.Kh,Madhavrao Patil High School South Side Class 9 First Room,86
65 - Taroda.Kh,Madhavrao Patil High School South Side Second Room,86
66 - Taroda.Kh,Madhavrao Patil High School Class 10 Room No. 7 Center Side,86
67 - Taroda.Kh,Madhavrao Patil High School Class 8,86
68 - Taroda.Kh,Kamla Nehru Primary School,86
69 - Taroda.Kh,Kamla Nehru Primary School,86
70 - Taroda.Kh,Kamla Nehru Primary School,86
71 - Taroda.Kh,Zillha Parishad School Kadimganj ( Taroda Kh) Room No.1,86
72 - Taroda.Kh,Zillha Parishad School Kadimganj ( Taroda Kh) Room No.2,86
73 - Sangavi.Bk,Zilha Parishad Primary School East Side Room No.1 Sangavi Bk.,86
74 - Sangavi.Bk,Zilha Parishad Primary School East Side Room No.7 Sangavi Bk.,86
75 - Sangavi.Bk,Zilla Parishad Primary School Siddharth Nagar Sangvi Bu East Side,86
76 - Sangavi.Bk,Zilla Parishad Primary School Siddharth Nagar Sangvi Bu South Side,86
77 - Sangavi.Bk,Zilha Parishad Primary School West Side Room No.5 Sangavi Bk.,86
78 - Sangavi.Bk,Zilha Parishad Primary School Old Village New Anganwadi Sangavi Bk.,86
79 - Sangavi.Bk,Zilha Parishad Primary School Siddharth Nagar Room No.1 Sangavi Bk.,86
80 - Sangavi.Bk,Kendirya Vidhyalaya South Central Railway Room no. 1 Nanded,86
81 - Sangavi.Bk,Kendirya Vidhyalaya South Central Railway Room no. 2 Nanded,86
82 - Nanded,Sinchanabhawan Tantrik Shakha,86
83 - Nanded,Sinchanabhawan Office of supritendent Kaksh,86
84 - Nanded,Sinchanabhawan Office of supritendent,86
85 - Nanded,Sinchanabhawan Office of supritendent EST Branch,86
86 - Nanded,Executive Engineer Vishnupuri Project Branch Two Technical Branch Jangamwadi,86
87 - Nanded,Executive Engineer Vishnupuri Project Branch Two EST Branch Jangamwadi,86
88 - Nanded,Executive Engineer Old Room Vishnupuri Project Branch Two Jangamwadi,86
89 - Nanded,Executive Engineer U.P.P.(Bhuvikas) Branch Nanded Technical Room Jangamwadi,86
90 - Nanded,Mahanagarapalika Primary School Jangamwadi Hall No.4,86
91 - Nanded,Mahanagarapalika Primary School Jangamwadi Hall No.5,86
92 - Nanded,Rajypariwahan Mandalache Kamgar Kalyan Kendra workashoap,86
93 - Nanded,Rajypariwahan Mandalache Kamgar Kalyan Kendra workashoap,86
94 - Nanded,Rajy Mahamandalache Chalak Prashikshan Kendra workashoap,86
95 - Nanded,Rajy Mahamandalache Chalak Prashikshan Kendra workashoap,86
96 - Nanded,SubDivisional Engineer U.P.P Chitrakala 3,86
97 - Nanded,Executive Engineer UPP No 8 East Side,86
98 - Nanded,Executive Engineer U P P No. 8 West Side,86
99 - Nanded,Yusufiya Urdu High School New Building Hall No.5 Peerburhan West Side Room,86
100 - Nanded,Yusufiya Urdu High School New Building Hall No.6 Peerburhan West Side,86
101 - Nanded,Yusufiya Urdu High School New Building Hall No.1 Peerburhan,86
102 - Nanded,Yusufiya Urdu High School New Building west side Hall No.2 Peerburhan,86
103 - Nanded,Nagsen Vidyalay Class 10 Prabhatanagar,86
104 - Nanded,Nagsen Vidyalay Class 11 Prabhatanagar,86
105 - Nanded,Nagsen Vidyalay Class 8B Prabhatanagar,86
106 - Nanded,Nagsen Vidyalay Class 9B Prabhatanagar,86
107 - Nanded,Nanded Pharmacy Collage Hall No 1 Tutorial Hall East Side Shyamnagar,86
108 - Nanded,Nanded Pharmacy Collage Hall No 2 Ceter Side Shyamnagar,86
109 - Nanded,Nanded Pharmacy College Hall No 3 class Room West Side Shyamnagar,86
110 - Nanded,"Heritage English Midium School, Room No. 1 Gopal Nagar",86
111 - Nanded,"Heritage English Midium School, Room No. 2 Gopal Nagar",86
112 - Nanded,"Heritage English Midium School, Room No. 3 Gopal Nagar",86
113 - Nanded,Rajiv gandhi Primary School Hall No.1 Nagarjunanagar,86
114 - Nanded,Rajiv gandhi Primary School Hall No.3 Nagarjuna nagar,86
115 - Nanded,Rajiv gandhi Primary School Hall No.5 Nagarjuna nagar,86
116 - Nanded,Janta Vidyalay Panduranganagar Hall No. 2 South Side,86
117 - Nanded,Janta Vidyalay Panduranganagar Hall No. 4 South Side,86
118 - Nanded,Janta Vidyalay Panduranganagar Hall No. 7 South Side,86
119 - Nanded,Nehru English School New Building Tilakanagar Balawadi South Side,86
120 - Nanded,Nehru English School New Building Tilakanagar Balawadi North Side,86
121 - Nanded,Nehru English School West Side Tilakanagar,86
122 - Nanded,Nehru English School West Side Hall Tilakanagar,86
123 - Nanded,Adarsh Vidyalay Tilak Nagar Hall No. 6,86
124 - Nanded,Adarsh Vidyalay Tilak Nagar Hall No. 7,86
125 - Nanded,Adarsh Vidyalay Tilak Nagar Hall No 8,86
126 - Nanded,Shasakiy Adhyapak Vidyalay D.ed East Side Kailasanagar,86
127 - Nanded,Savitri Bai phule Highschool babanagar Hall No 1 East Side,86
128 - Nanded,Savitri Bai phule Highschool babanagar Hall No 2 South Side,86
129 - Nanded,Savitribai Phule High School Hall No 3 West Side,86
130 - Nanded,Shasakiy Adhyapak Vidyalay Kailasanagar New Building Principal Room,86
131 - Nanded,Pratibha Niketan High School Kailasanagar (Hall No. 2 ),86
132 - Nanded,Pratibha Niketan High School Kailasanagar Head Master Room,86
133 - Nanded,Shasakiy Adhyapak Vidyalay B.ed Swatantrya Sainik Colony East Side Hall.No.1,86
134 - Nanded,Shasakiy Adhyapak Vidyalay B.ed Swatantrya Sainik Colony Hall No.2,86
135 - Nanded,Shasakiy Adhyapak Vidyalay B.ed Swatantrya Sainik Colony Center Side Hall No.1,86
136 - Nanded,Shasakiy Adhyapak Vidyalay B.ed Swtantrya Sainik Colony Center Side Hall.No.2,86
137 - Nanded,Shasakiy Adhyapak Vidyalay B.ed Swtantrya Sainik Colony West Side Hall.No.1,86
138 - Nanded,Shasakiy Adhyapak Vidyalay B.ed Swatantrya Sainik Colony West Side Hall.No.2,86
139 - Nanded,Rajshri Shahu Vidyalay New Building Center Hall Vasantanagar,86
140 - Nanded,Rajshri Shahu Vidyalay New Building Center Side Vasantanagar,86
141 - Nanded,Rajshri Shahu Vidyalay New Building Center side vasantanagar,86
142 - Nanded,Kasturba Gandhi Primary School Vasant Nagar Room No. 1,86
143 - Nanded,Kasturba Gandhi Primary School Vasantnagar Room No. 2,86
144 - Nanded,Kasturba gandhi Primary School Vasant Nagar Room No.3,86
145 - Nanded,Rajshri Shahu Balak Mandir Hall No 1 Vasant nagar,86
146 - Nanded,Rajshri Shahu balak Mandir Hall Na. 2 Vasant nagar,86
147 - Nanded,Joint Director Of Higher Education Nanded Region Backside of govt poltechnic Campus Baba Nagar Nanded,86
148 - Kamtha Kh.,Zilha Parishad Primary School North Side Room Kamtha Kh.,86
149 - Kamtha Kh.,Zilha Parishad Primary School South Side Room Kamtha Kh,86
150 - Wadi.Bu,Gram Panchayat Office Wadi Bu,86
151 - Wadi.Bu,Zilla Parishad Primary School Anganwadi,86
152 - Wadi.Bu,Zilha Parishad Primary School Wadi Bk. New Building Room No. 2,86
153 - Wadi.Bu,Zilha Parishad Primary School Wadi Bk. New Building,86
154 - Wadi.Bu,Oxford Internatuional School Wadi Bu Hall No 1 B,86
155 - Wadi.Bu,Oxford International School Wadi Bu hall no 6,86
156 - Wadi.Bu,Oxford International School Wadi Bu Hall No 7,86
157 - Wadi.Bu,Oxford International School Wadi Bu Class 2 C,86
158 - Wadi.Bu,Zilha Parishad Primary School New Building New Wadi Bk.,86
159 - Wadi.Bu,Zilha Parishad Primary School New building New wadi bu.,86
160 - Wadi.Bu,Podar International School Wadi Bu Hall No 7,86
161 - Wadi.Bu,Podar International School Wadi Bu Hall No 8,86
162 - Sayal,Zilha Parishad Primary School Sayal East Side,86
163 - Sayal,Zilha Parishad Primary School Sayal West Side,86
164 - Wadi.Bu,Podar International School Wadi Bu Hall No. 12,86
165 - Wadi.Bu,Podar International School Wadi Bu Conference hall,86
166 - Dhanora,Zilha Parishad Primary School Dhanoara,86
167 - Pokharni,Zilha Parishad Primary School Pokharni,86
168 - Limbagaon,Zilha Parishad High School Limbgaon East Side,86
169 - Limbagaon,Zilha Parishad High School Limbagaon West side,86
170 - Limbagaon,Zilha Parishad High School Library Room,86
171 - Limbagaon,Zilha Parishad High School Limbagaon New Building,86
172 - Daryapur,Zilha Parishad Primary School Daryapur,86
173 - Nasaratapur,Zilha Parishad Primary School Nasaratapur,86
174 - Wanegaon,Zilha Parishad Primary School Wanengaon,86
175 - Waghi,Zilla Parishad Highschool Waghi (Primary Vibhag),86
176 - Waghi,Zilla Parishad High School Waghi (Primary Vibhag),86
177 - Waghi,Zilha Parishad High School Old Building West Side waghi,86
178 - Sugaon.Kh,Zilha Parishad Primary School Sugaon Kh.Room No.1,86
179 - Sugaon.Kh,Zilha Parishad Primary School Sugaon Kh.Room No.2,86
180 - Hassapur,Zilha Parishad Primary School Hassapur Room No.1,86
181 - Hassapur,Zilha Parishad Primary School New Hassapur Room No.1,86
182 - Sugaon.Bk,Zilla Parishad Primary School Sugaon bu,86
183 - Sugaon.Bk,Zilla parishad Primary School Sugaon Bu,86
184 - Dhoki,Zilha Parishad Primary School Dhoki,86
185 - Naleshavar,Zilha Parishad Primary School Old Building East Side Naleshwar,86
