PS No & Name,Address,Constituency Number
1 - Khadakut,Zillah Parishad Prathamik Shala New Gaonthan Khadakut,87
2 - Yemshetwadi,zhilha parishad primary school yemshetwadi Hall no.1,87
3 - Gadegaon,Zillah Parishad Primary school Gadegaon,87
4 - Trikut,Zillah Parishad Primary school Trikut,87
5 - Bondhar Tt. H.,Zillah Parishad Primary school Bondhar Tarfe Haveli,87
6 - Wangi,Zillah Parishad Primary school Wangi,87
7 - Bramhanavada,Zillah Parishada prathamik Shala Navin Eimarat Bramhanavada,87
8 - Nanded,Peoples High School (South Side) Gokulanagar,87
9 - Nanded,Peoples High School (South Side) Gokulanagar,87
10 - Nanded,Peoples High School (South Side ) Gokulanagar,87
11 - Nanded,Khalsa High School Bafna Road Room No. 1 New Building,87
12 - Nanded,Khalsa High School Bafna Road Room No. 2 New Building,87
13 - Nanded,Khalsa High School Bafna Road Room No. 4 New Building,87
14 - Nanded,Khadigram udhyog office new building hingoli Gate,87
15 - Nanded,Dr Ram Manohar Lohiya Liberary NWCMC Khadakpura,87
16 - Nanded,NWCMC Hospital Nanded Khadakpura,87
17 - Nanded,Dr Radhakrushna Primary School new building hassapur Room no 1,87
18 - Nanded,Dr Radhakrushna Primary School new building hassapur Room no 2,87
19 - Nanded,Safa urdu primary school Samira Bag Wagi Road (Khadapura) room no 1,87
20 - Nanded,Safa urdu primary school Samira Bag Wagi Road (Khadapura) room no 2,87
21 - Nanded,Safa urdu primary school Samira Bag Wagi Road (Khadapura) room no 3,87
22 - Nanded,Safa urdu primary school Samira Bag Wagi Road (Khadapura) room no 4,87
23 - Nanded,Navnihal Uchha Primary School Shahraheman Near Darga R. No.5,87
24 - Nanded,Navnihal Uchha Primary School Shahraheman Near Darga West Side R. No.10,87
25 - Nanded,Nehru English School Somesh Colony Nanded R. No.17,87
26 - Nanded,Nehru English School Somesh Colony Nanded R. No.15,87
27 - Nanded,Nehru English School Hall No. 4 Somesh Colony,87
28 - Nanded,Govt .Ayurvedik Medical College gradute/postgradute central library study point Building Room no 1,87
29 - Nanded,Govt .Ayurvedik Medical College gradute/postgradute central library study point Building Room no 2,87
30 - Nanded,Govt .Ayurvedik Medical College gradute/postgradute central library study point Building Room no 3,87
31 - Nanded,Shasakiy Ayurvedik Mahavidyalay Nanded ( Shallay Vibhag ),87
32 - Nanded,Shasakiy Ayurvedik Mahavidyalay Nanded (shalay Vibhag ),87
33 - Nanded,Shasakiy Ayurvedik College Prasuti Vibhag,87
34 - Nanded,Shasakiy Ayarvedik Mahavidyalay ( B. A. M. S. Class III ),87
35 - Nanded,Govt Girls School (East Side) Vazirabad,87
36 - Nanded,Govt Girls School (West Side) Vazirabad,87
37 - Nanded,Govt Girls School (West Side) Branch Vazirabad,87
38 - Nanded,Nanded Textile Mill (North Side room) Hall No.1,87
39 - Nanded,Nanded Textail Mill (North Side room ) Hall No. 4,87
40 - Nanded,Nanded Textail Mill (North Side room ) Hall No. 2,87
41 - Nanded,khairul uloom primary and high school east side,87
42 - Nanded,khairul uloom primary and high school south side,87
43 - Nanded,khairul uloom primary and high school west side room no 1,87
44 - Nanded,Zillah Parishad Primary School Police Head Quarter Vazirabad Class-I,87
45 - Nanded,Zillah Parishad Prathamik Shala Police Head Quater (Class IV ) Vazirabad,87
46 - Nanded,Shri Kalgidhar Primary school Shahidpura class 3 Nanded,87
47 - Nanded,Shri Kalagidhar Primary School Shahidapura Class V,87
48 - Nanded,Shri Kalagidhar Primary School Shahidapura Class VI,87
49 - Nanded,Bharat Vidyalay Shaktinagar Room no 4 Shakti nagar,87
50 - Nanded,Bharat Vidyalay Shaktinagar Room no 5 Shakti nagar,87
51 - Nanded,Bharat Vidyalay Shaktinagar Hall No. 9,87
52 - Nanded,Bharat Vidyalay Shaktinagar Middleside Hall No.7,87
53 - Nanded,Bharat Vidyalay Shaktinagar West Side Hall No.1,87
54 - Nanded,Bharat Vidyalay Shaktinagar Room No. 2,87
55 - Nanded,Nanded Waghala City Municipal Corporation Primary school no. 01 vazirabad,87
56 - Nanded,Nanded Waghala City Municipal Corporation Primary school no. 02 vazirabad,87
57 - Nanded,Nanded Waghala City Municipal Corporation Primary school no. 03 vazirabad,87
58 - Nanded,Nanded Waghala City Municipal Corporation Primary school no. 04 vazirabad,87
59 - Nanded,Nanded Waghala City Municipal Corporation Primary school no. 05 vazirabad,87
60 - Nanded,Gujararthi High School vazirabad ( East Side ) Room No. 115,87
61 - Nanded,Gujrathi High School Vazirabad South Side Hall N. 112,87
62 - Nanded,Gujrathi High School Vazirabad (North Side) Hall N. 103,87
63 - Nanded,Gujrathi High School Vajirabad West Side Hall No. 105,87
64 - Nanded,Pratibhaniketan College outside room no 1,87
65 - Nanded,Pratibhaniketan College outside room no 2,87
66 - Nanded,Vivekanand Institute Of Techonogy and Management Mil Area Dankin Road Nanded,87
67 - Nanded,Vivekanand Institute Of Techonogy and Management Mil Area Dankin Road Nanded,87
68 - Nanded,Multiperpose High School Vazirabad East Side,87
69 - Nanded,Multiperpose High School Vazirabad West Side,87
70 - Nanded,Maltiparpaj High School East Side Vazirabad,87
71 - Nanded,Maharaja Ranjitsing Market Nanded Waghala NWCMC Nanded Eimarat Talmajla Purv Baju,87
72 - Nanded,Maharaja Ranjitsing Market Nanded Waghala NWCMC Nanded Eimarat Talmajla Paschim Baju,87
73 - Nanded,Maharaja Ranjitsing Market Nanded Waghala NWCMC Nanded Eimarat Talmajla Dakshin Baju,87
74 - Nanded,Shri Kalagidhar Primary School Shahidapura Class Room No -4,87
75 - Nanded,Maharaja Ranjitsing Market Nanded Waghala NWCMC Nanded Eimarat Talmajla Uttar Baju,87
76 - Nanded,Zillah Pashu Vaidyakiy Sarv Chikitsalay North Side Nanded,87
77 - Nanded,Zillah Pashu Vaidyakiy Sarv Chikitsalay Center Side Nanded,87
78 - Nanded,Zillah Pashu Vaidyakiy Sarv Chikitsalay South Side Nanded,87
79 - Nanded,Nanded Waghala City Municipal Corporation Urdu School No. 8 khayyum Plot Room No. 1,87
80 - Nanded,Nanded Waghala City Municipal Corporation Urdu School No. 8 Khayum Plot Room no 2,87
81 - Nanded,Madina Tul Ulum High School Old Building Room No. 1 Degloor Naka,87
82 - Nanded,Madina Tul Ulum High School Old Building Room No. 2 Degloor Naka,87
83 - Nanded,Madina Tul Ulum High School New Building Room No.3 Degloor Naka,87
84 - Nanded,Madina Tul Ulum High School New Building East Side Room No. 11 Degloor Naka,87
85 - Nanded,Madina Tul Ulum High School New Building Room No.26 Degloor Naka,87
86 - Nanded,Madina Tul Ulum High School New Building Room No.25 Degloor Naka,87
87 - Nanded,Madina Tul Ulum High School New Building Room No.29 Degloor Naka,87
88 - Nanded,NWCMC School no 9 room no 3,87
89 - Nanded,NWCMC School no 9 room no 4,87
90 - Nanded,NWCMC Water Supply Office Room No 2,87
91 - Nanded,NWCMC Water Supply Office Room No 3,87
92 - Nanded,Zillah Parishad Prathamik Shala Itavara East Side Near Office,87
93 - Nanded,Zillah Parishad Prathamik Shala Itavara East Side,87
94 - Nanded,Zillah Parishad High School Itwara room No-4,87
95 - Nanded,Zillah Parishad High School New Building South Side Room Itavara,87
96 - Nanded,Zillah Parishad High School New Building West Side Room Itavara,87
97 - Nanded,Zillah Parishad High School New Building East Side Itavara,87
98 - Nanded,Gandhi Rashtriy Hindi Vidyalay Primary School Gadipura Class 3 B,87
99 - Nanded,Gandhi Rashtriy Hindi Vidyalay Primary School Gadipura Class 4 B,87
100 - Nanded,"Gandhi Rashtriya Prathmik Vidhyalaya Gadipura,Nanded Room No-3",87
101 - Nanded,Gandhi Rashtriy Hindi Vidyalay Gadipura (pashchim Baju ) Hall No. 1,87
102 - Nanded,Gandhi Rashtriya Hindi Vidyalay Gadipura West Side Hall No. 4,87
103 - Nanded,"Gandhi Rashtriya Prathmik Vidhyalaya Gadipura room no-4,Nanded",87
104 - Nanded,Gandhi Rashtriy Hindi Vidyalay Gadipura Office,87
105 - Nanded,Gandhi Rashtriy Hindi Vidyalay Gadipura Science Room,87
106 - Nanded,MNPA Hospital Arb Gulli North Side,87
107 - Nanded,Madarase Idrusiya Darbar Masjid (South Side) Afroz Funcation Hall,87
108 - Nanded,Madarase Idrusiya Darbar Masjid (West Side) Afroz Funcation Hall,87
109 - Nanded,National Muliche Madhyamik Shala Arab Gulli,87
110 - Nanded,Nanded Waghala Mahanagarapalika Hospital Arab gulli South Side,87
111 - Nanded,Madina Tlum Ulum girls Prathamik School Chaufala Near post Office Room No. 1,87
112 - Nanded,Madina Tul Ulum girls Prathamik School Chaufala Near post Office Center Side Chaufala,87
113 - Nanded,Madina Tlum Ulum girls Prathamik School Chaufala Near post Office Madhy Baju Chaufala,87
114 - Nanded,Zillah Parishad High School Chaufala Class 8th A,87
115 - Nanded,Zillah Parishad High School Chaufala Class 8th B,87
116 - Nanded,Zilha Parishad Highschool School Class 10 th Chaufala,87
117 - Nanded,Zilha Parishad pramary School Chaufala Class 7th B WEST Side,87
118 - Nanded,Zillah Parishad Kendriya Prathamik Shala Chaufala,87
119 - Nanded,Zillah Parishad Kendriya Prathmik Shala Chaufala Class 7B,87
120 - Nanded,Zillah Parishad Kendriya Prathmik Shala Chaufala (East Side) Class 7 (B),87
121 - Nanded,Zillah Parishad Kendriya Prathmik Shala Chaufala (West Side),87
122 - Nanded,Sarsvati Primary School Brahampuri Chaufala R.No.1,87
123 - Nanded,Sarsvati Primary School Brahampuri Chaufala R.No.2,87
124 - Nanded,Zillah Parishad Kendriy Prathamik Shala Chaufala East Side,87
125 - Nanded,Zillah Parishad Kendriya Prathamik Shala room no 3,87
126 - Nanded,Zillah Parishad Kendriya Prathamik Shala room no class 1,87
127 - Nanded,zp high school choufala,87
128 - Nanded,zp high school choufala room no 9,87
129 - Nanded,Sar Sayyad Urdu Prathmik School Mominpura Hall No-1,87
130 - Nanded,Sar Sayyad Urdu Prathmik School Mominpura Hall No-1 A,87
131 - Nanded,Sar Sayyad Urdu Prathmik School Mominpura Hall No-2,87
132 - Nanded,Sar Sayyad Urdu Prathmik School Mominpura Hall No-3,87
133 - Nanded,Sar Sayyad Urdu Prathmik School Mominpura Hall No-4,87
134 - Nanded,MNPA Hospital karabala South Side Nanded,87
135 - Nanded,MNPA Hospital karabala North Side,87
136 - Nanded,Madina Tul Prathamik Shala Lalabada,87
137 - Nanded,Madina Tul Ulum Prathamik Shala South Side Lalabada,87
138 - Nanded,Isla Ul Aalam Prathamik Shala Sayadan West Side,87
139 - Nanded,Isla Ul Aalam Prathamik Shala Sayadan East Side,87
140 - Nanded,Isla Ul Alam Secondary School Sayadan,87
141 - Nanded,Zillah Parishad Girls Prathamik Shala Gadipura South Side,87
142 - Nanded,Zillah Parishad Mulicha Prathamik Shala Gadipura South Side,87
143 - Nanded,Office of the Supritendent of water Supply NWMP Killa Road Nanded,87
144 - Nanded,NWMP Wachnalay Killa Road Nanded,87
145 - Nanded,Nanded Waghala Mahanagarapalika Prathamik Shala Kila Road East Side,87
146 - Nanded,Mahanagarapalika Prathamik Shala West Side Killa Road,87
147 - Nanded,Shri bhagwanrao napate memorial Pratibha Niketan High School Hall No-1,87
148 - Nanded,Shri bhagwanrao napate memorial Pratibha Niketan High School Hall No-2,87
149 - Nanded,Shri bhagwanrao napate memorial Pradnya Niketan High School new building holi Girls Hall no-1,87
150 - Nanded,Shri bhagwanrao napate memorial Pradnya Niketan High School new building holi Girls Hall no-2,87
151 - Nanded,Shri Bhagwanrao Napate memorial Pratibha natya mandir New building,87
152 - Nanded,"Shri Bhagwanrao Napate memorial Vichar vikas manch mandir sarvajanik vachnalaya side hall ,Holi",87
153 - Fattepur,Zillah Parishad Primary school Fattepur,87
154 - Injegaon,Zillah Parishad Primary school Injegaon,87
