PS No & Name,Address,Constituency Number
1 - Chincholi (p. U. ),Gram Panchayat Chincholi (P.U.),88
2 - Nandgaon,Z.P.P.S. (East Side)Nandgaon,88
3 - Anteshvar,Z.P.P.S. Anteshwar,88
4 - Bharasavada,Z.P.P.S. Bharaswada,88
5 - Dhakani,Z.P.P.S. Dhakni,88
6 - Takalgaon,Z.P.P.S. Takalgaon,88
7 - Jambharoon,Z.P.P.S.Jambharoon,88
8 - Maratala,Z.P.P.S. (East) Martala,88
9 - Maratala,Z.P.P.S. (West) Martala,88
10 - Kamalaj,Z.P.P.S. Kamlaj,88
11 - Kaudgaon,Z.P.P.S. Kaudgaon,88
12 - Yeli,Z.P.P.S. Yeli,88
13 - Hatani,Z.P.P.S. Hatni,88
14 - Hatani,Z.P.P.S. Hatni,88
15 - Valaki (bu. ),Z.P.P.S. Walki (Bk.),88
16 - Shambhargaon,Z.P.P.S. Shambhargaon,88
17 - Boragav (ki. ),Old Z.P.P.S. Borgaon Ki,88
18 - Boragav (ki. ),G.P.Office Borgaon (Ki),88
19 - Kiwala (Bo,Z.P.P.S. South side Kiwla (Bo.),88
20 - Kiwala (Bo,Z.P.P.S. Nouth side Kiwla (Bo.),88
21 - Kiwala (Bo,Z.P.P.S right side Kiwla (Bo.),88
22 - Kiwala (Bo,Z.P.P.S.left side Kiwla (Bo.),88
23 - Wadepuri,Z.P.H.S. (North) Wadepuri,88
24 - Wadepuri,Z.P.H.S. (Centre Holl) Wadepuri,88
25 - Wadepuri,Z.P.H.S. (South) Wadepuri,88
26 - Penur,G.P. office Penoor,88
27 - Penur,ZPHS (North side) Penoor,88
28 - Penur,Z.P.H.S. (Left Side) Penoor,88
29 - Penur,Z.P.H.S. (Centre Hall) Penoor,88
30 - Penur,Z.P.H.S. (Right Side) Penoor,88
31 - Harabal (p. U. ),Z.P.P.S. (Right Side) Harbal (P.U.),88
32 - Harabal (p. U. ),Z.P.P.S. (East) Harbal (P.U.),88
33 - Wadgaon,Z.P.P.S. Wadgaon,88
34 - Wadgaon,ZPPS Wadgaon tanda,88
35 - Kanjala,G.P.Office Kanajala,88
36 - Kanjala,Aanganwadi Kanjala,88
37 - Kanjalatanda,Z.P.P.S.Kanajala tanda,88
38 - Kapsi (bu. ),Z.P.C.P.S. (West) Kapsi (B.),88
39 - Kapsi (bu. ),Z.P.C.P.S. (North) Kapsi (B.),88
40 - Kapsi (bu. ),Z.P.C.P.S. East side Kapsi (B.),88
41 - Kapsi (khu. ),Z.P.P.S. Kapsi (Kd.),88
42 - Donwada,Z.P.P.S. Donwada,88
43 - Waka,Z.P.P.S. Waka,88
44 - Waka,Z.P.P.S. (East) Waka,88
45 - Valaki (khu. ),Z.P.P.S. Walki (Kd.),88
46 - Dolara,Z.P.P.S. Dolara,88
47 - Joshi sangavi,Z.P.P.S. (East) Joshisangavi,88
48 - Joshi sangavi,Z.P.P.S. (West) Joshisangavi,88
49 - Londesangvi,Z.P.P.S. Londhesangavi,88
50 - Londesangvi,Z.P.P.S.londhesangvi (North side),88
51 - Telaki,Z.P.P.S. (West) Telki,88
52 - Telaki,Z.P.P.S. (Centre Holl) Telki,88
53 - Telaki,Z.P.P.S. (East) Telki,88
54 - Aadgaon,Z.P.P.S (Right Side) Adgaon,88
55 - Adagav,Z.P.P.S (Left Side) Adgaon,88
56 - Boragav (a. ),Z.P.P.S Borgaon (Aa),88
57 - Boragav (a. ),Z.P.P.S(West Side) Borgaon (Aa),88
58 - Dapashed,Z.P.P.S. (Left Side) Dapshed,88
59 - Dapashed,Z.P.P.S. (Right Side ) Dapshed,88
60 - Kalambar (bu. ),Z.P.H.S. (East) Kalambar (Bk.),88
61 - Kalambar (bu. ),Z.P.H.S. (Centre Holl) Kalambar (Bk.),88
62 - Kalambar (bu. ),Z.P.H.S. (West) Kalambar (Bk.),88
63 - Kalambar (bu. ),G.P. Kalambar (Bk.),88
64 - Kalambar (bu ),Z.P.P.S. Moklewadi,88
65 - Gandhinagar,Z.P.P.S. Gandhinagar,88
66 - Gundevadi,Z.P.P.S. Gundewadi,88
67 - Telangavadi,ZPPS Telangwadi,88
68 - Pimpaladari,Z.P.P.S. Pimpaldari,88
69 - Hindola,Z.P.P.S.HINDOLA,88
70 - Jomegav,Z.P.P.S. Jomegaon,88
71 - Dhanaj (bu. ),Z.P.P.S. Dhanaj Bk.,88
72 - Dhanaj (khu. ),Z.P.P.S. Dhanjaj Kd.,88
73 - Umra,G.P.Office Umra,88
74 - Umra,Z.P.P.S. (South) Umra,88
75 - Umra,Z.P.P.S. (North) Umra,88
76 - Golegav (p. U. ),Z.P.P.S. Golegaon PU,88
