PS No & Name,Address,Constituency Number
1 - Shirur,Z. P. P. S. New Building Room No. 1 Shirur,89
2 - Sawargaon (Dakshin),Z.P.C.P.S. Room No. 1 Sawargaon (South),89
3 - Kalgaon,Z.P.C.P.S. Room No. 2 Kalgaon,89
4 - Karla,Z.P.P.S. North Side Karla,89
5 - Karla,Z.P.P.S.  South Side Karla,89
6 - Palsagon,Z.P.P.S.  Palsagon,89
7 - Dhol Umri,Z.P.C.P.S. Room No. 1 Dhol Umri,89
8 - Dhol Umri,Z.P.C.P.S. Room No. 2 Dhol Umri,89
9 - Shivangaon,Z.P.C.P.S. Shivangaon,89
10 - Sindhi,Z.P.P.S. South Side Sindhi,89
11 - Sindhi,"Z.P.P.S. South Side Room no 3, Sindhi",89
12 - Sindhi,"Z.P.P.S. East Side, Sindhi",89
13 - Aswaldari,Z.P.P.S. Aswaldari,89
14 - Mokhandi,Z.P.P.S. Mokhandi J,89
15 - Turati,Z.P.P.S. Turati,89
16 - Bothi,Z.P.C.P.S. Bothi,89
17 - Jirona,Z.P.P.S. North Side Jirona,89
18 - Ganipur,Z.P.P.S. Ganipur,89
19 - Shelgaon,Aanganwadi No. 1 Shelgaon,89
20 - Shelgaon,Grampanchyat Office Shelgaon,89
21 - Durgangar,Z.P.P.S Durganagar,89
22 - Phulsing nagar,Z.P.P.S. Room No 4 Phulsing nagar,89
23 - SOMTHANA (P.U.),Z.P.P.S. East Side Somthana (P.U.),89
24 - SOMTHANA (P.U.),Z.P.P.S. WEST SIDE SOMTHANA (P.U.),89
25 - Bitnal,Z.P.C.P.S. New Building Bitnal,89
26 - Bitnal,Z.P.C.P.S. New Building Room No.2 Bitnal,89
27 - Sawargaon Kala,Z.P.C.P.S. Sawargaon Kala,89
28 - Hunda (P.U.),Z.P.P.S. Hunda (P.U.),89
29 - Ramkhadak,Z.P.P.S. Ramkhadak,89
30 - Mandala,Z.P.P.S. Mandala,89
31 - Gortha,Z.P.C.P.S. Old Building Gortha,89
32 - Gortha,Z.P.C.P.S. New Building Gortha,89
33 - Gortha,Z.P..C.P.S New Building Room No 2 Gortha,89
34 - Vansantnagar,Z.P.P.S Room No 1 Vasantnagar,89
35 - Jamgaon,Z.P.P.S. Jamgaon,89
36 - Hunda G.P.,Z.P.P.S. Room No.1 Hunda G.P,89
37 - Hunda G.P.,Z.P.P.S. Room No. 2 Hunda G.P,89
38 - Kudla,"Z.P.P.S. East Side, Kudla",89
39 - Kudla,"Z.P.P.S. West Side, Kudla",89
40 - Umri,Nutan College New Building East Side Umri,89
41 - Umri,Yashwant Highschool Room No. 15 Umri,89
42 - Umri,Yashwant Highschool Room No. 16 Umri,89
43 - Umri,Pashu Vaidykiya Kendra Umri,89
44 - Umri,Z.P.Central Primary School New Bulding Room no 1 Umri,89
45 - Waghala,Z.P.P.S. waghala,89
46 - Hiradgaon,Z.P.P.S. Hiradgaon,89
47 - Rajapur,Z.P.P.S. Rajapur,89
48 - Bacheganv,Z.P.P.S. New Building Room No. 1 Bachegaon,89
49 - Bacheganv,Z.P.P.S. New Building Room No. 2 Bachegaon,89
50 - Umri,Z..P Girls Primary School Room no 1 Umri,89
51 - Umri,Z.P.Girls Primary School Room no. 3 Umri,89
52 - Umri,Z.P.Central Primary School New Bulding Room no 4 Umri,89
53 - Abdullapur,Z.P.P.S. Abdullapur,89
54 - Bolsa G P,Grampanchyat Office Bolsa G.P,89
55 - Bolsa G P South,Z.P.P.S. Bolsa South,89
56 - Hangiraga,Z.P.P.S. North Side Hangiraga,89
57 - Ilegaon G.P.,Z.P.P.S. New Building Ilegaon G.P,89
58 - Talegaon,Z.P.P.S. East Side Talegaon,89
59 - Talegaon,Z.P.P.S. West side Talegaon,89
60 - Talegaon,Z.P.P.S. West side Room No.2 Talegaon,89
61 - Umri,Nutan Vidyalaya East side Room No. 2 Umri,89
62 - Umri,Nutan Vidyalaya West Side Old Building Umri,89
63 - Chinchala,Z.P.P.S.Chinchala P.U,89
64 - Dhanora Bu.,Grampanchyat Office Dhanora Bu,89
65 - Dhanora Bu.,Z.P.P.S. Dhanora Bu,89
66 - Dhanora Bu.,Z.P.P.S. Dhanora Bu.,89
67 - Junni,Z.P.P.S. New Building Junni,89
68 - Pangari,Z.P.P.S. Pangari,89
