PS No & Name,Address,Constituency Number
1 - Takarakheda,Z P Primary School Takarkheda Room No 1 From West,8
2 - Takarakheda,Z P Primary School Takarkheda Room No 2 From West,8
3 - Vadade/ chavalade,Z P Primary School Vadade Room No 1 From North,8
4 - Vadade/ chavalade,Z P Primary School Chavalde new building Room No.1 From North,8
5 - Tavakheda P.n,Z P Pri. School Room No 1 From EastTavkheda pr.n,8
6 - Tavakheda P.n,Z P Pri. School Room No 3 From EastTavkheda pr.n,8
7 - Nimgul,Z P Pri. School Room No 01 From North Nimgul,8
8 - Nimgul,Z P Pri. School Room No 02 From North Nimgul,8
9 - Nimgul,Z P Pri. School Room No 03 From North Nimgul,8
10 - Nimgul,Z P Pri. School Room No 04 From North Nimgul,8
11 - Zotavade,"Z P Pri. School Room No 01 From East, Zotwade",8
12 - Nave Shendavade,Z P Pri. School Nave Shendwade Room No 01 From East,8
13 - Sahur,Z.P Primary School Sahur East North Building Room No.1 From East,8
14 - Rami,"Rashtrahit Sanvardhak Edu. Institutes High school Rami,South North building room no-02 from North",8
15 - Rami,"Rashtrahit Sanvardhak Edu. Institutes High school Rami,South North building room no-03 from North",8
16 - Rami,"Rashtrahit Sanvardhak Edu. Institutes High school Rami,South North building room no-05 from North",8
17 - Rami,"Rashtrahit Sanvardhak Edu. Institutes High school Rami,South North building room no-07 from North",8
18 - Pathare,Z P School Pathare South-North Building Room No 02 From South,8
19 - Pathare,Z P School Pathare South-North Building Room No 01 From South,8
20 - Dhavde,Z P School Dhawade Room No 02 From East,8
21 - Dhavde,Z P School Dhawade Room No 01 From East,8
22 - Zirave,Z P School Zirve Room No 01 from West,8
23 - Karle,Z P Pri. School New building room No 2 from West,8
24 - Karle,Z P Pri. School New building room No3 from West,8
25 - Karle,Z P Pri. School New building room No.4 from West,8
26 - Parasole,Z P Primary School Parsole Room No.2 From East,8
27 - Akkalakos,Govt. Ashram School east-west building room no 3 from,8
28 - Malpur,Z P Marathi School No.1 Malpur South-North Building Room No.2 From North (Near Office),8
29 - Malpur,Z P Marathi School No.1 Malpur South-North Building Room No.4 From North,8
30 - Malpur,Z P Marathi School No.1 Malpur South-North Building Room No.6 From North,8
31 - Malpur,Z.P.Marathi School No.2 (Girl's School) south-north building room no-03 from north Malpur,8
32 - Malpur,Z.P.Marathi School No.2 (Girl's School) south-north building room no-04 from north Malpur,8
33 - Malpur,Z.P.Marathi School No.2 (Girl's School) Malpur South-North Building Room No-05 From North,8
34 - Suray,Z P pri. School New building room no-01 From south Suray,8
35 - Suray,Z P pri. School New building room no-02 From south Suray,8
36 - Suray Kalavade,Z P School Suray -Kalwade Old Building Room No.1,8
37 - Suray Kalavade,Z P pri. School Old building room no-01 -Kalwade,8
38 - Chudane,Z P pri. School room no-01 -Chudane,8
39 - Dondaicha,Aadarsh Bal Mandir East-West Building shindhi colony Dondaicha room no-01 from East,8
40 - Dondaicha,Aadarsh Bal Mandir East-West Building shindhi colony Dondaicha room no-03 from East,8
41 - Dondaicha,S.V.S. Institutes Girl's high school & Jr.college north-south building room no 1 from south,8
42 - Dondaicha,S.V.S. Institutes Girl's high school & Jr.college north-south building room no 2 from south,8
43 - Dondaicha,S.V.S. Institutes Girl's high school & Jr.college north-south building room no 3 from south,8
44 - Dondaicha,Swadhark vidya mandir Girl's high school &Jr.college East-West Building Room No.3 from East Side,8
45 - Dondaicha,S.V.S.Institutes Girl's high school &Jr.college east-west building room no 2 from East Dondaicha,8
46 - Dondaicha,Vivekanand English Medium School Noth-South Building Room No.2 From South Dondaicha,8
47 - Dondaicha,Swadhark vidya Institutes the Dadasaheb Rawal high school Dondaicha North South Building room no 06 from North,8
48 - Dondaicha,"Ahinsa International School, Eastern Side Building Room No.3, From South Dondaicha",8
49 - Dondaicha,S.V.S.Dadasaheb Rawal High School & Jr.College East-West Building Room no 03 from West,8
50 - Dondaicha,"Ahinsa International School, Eastern Side Building Room No.4, From South Dondaicha",8
51 - Dondaicha,"Ahinsa International School, Eastern Side Building Room No.5, From South Dondaicha",8
52 - Dondaicha,"Ahinsa International School, Western Side Building Room No.7, From south Dondaicha",8
53 - Dondaicha,Dondaicha Varvade Municipal Council School No-08 East-West Building Room No.01 from East,8
54 - Dondaicha,Dondaicha Varvade Municipal Council School No-08 East-West Building Room No.02 from East,8
55 - Dondaicha,Dondaicha Varvade Municipal Council School No-08 North-South Building Room No.02 from North,8
56 - Dondaicha,Dondaicha Varvade Municipal Council School No-08 North-South Building Room No.01 from North,8
57 - Dondaicha,Dondaicha Nagar palika school no. 09 East West Building no.1 Room No.1 from east,8
