PS No & Name,Address,Constituency Number
1 - Kolgaon,ZPPS Kokgaon,90
2 - Harnala,Z.P.P.S.Harnala,90
3 - Dugaon,ZPPS East Side Dugaon,90
4 - dugaon,Z.P.P.S. West Side Dugaon,90
5 - torana,Z.P.P.S. Torana,90
6 - khaparala,Z.P.P.S.Khaparala,90
7 - gujari,Z.P.P.S.Gujari,90
8 - chirali,Z.P.P.S.Chirli,90
9 - kauta,Z.P.P.S.Kautha,90
10 - kangathi,z.p.p.s. Kangathi,90
11 - kumbhargaon,z.p.p.s. New Building South Side kumbharaon,90
12 - kumbhargaon,Z.P.P.S.New Building East Side Kumbhargaon,90
13 - arali,Z.P.P.S. East Side Arali,90
14 - arali,Z.P.P.S. West Side Arali,90
15 - arali,Grampachayat Office Arali,90
16 - pimpalgaon ku,Z.P.P.S.West Side Pimpalgaon Ku.,90
17 - pimpalgaon ku,Z.P.P.S.West Side Pimpalgaon Ku.,90
18 - kundalwadi,Z.P.P.S. Kundalwadi,90
19 - hajyapur,Z.P.P.S.Hajjapur,90
20 - karhala,Z.P.P.S. Karhala,90
21 - hungunda,Z.P.P.S. Hungunda,90
22 - hungunda,Z.P.P.S. East Side Hungunda,90
23 - haranali/mamadapur,z.p.p.s.Haranali,90
24 - kundalwadi,krushi utapan bajar samiti east Side Kundalwadi,90
25 - kundalwadi,krushi utpan bajar samiti west Side Kundalwadi,90
26 - kundalwadi,gangabai potana sabbanwar girls junior collage kundalwadiu,90
27 - kundalwadi,z.p.p.s.high school Kundalwadi,90
28 - kundalwadi,milind high school east Side Kundalwadi,90
29 - kundalwadi,milind high school west Side Kundalwadi,90
30 - kundalwadi,Municipal corporation Kundalwadi,90
31 - dour,Z.P.P.S.East Side Daur,90
32 - dour,Z.P.P.S.West Side Daur,90
33 - belkoni khurd,Z.P.P.S.Belkoni Khurd,90
34 - belkoni khurd,Grampanchyat Office New Building Belkoni Khurd,90
35 - gaglegaon,Z.P.P.S.East Side Gaglegaon,90
36 - gaglegaon,Z.P.P.S.West Side Gaglegao,90
37 - belkoni budruk,Z.P.P.S.West Side Belkoni Bk.,90
38 - belkoni budruk,Z.P.P.S.North Side Belkoni Bk.,90
39 - savali,Grampanchyat Office Savali,90
40 - savali,Z.P.P.S.East Side Savali,90
41 - savali,Z.P.P.S.West Side Savali,90
42 - kundalwadi,Nagar Palika Sabhagruh Kundalwadi,90
43 - kundalwadi,Sankrutik Sabhagruh Kundalwadi,90
44 - nagani,Z.P.P.S.Nagni,90
45 - arjapur,Z.P.P.S.East Side Arjapur,90
46 - arjapur,Z.P.P.S.West Side Arjapur,90
47 - kondlapur,Z.P.P.S. Kondalapur,90
48 - kolheborgaon,Animal Hospital Kolheborgaon,90
49 - kolheborgaon,Grampanchyat Office Kolheborgaon,90
50 - lohagaon,Z.P.H. Lohgaon,90
51 - lohagaon,Z.P.H. North Side Room No.1 Lohgaon,90
52 - lohagaon,Z.P.H. West Side Room. No.2 Lohgaon,90
53 - lohagaon,Z.P.H. Centar Room. No3 Lohgaon,90
54 - talni,Z.P.K.P.S.East Side Talni,90
55 - talni,Z.P.K.P.S.West Side Talni,90
56 - kasarali,Z.P.K.P.S.East Side Kasrali,90
57 - kasarali,Anganwadi Kasrali,90
58 - kasarali,Z.P.K.P.S West Side Kasrali,90
59 - kasarali,Z.P.K. P.S. North Side Kasrali,90
60 - bhosi,Z.P.P.S. Bhosi,90
61 - biloli,Nagar Parishad New Building East Side Biloli,90
62 - biloli,Nagar Parishad New Building West side Biloli.,90
63 - kotagyal,Z.P.P.S. Kotagyal,90
64 - Daulapur,Z.P.P.S. Daulapur,90
65 - machanur,Z.P.P.S. East Side Machanur,90
66 - machanur,Z.P.P.S.West Side Machanur,90
67 - biloli,kasturba gandhi hostel no 2 South side room Kundalwadi Road Biloli,90
68 - biloli,kasturba gandhi hostel no 2 North side room Kundalwadi Road Biloli,90
69 - biloli,Z.P.K.P.S. North Side Room No.1 Biloli,90
70 - biloli,Z.P.K.P.S.North Side Room No.2 Biloli,90
71 - biloli,Z.P.K.P.S North Side Room No.3 Biloli,90
72 - biloli,Z.P.K.P.S. North Side Room No.4 Biloli,90
73 - biloli,Vidyaniketan Vidyalaya Biloli,90
74 - biloli,Biloli urdu highschool and juniour college computer lab Choti Galli Biloli,90
75 - biloli,Biloli urdu highschool and juniour college 10 th class room Choti Galli Biloli,90
76 - biloli,Nagar Palika Prathamik Shala North Side Biloli,90
77 - biloli,Nagar Palika Parathmik Shala West Side Biloli,90
78 - dagdapur,Z.P.P.S. Dagdapur,90
79 - chinchala,Z.P.P.S.East Side Chinchala,90
80 - chinchala,Z.P.P.S.West Side Chinchala,90
81 - pachpimpali,Z.P.P.S. Pachpimpali,90
82 - jigala,Z.P.P.S. Jigla,90
83 - phiparaga mala,Z.P.P.S.East Side Hiparaga Mal,90
84 - phiparaga mala,Z.P.P.S.North Side Hiparaga Mal,90
85 - kinala,Z.P.P.S. East Side Room No 1 Kinala,90
86 - kinala,Z.P.P.S. Room No 2 Kinala,90
87 - phokharni,Grampanchyat Office Pokharni,90
88 - babhali,Z.P.P.S. Babhali A.,90
89 - ganjagaon,Z.P.P.S.Ganjagaon,90
90 - ganjagaon,Z.P.P.S.Ganjagaon,90
