PS No & Name,Address,Constituency Number
1 - Wakharad,Z.P.P.S. Wakharad,91
2 - Ambulga,Z.P.C.P.S. (East side) Ambulga,91
3 - Ambulga,Z.P.C.P.S. (West side)Ambulga,91
4 - pimplyachi -wadi,Z.P.P.S. Pimplyachiwadi,91
5 - Tokwadi,Z.P.P.S. Tokwadi,91
6 - Shellali,Z.P. primary school Shellali,91
7 - Bori Budruk,Z.P. primary school Bori Bu,91
8 - Bori Budruk,Z.P. primary school Kagnewadi,91
9 - Navandhyachiwadi,Z.P.P.S. Navandhyachiwadi,91
10 - Kalka,Z.P.P.S. Juni Imarat Kalka,91
11 - Kalka,Z.P.P.S. Navi Imarat Kalka,91
12 - Mangnali,Z.P. primary school East side Manganali,91
13 - Mangnali,Z.P. primary school West side Manganali,91
14 - Shirshi Budr,Z.P. primary school Shirasi Bu.,91
15 - Shirshi Khu,Z.P. primary school Shirasi Khu.,91
16 - Jakapur,Z.P. primary school Jakapur,91
17 - Yellur,Z.P. primary school (Old Building ) Yelur,91
18 - Yellur,Z.P. primary school (New Building ) Yelur,91
19 - Masalga,Z.P. primary school Masalaga,91
20 - Masalga,Z.P. primary school New masalaga,91
21 - Narnali,Z.P.P.S. Narnali,91
22 - Madali,Z.P. primary school Madali,91
23 - Khandgaon,Z.P. primary school Khandagav (h. ),91
24 - Gonar,Z.P. Ken. primary school West side Gonar,91
25 - Gonar,Z.P. Ken. primary school East side Gonar,91
26 - Pethwadaj,Z.P. primary school East side Petavadaj,91
27 - Pethwadaj,Z.P. Ha. Dakshin side Petavadaj,91
28 - Pethwadaj,Z.P. Ha. Madhy side Petavadaj,91
29 - Pethwadaj,Z.P. Ha. Uttar side Petavadaj,91
30 - Pethwadaj,Gramapanchayat Office Petavadaj,91
31 - Devichiwadi,Z.P. primary school Devayachi Wadi,91
32 - Kallhali,Z.P. primary school Uttar side Kalhali,91
33 - Kalhali,Z.P.P.S. South side Kalhali,91
34 - SawrgaonNi,Z.P. primary school Savaragav (ni. ) South side,91
35 - SawrgaonNi,Z.P. primary school Savaragav (ni. ) North side,91
36 - Harbal PK,Z.P. primary school Harbal pk.,91
37 - Pokharni,Z.P.P.S. Pokharni,91
38 - Somthana,Z.P.P.S. Somthana,91
39 - Guttewadi,Z.P. primary schoolla Guttewadi,91
40 - Nagalgaon,Z.P. primary school Dakshin side Nagalagav,91
41 - Shreeganwadi,Z.P. primary school Shreeganwadi,91
42 - Neharunagar,Z.P.primary school Neharunagar,91
43 - Jairamtanda,Z.P. primary school Jairamtanda,91
44 - Ramanaik tanda,Z.P. primary school Ramanaik tanda,91
45 - Hanmntwadi,Z.P. primary school Hanamantavadi,91
46 - Mohija,Z.P. primary school Mohija,91
47 - Paranda,Z.P. primary school Paranda,91
48 - Wahad,Z.P.P.S. West side Wahad,91
49 - Wahad,Z.P.P.S. West side Wahad,91
50 - Kurula,Z.P. K. primary school Dakshin side room no.1 Kurula,91
51 - Kurula,Z.P. K. primary school North side Hall no.1 Kurula,91
52 - Kurula,Z.P. K. primary school North side Hall no.2 Kurula,91
53 - Kurula,Shri Shivaji Primary & Upper Primary School Kurula,91
54 - Narvatwadi,Z.P. Primary School Narvatwadi,91
55 - Kurula,Gramapanchayat Karyalay North Side Kurula,91
56 - Daithna,Z.P.P.S. Daithna,91
57 - Marshivni,Z.P. primary school Navin Imarat Marashivani,91
58 - Ghagardara,Z.P. primary school Ghagaradara,91
59 - Digras Khur,Z.P. primary school Uttar side Digras Khu,91
60 - Digras khur,Z.P. primary school Dakshin side Digras Khu,91
61 - Gandhinagar,Grampanchayt Office Gandhinagar,91
62 - Rui,Z.P. K. primary school Uttar side Navin Imarat Rui,91
63 - Rui,Z.P.K. primary school Dakshin side Navin Imarat Rui,91
64 - Admalwadi,z.p.primary school Adamalavadi,91
65 - Pandurni,z.p.primary school Pandurni,91
66 - Kaparwadi,z.p.primary school Kaparavadi,91
67 - Bavanwadi,z.p.primary school Bavanavadi,91
68 - Khairaka,z.p.primary school New Building Khairaka,91
69 - Khairakawadi,z.p.primary school Khairakavadi,91
70 - Bomnali,z.p.primary school Bomanali,91
71 - Berali bu,z.p.primary school room no. 1 Berali Bu.,91
72 - Berali bu,z.p.primary school room no. 2 Berali Bu.,91
73 - Chivali,z.p.primary school Chivali,91
74 - Kharab Khandagav,Z.P. Kendriya Primary School Room No. 2 Kharab Khandgaon.,91
75 - Kharab Khandagav,z.p.primary school Kharab Khandagav,91
76 - Salagara Bu.,Grampanchayat office Salagara Bu.,91
77 - Salagara Khu,z.p.primary school Salagara Khu room no. 1,91
78 - Salagara Khu,z.p.primary school Salagara Khu room . no. 2,91
79 - Nandagav P. K.,z.p.primary school Nandagav P. K.,91
80 - Dongaragav,z.p.primary school Dongaragav,91
81 - Bavalagav,Z.P. P.S. Old Bavalagav,91
82 - Bavalagav,Z.P.P.S Old Bavalagav,91
83 - Betmogara,z.p.high school. school Betmogara room no. 1,91
