PS No & Name,Address,Constituency Number
1 - Keli,Z.P.P.S. Keli RoomNo. 01,92
2 - Keli Tanda,Z.P.P.S. Keli Tanda RoomNo. 01,92
3 - Pardi Sawali,Z.P.P.S. Pardi Sawali RoomNo. 01,92
4 - Sawali Khurd,Z.P.P.S. Sawali Khurd RoomNo. 01,92
5 - Kamtha,Z.P.P.S. Kamtha Room No. 01,92
6 - Jodpimpari,Z.P.P.S.Jodpimpari RoomNo. 01,92
7 - Rupur,Z.P.P.S. Rupur Camp RoomNo. 01,92
8 - Rupur Tanda,Z.P.P.S. Rupur Tanda RoomNo. 01,92
9 - Gojegaon,Z.P.P.S. Gojegaon RoomNo. 01,92
10 - Dhar,Z.P.P.S. Dhar RoomNo. 01,92
11 - Chimegaon,Z.P.P.S. Chimegaon RoomNo. 01,92
12 - Salna,Z.P.P.S. Salna RoomNo. 01,92
13 - Salna,Z.P.P.S. Salna RoomNo. 02,92
14 - Ranmeshwar,Z.P.P.S. Rameshwar RoomNo. 01,92
15 - Hiwarkheda,Z.P.P.S. Hiwarkheda RoomNo. 01,92
16 - Yeli,Z.P.P.S. Yeli RoomNo. 01,92
17 - Daudgaon,Z.P.P.S. Daudgaon RoomNo. 01,92
18 - Landala,Z.P.P.S. Landala RoomNo. 01,92
19 - Undegaon,Z.P.P.S. Undegaon RoomNo. 01,92
20 - Ankhali,Z.P.P.S. Ankhali RoomNo. 01,92
21 - Ankhali Wadi,Z.P.P.S. Ankhaliwadi RoomNo. 01,92
22 - Pota Bu.,Z.P.P.S. Pota Bu. RoomNo. 01,92
23 - Pota Khurd,Z.P.P.S. Pota Khurd RoomNo. 02,92
24 - Anjanwadi,Z.P.P.S. Anjanwadi RoomNo. 01,92
25 - Kondsi Bu.,Z.P.P.S. Kondsi Bu. RoomNo. 01,92
26 - Wagarwadi,Z.P.P.S. Wagarwadi RoomNo. 01,92
27 - Wagarwadi Tanda,Z.P.P.S. Wagarwadi Tanda RoomNo. 01,92
28 - Nageshwadi,Z.P.P.S. Nageshwadi Room No. 01,92
29 - Nageshwadi,Z.P.P.S. Nageshwadi RoomNo. 02,92
30 - Daregaon,Z.P.P.S. Daregaon Room No. 01,92
31 - Daregaon,Z.P.P.S. Daregaon Room No. 02,92
32 - Asola T. Lakh,Z.P.P.S. Asola T. Lakh RoomNo. 01,92
33 - Asola T. Lakh,Z.P.P.S. Asola T. Lakh RoomNo. 02,92
34 - Lohra Bu.,ZPCPS Lohra Bu. RoomNo. 01,92
35 - Lohra Bu.,ZPCPS Lohra Bu. RoomNo. 02,92
36 - Revansidh Tanda,Z.P.P.S. Revansidh Tanda RoomNo. 01,92
