PS No & Name,Address,Constituency Number
1 - Kherda,"Z.P.P.school, Kherda Room No. 1",93
2 - Kherda,"Z.P.P.school, Kherda Room No. 2",93
3 - Bhatsawangi,"Z.P.P.school,  Bhatsawangi Room No. 1",93
4 - Patonda,"Z.P.P.school, Patonda Room No. 1",93
5 - Bhatsawangi Tanda,"Z.P.P.school,  Bhatsawangi Tanda Room No. 1",93
6 -  Sagad,"Z.P.P.school, Sagad Room No. 1",93
7 - Durgsawangi,"Z.P.P.school, Durgsawangi Room No. 1",93
8 - Palasona,"Z.P.P.school, Palasona Room No. 1",93
9 - Hirdi,"Z.P.P.school, Hirdi Room No. 1",93
10 - Jodtala,"Z.P.P.school, Jodtala Room No. 1",93
11 - Sirsam Bk,"Z.P.P.school, Sirsam Bk Room No. 1",93
12 - Sirsam Bk,"Z.P.P.school, Sirsam Bk. Room No. 3",93
13 - Sirsam Kh,"Z.P.P.school, Sirasam Khu. Room No. 2",93
14 - Digraswani,"Z.P.P.school, Digraswani Room No. 1",93
15 - Umarakhoja,"Z.P.P.school, Umarakhoja Room No. 1",93
16 - Pimpaladari Tarfe Basamba ,"Z.P.P.school, Pimpaladari Tarfe Basamba Room No. 1",93
17 - Sawargaon Bunglaw,"Z.P.P.school, Sawargaon Bunglaw Room No. 1",93
18 - Khadkad Bk,"Z.P.P.school, Khadkad Bk. Room No. 1",93
19 - Limbi,"Z.P.P.school, Limbi Room No. 1",93
20 - Lohra,"Z.P.P.school, Lohra Room No. 1",93
21 - Pedgaon,"Z.P.P.school, Pedgaon Room No. 1",93
22 - Pedgaon,"Z.P.P.school, Pedgaon Room No.3",93
23 - Pedgaon,"Z.P.P.school, Pedgaon Room No. 2",93
24 - Bhirda,"Z.P.P.school, Bhirda Room No. 1",93
25 - Parada,"Z.P.P.school, Parada Room No. 1",93
26 -  Sava,"Z.P.P.school, Sava Room No. 1",93
27 -  Parola,"Z.P.P.school, Parola Room No. 1",93
28 -  Yeli,"Z.P.P.school, Yeli Room No. 1",93
29 -   Chincholi,"Z.P.P.school, Chincholi Room No. 1",93
30 -  Chincholi,"Z.P.P.school, Chincholi Room No. 2",93
31 - Mauja ,"Z.P.P.school, Mauja Room No. 1",93
32 - Morwad,"Z.P.P.school,Morwad Room No 01",93
33 - Mahari Bk,Z.P.P.S. Mahari Bk Room No 01,93
34 -  Tikhadi,"Z.P.P.school, Tikhadi Room No. 1",93
35 -  Gadibori,"Z.P.P.school, Gadibori Room No. 1",93
36 - Garolyachiwadi,"Z.P.P.school,Garolyachiwadi Room No 01",93
37 - Kharwad,"Z.P.P.school,Kharwad Room No 01",93
38 - Kharwad,"Z.P.P.school,Kharwad Room No 02",93
39 -  Pimparakhed,"Z.P.P.school, Pimparakhed Room No. 1",93
40 -  Basamba,"Z.P.P.school, Basamba Room No. 1",93
41 -  Basamba,"Z.P.P.school, Basamba Room No. 3",93
42 -  Basamba,"Z.P.P.school, Basamba Room No. 2",93
43 - Isapur Ramna ,"Z.P.P.school, Isapur Ramna Room No. 1",93
44 -  Isapur Tanda,"Z.P.P.school, Isapur Tanda Room No. 1",93
45 - Amberi,"Z.P.P.school, Amberi Room No.1",93
46 -  Kanaka,"Z.P.P.school, Kanaka Room No. 1",93
47 -  Rajura,"Z.P.P.school, Rajura Room No. 1",93
48 - Jatalwadi,"Z.P.P.school,Jatalwadi Room No 01",93
49 - Ramwadi,"Z.P.P.school,Ramwadi Room No 01",93
50 - Shenodi,"Z.P.P.school,Shenodi Room No 01",93
51 - Morgavhan,"Z.P.P.school,Morgavhan Room No 01",93
52 - Dholkyachiwadi,"Z.P.P.school,Dholkyachiwadi Room No 01",93
53 - Kadapdev,"Z.P.P.school,Kadapdev Room No 01",93
54 - Dhanora (J),"Z.P.P.school,Dhanora (J) Room No 01",93
55 - Khaparkheda,"Z.P.P.school, KhaparkhedaRoom No 01",93
56 - Taroda,"Z.P.P.school, Taroda Room No 01",93
57 - Wai,"Z.P.P.school, Wai Room No 01",93
58 - Masod,"Z.P.P.school, Masod Room No 03",93
59 - Masod,"Z.P.P.school,Masod Room No 02",93
60 - Asolawadi,"Z.P.P.school,Asolawadi Room No 01",93
61 -  Lasina,"Z.P.P.school, Lasina Room No. 1",93
62 -  Pimpalakhutta,"Z.P.P.school, Pimpalakhutta Room No. 1",93
63 -  Savarakheda,"Z.P.P.school, Savarakheda Room No. 1",93
64 -  Khanapur Chitta,"Z.P.P.school, Khanapur Chitta Room No. 1",93
65 -  Hivarabel,Grampamchayat Office Hivarabel Room No. 1,93
66 - Umara,"Z.P.P.school,Umara Room No 01",93
67 - Hatmali,"Z.P.P.school, Hatmali Room No 01",93
68 - Kalamnuri,"Urdhav Penganga Prakalp Z.P.P.school, Kalamnuri Room No 01",93
69 - Kalamnuri,"Urdhav Penganga Prakalp Z.P.P.school, Kalamnuri Room No 02",93
70 - Kalamnuri,Urdhav Penganga Prakalp No 18Balwadi Kalamnuri Room No 01,93
71 - Kalamnuri,Urdhav Penganga Prakalp No 18Balwadi Kalamnuri Room No 02,93
72 - Kalamnuri,"Ambedkar Hall, Kalamnuri",93
73 - Kalamnuri,Gulam Nabi Azad High School Kalamnuri Room No 1,93
74 - Kalamnuri,Gulam Nabi Azad High School Kalamnuri Room No 2,93
75 - Kalamnuri,"Mahatma Jyotiba Phule Vidyalaya, Kalamnuri Room No 01",93
76 - Kalamnuri,"Mahatma Jyotiba Phule Vidyalaya,Kalamnuri Room No 02",93
77 - Kalamnuri,Nagar Parishad Balwadi Kalamnuri Room No 01,93
78 - Kalamnuri,Mahatma Jyotiba Phule Jr. Collage Kalamnuri Room No.1,93
79 - Kalamnuri,"Zilla Parishad Primary School New Bulding Kalamnuri, Room No.1",93
80 - Kalamnuri,"Zilla Parishad Primary School New Bulding Kalamnuri, Room No.2",93
81 - Kalamnuri,"Zilla Parishad Primary School Kanya New Building Kalamnuri,Room No.2",93
82 - Kalamnuri,"Zilla Parishad Primary School Vikas Nagar, Kalamnuri Room No. 1",93
83 - Kalamnuri,Mahatma Jyotiba Phule Jr College Room No 3,93
84 - Kalamnuri,Mahatma Jyotiba Phule Jr College Room No 2,93
85 - Palodi,"Z.P.P.school,Palodi Room No 01",93
86 - Kalamkonda Khu,"Z.P.P.school, New Building Kalamkonda Khu Room No 01",93
87 - Wakodi,Anganwadi Wakodi Room No-1,93
88 - Wakodi,"Z.P.P.school, Wakodi Room No 02",93
89 - Wakodi,Grampanchant Office Wakodi Room No.1,93
90 - Dongargaon Naka,"Z.P.P.school, Dongargaon Naka Room No 01",93
91 - Gaulbazar,"Z.P.P.school, Gaulbazar Room No 01",93
92 - Babhali,"Z.P.P.school, Babhali Room No 01",93
93 - Babhali,"Z.P.P.school, Babhali Room No 02",93
94 - Shivani Bk,"Z.P.P.school, Shivani Bk Room No 01",93
95 - Malegaon,Samajik Sabhagrah Malegaon,93
96 - Zara,"Z.P.P.school, Zara Room No 01",93
97 - Gholwa,"Z.P.P.school, New Building Gholwa Room No 01",93
98 - Selsura,"Z.P.P.school, Selsura Room No 01",93
99 - Kalamkonda Bk,"Z.P.P.school, Kalamkonda Bk Room No. 1",93
100 - Bori Shikhari ,"Z.P.P.school, Bori Shikhari Room No. 1",93
101 -  Samaga,"Z.P.P.school, Samaga Room No. 1",93
102 -   Kothalaj,"Z.P.P.school, Kothalaj Room No. 1",93
103 -   Kothalaj,"Z.P.P.school, Kothalaj Room No. 2",93
104 - Devala,"Z.P.P.school, Devala Room No. 1",93
105 - Kundakar Pimpri,"Z.P.P.school, Kundakar Pimpri Room No. 1",93
106 - Lakh,"Z.P.P.school, Lakh Room No. 1",93
107 - Lakh,"Z.P.P.school, Lakh Room No. 2",93
108 - Yedut,"Z.P.P.school, Yedut Room No. 1",93
109 - Yedut,"Z.P.P.school, Yedut Room No. 2",93
110 -  Takali Tarfe Nandapur,"Z.P.P.school, Takali Tarfe Nandapur Room No. 1",93
111 - Durgadhamni,"Z.P.P.school, Durgadhamni Room No. 1",93
112 -  Hingani,"Z.P.P.school,s Hingani Room No. 1",93
113 -  Hingani,"Z.P.P.school, Hingani Room No. 2",93
114 -  Maladhamani,Mahatma Gandhi Vidyalaya Room No. 1,93
115 -  Maladhamani,Mahatma Gandhi Vidyalaya Room No. 2,93
116 - Waranga T N,"Z.P.P.school, Waranga T N Room No 03",93
117 - Waranga T N,"Z.P.P.school, Waranga T N Room No 02",93
118 - Jambhrun,"Z.P.P.school, Jambhrun Room No 02",93
119 - Sandas T N,"Z.P.P.school, Sandas T N Room No 01",93
120 - Sandas T N,"Z.P.P.school, Sandas T N Room No 03",93
121 - Puyna,"Z.P.P.school,Puyna Room No 01",93
122 - Pardi,"Z.P.P.school, Pardi Room No 01",93
123 - Tuppa,"Z.P.P.school, Tuppa, Room No 01",93
124 - Tuppa,"Z.P.P.school, Tuppa Room No 03",93
125 - Belmandal,"Z.P.P.school, Belmandal Room No 01",93
126 - Salwa,"Z.P.P.school, Salwa Room No 01",93
127 - Salwa,"Z.P.P.school, Salwa Room No 02",93
128 - Narwadi,"Z.P.P.school, Narwadi Room No 01",93
129 - Chinchordi,"Z.P.P.school, Chinchordi Room No 01",93
130 - Kumbharwadi T C,"Z.P.P.school, Kumbharwadi T C Room No 01",93
131 - Chafnath,"Z.P.P.school,Chafnath Room No 01",93
132 - Salegaon,"Z.P.P.school,Salegaon Room No 01",93
133 - Salegaon,"Z.P.P.school, Salegaon. Room No 02",93
134 - Sodegaon,"Z.P.P.school, Sodegaon Room No 02",93
135 - Sodegaon,"Z.P.P.school, Sodegaon Room No 03",93
136 - Vasai,"Z.P.P.school, Vasai Room No. 1",93
137 - Metha,Z. P. P. School Metha Room no 1,93
138 - Metha,Z. P. P. School Metha Room no 2,93
139 - Mhalajgaon,"Z.P.P.school, Mhalajgaon Room No. 1",93
140 - Gadhala,"Z.P.P.school, Gadhala Room No. 1",93
141 - Jadgaon,"Z.P.P.school, Jadgaon Room No. 1",93
142 - Jadgaon,"Z.P.P.school, Jadgaon Room No. 2",93
143 - Hivara Jatu,"Z.P.P.school, Hivara Jatu Room No. 1",93
144 - Pimpala,"Z.P.P.school, Pimpala Room No. 1",93
145 - Boraja,"Z.P.P.school, Boraja Room No. 1",93
146 - Yehalegaon So.,"Z.P.P.school, Yehalegaon So. Room No. 1",93
147 - Yehalegaon So.,"Z.P.P.school, Yehalegaon So. Room No. 2",93
148 - Dudhala,"Z.P.P.school, Dudhala Room No. 1",93
149 - Dudhala tanda,"Z.P.P.school, Dudhala Tanda Room No. 1",93
150 - Vadchuna,"Z.P.P.school, Vadchuna Room No. 1",93
151 - Durchuna,"Z.P.P.school, Durchuna Room No. 1",93
152 - Bhosi,"Z.P.P.school, Bhosi Room No. 1",93
153 - Bhosi,"Z.P.P.school, Bhosi Room No. 2",93
154 - Pazar Tanda,"Z.P.P.school, Pazar Tanda Room No. 1",93
155 - Nagazari,"Z.P.P.school, Nagazari Room No. 1",93
156 - Dhegaj,"Z.P.P.school, Dhegaj Room No. 1",93
157 - Dhegaj tanda,"Z.P.P.school, Dhegaj Tanda Room No. 1",93
158 - Siddheshwar,"Z.P.P.school, Siddheshwar Room No. 1",93
159 - Siddheshwar,"Z.P.P.school, Siddheshwar Room No. 2",93
160 - . Savali Bahinarao,"Z.P.P.school, Savali Bahinarao Room No. 1",93
161 - Savali Tanda,"Z.P.P.school, Savali Tanda Room No. 1",93
162 - Nandagaon,"Z.P.P.school, Nandagaon Room No. 1",93
163 - Gangalavadi,"Z.P.P.school, Gangalavadi Room No. 1",93
164 - Murtijapur Savangi,"Z.P.P.school, Murtijapur Savangi Room No. 1",93
165 - Murtijapur Savangi,"Z.P.P.school, Murtijapur Room No. 2",93
166 - Bramhanavada,"Z.P.P.school, Bramhanavada Room No. 1",93
167 - Bramhanavada tanda,"Z.P.P.school, Bramhanavada Tanda Room No. 1",93
168 - Anjanwada,"Z.P.P.school, Anjanwada Room No. 1",93
169 - AnjanwadaTanda,"Z.P.P.school, AnjanwadaTanda Room No. 1",93
170 - Suregaon,"Z.P.P.school, Suregaon Room No. 1",93
171 - Turk Pimpari,"Z.P.P.school, Turk Pimpari Room No. 1",93
172 - Matha,"Z.P.P.school, Matha Room No. 1",93
173 - Matha,"Z.P.P.school, Matha Room No. 2",93
174 - Sukapur,"Z.P.P.school, Sukapur Room No. 1",93
175 - Shindewadi,"Z.P.P.school, Shindewadi Room No. 1",93
176 - Golegaon,"Z.P.P.school, Golegaon Room No. 1",93
177 - Golegaon,"Z.P.P.school, Golegaon Room No. 2",93
178 - Aundha Nagnath,Z.P.Girls P. School Near Hutatma smarak Aundha Nagnath Room No. 1,93
179 - Aundha Nagnath,Z.P.Girls P. School Near Hutatma smarak Aundha Nagnath Room No. 2,93
