PS No & Name,Address,Constituency Number
1 - Ban,Z.P.P.S. Ban R.No.1,94
2 - Vazar Khu.,Z.P.P.S. Vazar Khu. R.No.1,94
3 - Barada,Z.P.P.S. Barada R.No.1,94
4 - Dhanora Banjara,Z.P.P.S. Dhanora Banjara R.No.1,94
5 - Salegaon,Z.P.P.S. Salegaon R.No.1,94
6 - Kapadsingi,Z.P.P.S. Kapadsingi R.No.1,94
7 - Kapadsingi,Z.P.P.S. Kapadsingi R.No.2,94
8 - Kadaki,Z.P.P.S. Kadaki R.No.1,94
9 - Borkhedi,Z.P.P.S. Borkhedi R.No.1,94
10 - Nansi,Z.P.P.S. Nansi R.No.1,94
11 - Dongargaon,Z.P.P.S. Dongargaon R.No.1,94
12 - Dongargaon,Z.P.P.S. Dongargaon R.No.2,94
13 - Weltura,Z.P.P.S. Weltura R.No.1,94
14 - Weltura,Z.P.P.S. Weltura R.No.2,94
15 - Wadhona Pr. Narsi,Z.P.P.S. Wadhona Pr.Narsi R.No.1,94
16 - Wadhona Pr. Narsi,Z.P.P.S. Wadhona Pr.Narsi R.No.2,94
17 - Shegaon,Z.P.P.S. Shegaon R.No.1,94
18 - Shegaon,Z.P.P.S. Shegaon R.No.2,94
19 - Mahalshi,Z.P.P.S. Mhalshi R.No.1,94
20 - Mahalshi,Z.P.P.S. Mhalshi R.No.2,94
21 - Walana,Z.P.P.S. Walana R.No.1,94
22 - Walana,Z.P.P.S. Walana R.No.2,94
23 - Gugul Pimpri,Z.P.P.S. Gugul Pimpri R.No.1,94
24 - Gugul Pimpri,Z.P.P.S. Gugul PimpriR.No.2,94
25 - Bhagwati,Z.P.P.S. Bhagwati R.No.1,94
26 - Bhagwati,Z.P.P.S. Bhagwati R.No.2,94
27 - Mazod,Z.P.P.S. Mazod R.No.1,94
28 - Mazod,Z.P.P.S. Mazod R.No.2,94
29 - Kendra Khu.,Z.P.P.S. Kendra Khu. R.No.1,94
30 - Hiwara N. Maharkheda,Z.P.P.S. Hiwara N Maherkheda R.No.1,94
31 - Mannas Pimpri,Z.P.P.S. Mannas Pimpri R.No.1,94
32 - Mannas Pimpri,Z.P.P.S. Mannas Pimpri R.No.2,94
33 - Batawadi,Z.P.P.S. Batawadi R.No.1,94
34 - Kendra BK.,Z.P.P.S. Kendra BK. R.No.1,94
35 - Kendra BK.,Z.P.P.S. Kendra BK. R.No.2,94
36 - Kahakar BK.,Z.P.P.S. Kahakar Bk. R.No.1,94
37 - Kahakar BK.,Z.P.P.S. Kahakar Bk. R.No.2,94
38 - Warkheda,Z.P.P.S. Warkheda R.No.1,94
39 - Waghajali,Z.P.P.S. Waghjali R.No.1,94
40 - Waghajali,Z.P.P.S. Waghajali R.No.2,94
41 - Khairakheda,Z.P.P.S. Khairakheda R.No.1,94
42 - Pankanhergaon,Z.P.P.S. Pankanhergaon R.No.1,94
43 - Pankanhergaon,Z.P.P.S. Pankanhergaon R.No.2,94
44 - Pankanhergaon,Z.P.H.S. Pankanhergaon R.No.1,94
45 - Pankanhergaon,Z.P.H.S. Pankanhergaon R.No.2,94
46 - Pankanhergaon,Z.P.H.S. Pankanhergaon R.No.3,94
47 - Pankanhergaon,Z.P.P.S. Pankanhergaon R.No.6,94
48 - Sawarkheda,Z.P.P.S. Sawarkheda R.No.1,94
49 - Jaipur,Z.P.P.S. Jaipur R.No.1,94
50 - Jaipur,Z.P.P.S. Jaipur R.No.2,94
51 - Jaipur,Z.P.P.S. Jaipur R.No.3,94
52 - Jaipur,Z.P.P.S. Jaipur R.No.4,94
53 - Kahakar Khu.,Z.P.P.S. KahakarKhu. R.No.1,94
54 - Sakhara,Z.P.P.S. Sakhara R.No.1,94
55 - Sakhara,Z.P.P.S. Sakhara R.No.2,94
56 - Kelsula,Z.P.P.S. Kelsula R.No.1,94
57 - Kelsula,Z.P.P.S. Kelsula R.No.2,94
58 - Ghordari,Z.P.P.S. Ghordari R.No.1,94
59 - Ghordari,Z.P.P.S. Ghordari R.No.2,94
60 - Hiwarkheda,Z.P.P.S. Hiwarkheda R.No.1,94
61 - Borkhedi,Z.P.P.S. Borkhedi R.No.1,94
62 - Borkhedi,Z.P.P.S. Dhotra R.No.1,94
63 - Uti Bramhachari,Z.P.P.S. Uti Bramhachari R.No.1,94
64 - Uti Bramhachari,Z.P.P.S. Uti Bramhachari R.No.2,94
65 - Singi Khamba,Z.P.P.S. Singi Khamba R.No.1,94
66 - Singi Khamba,Z.P.P.S. Singi Khamba R.No.2,94
67 - Kondwada,Z.P.P.S. Kondwada R.No.1,94
68 - Watkali,Z.P.P.S. Watkali R.No.1,94
69 - Watkali,Z.P.P.S. Watkali R.No.2,94
70 - Datada BK.,Z.P.P.S. Datada BK. R.No.1,94
71 - Datada Khu.,Z.P.P.S. DatadaKhu. R.No.1,94
72 - Ajegaon,Z.P.P.S. Ajegaon R.No.1,94
73 - Ajegaon,Z.P.P.S. Ajegaon R.No.2,94
74 - Ajegaon,Z.P.P.S. Ajegaon R.No.3,94
75 - Ajegaon,Z.P.P.S. Ajegaon R.No.4,94
76 - Taktoda,Z.P.P.S. Taktoda R.No.1,94
77 - Taktoda,Z.P.P.S. Taktoda R.No.2,94
78 - Hatala,Z.P.P.S. Hatala R.No.1,94
79 - Hatala,Z.P.P.S. Hatala R.No.2,94
80 - Jamti BK.,Z.P.P.S. Jamthi BK. R.No.1,94
