PS No & Name,Address,Constituency Number
1 - Handi,Z.P.P.S Handi Room no.1,95
2 - Handi,Z.P.P.S Handi Room no.2,95
3 - Dhamadham,Z.P.P.S Dhamadham Room no.1,95
4 - Vazar Bu,Z.P.P.S Vazar Bu Room no.1,95
5 - Vazar Bu.,Z.P.P.S Vazar Bu Room no.2,95
6 - Vazar Bu.,Z.P.P.S Vazar new settelement area Room no.1,95
7 - Sayakheda,Z.P.P.S Sayakheda Room no.1,95
8 - Umarad,Z.P.P.S Umarad Room no.1,95
9 - Savangi (Bhambale),Z.P.P.S Savangi (Bhambale) Room no.1,95
10 - Savangi (Bhambale),Z.P.P.S Savangi (Bhambale) Room no.2,95
11 - Asola,Z.P.P.S Asola Room no.1,95
12 - Kavada,Z.P.P.S Kavada Room no.1,95
13 - Kavada,Z.P.P.S Kavada Room no.2,95
14 - Dhanora (bu. ),Z.P.P.S Dhanora (bu. ) Room no.1,95
15 - Vadi,Z.P.P.S Vadi Room no.1,95
16 - Ghagra,Z.P.P.S Ghagra Room no.1,95
17 - Waghi (Dhanora),Z.P.P.S New Bulding waghi (Dhanora) Room no.1,95
18 - Waghi (Dhanora),Z.P.P.S waghi (Dhanora) Room no.2,95
19 - Koravadi,Z.P.P.S Koravadi Room no.1,95
20 - Koravadi,Z.P.P.S Koravadi Room no.2,95
21 - Sankrala,Z.P.P.S Sankrala Room no.1,95
22 - Kumbhephal,Z.P.P.S Kumbhephal Room no.1,95
23 - Bamani (bu ),Z.P.P.S Bamni (bu ) Room no.1,95
24 - Bamani (bu ),Z.P.P.S Bamni (bu ) Room no.3,95
25 - Bamani (bu ),Z.P.P.S Bamni (bu ) Room no.2,95
26 - Chaudharani,Z.P.P.S Chaudharani Room no.1,95
27 - Ambarawadi,Z.P.P.S Ambarawadi Room no.1,95
28 - Ambarawadi,Z.P.P.S Ambarawadi Room no.2,95
29 - Ambarawadi,Z.P.P.S Ambarawadi Room no.3,95
30 - Karanji,Z.P.P.S Karanji Room no.1,95
31 - Karanji,Z.P.P.S Karanji Room no.2,95
32 - Dahegaon,Z.P.P.S Dahegaon Room no.1,95
33 - Kavi,Z.P.P.S Kavi Room no.1,95
34 - Kavi,Z.P.P.S Kavi Room no.2,95
35 - Boragalavadi,Z.P.P.S Boragalavadi Room no.1,95
36 - Hanavatakheda,Z.P.P.S Hanavatakheda Room no.1,95
37 - Navhati Tanda,Z.P.P.S Navhati Tanda Room no.1,95
38 - Mohadi,Z.P.P.S Mohadi Room no.1,95
39 - Kotha,Z.P.P.S Kotha Room no.1,95
40 - Kotha,Z.P.P.S Kotha Room no.2,95
41 - Belura,Z.P.P.S Belura Room no.1,95
42 - Dagadchop,Z.P.P.S Dagadchop Room no.1,95
43 - Jambarun,Z.P.P.S Jambarun Room no.1,95
44 - Kanha,Z.P.P.S Kanha Room no.1,95
45 - Bramhanagaon,Z.P.P.S Bramhanagaon Room no.1,95
46 - Kurhadi,Z.P.P.S Kurhadi Room no.1,95
47 - Kurhadi,Z.P.P.S Kurhadi Room no.2,95
48 - Angalagaon,Z.P.P.S Angalagaon Room no.1,95
49 - Angalagaon,Z.P.P.S Angalagaon Room no.2,95
50 - Hivarakheda,Z.P.P.S Hivarakheda Room no.1,95
51 - Savangi Mhalasa,Z.P.P.S Savangi Mhalasa Room no.1,95
52 - Savangi Mhalasa,Z.P.P.S Savangi Mhalasa Room no.2,95
53 - Savangi Mhalasa,Z.P.P.S Savangi Mhalasa Room no.3,95
54 - Savangi Mhalasa,Z.P.P.S Savangi Mhalasa Room no.4,95
