PS No & Name,Address,Constituency Number
1 - Mandwa,Zilha Parishad Prathrmik Shala kholi kr. 1 Mandwa,96
2 - Zari,Zilha Parishad Kanya shala kholi kr. 1 zari,96
3 - Zari,Zilha Parishad Kanya shala kholi kr. 5 zari,96
4 - Zari,Zilha Parishad Kanya shala kholi kr. 11 zari,96
5 - Zari,Zilha Parishad Madhyamik Shala Kholi Kr. 3 Zari,96
6 - Zari,Zilha Parishad Madhyamik Shala Kholi Kr. 4 Zari,96
7 - Zari,Zilha Parishad Madhyamik Shala Kholi Kr. 5 Zari,96
8 - Zari,Zilha Parishad Prathmik Shala Kholi Kr. 1 Zari,96
9 - Mirzapur,Zilha Parishad Madhyamik Shala Kholi Kr. 1 Mirzapur,96
10 - Sadegaon,Zilha Parishad Prashala Kholi Kr. 3 Sadegaon,96
11 - Sadegaon,Zilha Parishad Prashala Kholi Kr. 5 Sadegaon,96
12 - Sadegaon,Zilha Parishad Prathmik Shala Kholi Kr. 1 Sadegaon,96
13 - Pingli Kothala,Zilha Parishad Prathmik Shala Kholi Kr. 1 Pingli Kothala,96
14 - Jod parali,Zilha Parishad Prathmik Shala Kholi Kr. 1 Jodparali,96
15 - Jod parali,Zilha Parishad Prathmik Shala Kholi Kr. 1 Jodparali,96
16 - Takli Bobde,Zilha Parishad Prathmik Shala Kholi Kr. 1 Takli Bobde,96
17 - Takli Bobde,Zilha Parishad Prathmik Shala Kholi Kr. 2 Takli Bobde,96
18 - Sawangi Kh.,Zilha Parishad Prathmik Shala Kholi Kr. 1 Sawangi Kh.,96
19 - Sambar,Zilha Parishad Prathmik Shala Shatkoni Kholi Kr. 4 Sambar,96
20 - Sambar,Zilha Parishad Prathmik Shala Kholi Kr. 2 Sambar,96
21 - Matkarhala,Zilha Parishad Prathmik Shala Kholi Kr. 1 Matkarhala,96
22 - Mangangaon,Zilha Parishad Prathmik Shala Kholi Kr. 1 Mangangaon,96
23 - Wadidamai,Zilha Parishad Prathmik Shala Kholi Kr. 1 Wadidamai,96
24 - Hingla,Zilha Parishad Prathmik Shala Kholi Kr. 2 Hingla,96
25 - Pimpla,Zilha Parishad Prathmik Shala Kholi Kr. 1 Pimpla,96
26 - Jalalpur,Zilha Parishad Prathmik Shala Kholi Kr. 1 Jalalpur,96
27 - Nandapur,Zilha Parishad Prathmik Shala Kholi Kr. 1 Nandapur,96
28 - Nandapur,Zilha Parishad Prathmik Shala Kholi Kr. 3 Nandapur,96
29 - Takli Kumbhakarna,Zilha Parishad Prathmik Shala Kholi Kr. 1 Takli Kumbhakarna,96
30 - Takli Kumbhakarna,Zilha Parishad Prathmik Shala Kholi Kr. 5 Takli Kumbhakarna,96
31 - Takli Kumbhakarna,Zilha Parishad Prathmik Shala Kholi Kr. 2 Takli Kumbhakarna,96
32 - Takli Kumbhakarna,Zilha Parishad Kendriya Prathamik Shala Anganwadi Kholi Kr. 2 Takli Kumbhakarna,96
33 - Takli Kumbhakarna,Zilha Parishad Kendriya Prathamik Shala Anganwadi Kholi Kr. 1 Takli Kumbhakarna,96
34 - Takli Kumbhakarna,Zilha Parishad Prathmik Shala Kholi Kr. 3 Takli Kumbhakarna,96
35 - Dharmapuri,Zilha Parishad Prathmik Shala Kholi Kr. 1 Takli Kumbhakarna,96
36 - Dharmapuri,Zilha Parishad Prathmik Shala Kholi Kr. 2 Takli Kumbhakarna,96
37 - Sanpuri,Zilha Parishad Prathmik Shala Navin Imarat Kholi Kr. 1 Sanpuri,96
38 - Sanpuri,Zilha Parishad Prathmik Shala Navin Imarat Kholi Kr.2 Sanpuri,96
39 - Kardgaon,Zilha Parishad Prathmik Shala Kholi Kr. 1 Kardgaon,96
40 - Dharangaon,Zilha Parishad Prathmik Shala Kholi Kr. 1 Dharangaon,96
41 - Satala,Zilha Parishad Prathmik Shala Kholi Kr. 1 Satala,96
42 - Samsapur,Zilha Parishad Prathmik Shala Kholi Kr. 1 Samsapur,96
43 - Dhar,Zilha Parishad Prathmik Shala Kholi Kr. 1 Dhar,96
44 - Durdi,Zilha Parishad Prathmik Shala Kholi Kr. 1 Durdi,96
45 - Murumba,Zilha Parishad Prathmik Shala Kholi Kr. 8 Murumba,96
46 - Sukapurwadi,Anganwadi Imarat Sukapurwadi,96
47 - Pipalgaon Tong,Zilha Parishad Prathmik Shala Kholi Kr. 1 Pimpalgaon Tong,96
48 - Devthana,Zilha Parishad Prathmik Shala Kholi Kr. 1 Devthana,96
49 - Nandgaon Khurd,Zilha Parishad Prathmik Shala Navin Imarat Kholi Kr.1 Nandgaon Khu.,96
50 - Nandgaon Khurd,Zilha Parishad Prathmik Shala Navin Imarat Kholi Kr.5 Nandgaon Khu.,96
51 - Nandgaon Budruk,Zilha Parishad Prathmik Shala Kholi Kr. 1 Nandgaon Bu.,96
52 - Saba,Zilha Parishad Prathmik Shala Kholi Kr. 1 Saba,96
53 - Wangi,Zilha Parishad Prathmik Shala Kholi Kr. 1 Wangi,96
54 - Wangi,Zilha Parishad Prathmik Shala Kholi Kr.2 Wangi,96
55 - Nandkheda,Zilha Parishad Prathmik Shala Kholi. Kr.3 Nandkheda,96
56 - Nandkheda,Zilha Parishad Prathmik Shala Kholi Kr. 4 Nandkheda,96
57 - Parbhani,Saraswati Vidyalaya Pathri Road Kholi Kr.1 Parbhani,96
58 - Parbhani,Saraswati Vidyalaya Kholi Kr.2 Pathri Road Parbhani,96
59 - Parbhani,Arbindo Aksharjyoti Vidyalay Kholi Kr.1 Pathri Road Parbhani,96
60 - Parbhani,Arbindo Aksharjyoti Vidyalay Kholi Kr.2 Pathri Road Parbhani,96
61 - Parbhani,132 K.V.M.R.V.M Vishramgruha Jintur Road Kholi Kr. 1 Parbhani,96
62 - Parbhani,karykari abhiyanta yanche kaksha Ma. Ra. Vi.Pa.Com Jintur Road Parbhani,96
63 - Parbhani,132 k.v. parisar MSEB Office ganpati chouk Jintur Road Parbhani,96
64 - Parbhani,Indira Gandhi Urdu Prathmik Shala Sarfraz Nagar Kholi Kr. 1 Parbhani,96
65 - Parbhani,Indira Gandhi Urdu Prathmik Shala Sarfraz Nagar Kholi Kr. 2 Parbhani,96
66 - Parbhani,Prabhavati High School Navin Imarat Kholi Kr. 1 Parbhani,96
67 - Parbhani,Prabhavati High School Navin Imarat Madhyamik Vibhag Karyalaya Parbhani,96
68 - Parbhani,Prabhavati High School Kholi Kr. 12 Parbhani,96
69 - Parbhani,Prabhavati High School Kholi Kr. 6 Parbhani,96
70 - Parbhani,"Bharatiya Bal Vidya Mandir Madhya Baju Datta Mandir Javal Prabhavati Nagar, Juna Pedgaon road Kholi Kr. 4 Parbhani",96
71 - Parbhani,Beleshwar Institute Of Nursing Kholi Kr.3 Pardeshwar Mandir Samor Parbhani,96
72 - Parbhani,"Bharatiya Bal Vidya Mandir madhya Baju Datta Mandir Javal Prabhavati Nagar, Juna Pedgaon Road Kholi Kr. 6 Parbhani",96
73 - Parbhani,"Bharatiya Bal Vidya Mandir Kholi Kr. 5 Prabhavati Nagar, Juna Pedgaon Road Parbhani",96
74 - Parbhani,Home Guard Office Kholi Kr. 1 Juna Pedgaon Road Parbhani,96
75 - Parbhani,Home Guard Office Kholi Kr. 2 Juna Pedgaon Road Parbhani,96
76 - Parbhani,"Kai. Raosaheb Jamkar Madhyamik v ucch Madhyamik vidyalay Kholi Kr. 13 Jintur road, Parbhani",96
77 - Parbhani,"Kai. Raosaheb Jamkar Madhyamik v ucch Madhyamik vidyalay Kholi Kr. 17 Jintur road, Parbhani",96
78 - Parbhani,Prabhavati High School Kholi Kr. 10 Parbhani,96
79 - Parbhani,Prabhavati High School Kholi Kr. 11 Parbhani,96
