PS No & Name,Address,Constituency Number
1 - Dhrasur,Zila Parishad Primary School Room No.1 Dharasur,97
2 - Dharasur,Z. P. Pa. Sha. Dharasur Room No 2,97
3 - Dharasur,Z. P. P. S. Dharasur Room No 3,97
4 - Rumana,Z.P.Pa.Sha.Rumana East Side Kho.kr.01,97
5 - Rumna(j),Zila Parishad Primary School East Side Room No.2 Rumna J,97
6 - Javala Rumana,Z. P. Pa. Sha. Javala Ru.,97
7 - Sayala Sunegav,Z. P. Pa. Sha. Sayala Su.South Side,97
8 - Sayala Sunegav,Z.P.P.s. Sayala (S) North Side,97
9 - Muli,Zila Parishad Primary School Room No.1 Muli,97
10 - Muli,Zila Parishad Primary School Room No.2 Muli,97
11 - Dharkhed,Zila Parishad Primary School Dharkhed Room No.1,97
12 - Nagathana,Z. . P. Pra. Sha. Nagathana,97
13 - Masla,Zila Parishad Primary School Masala New Building Room No. 1,97
14 - Masla,Zila Parishad Primary School Masala New Building Room No. 2,97
15 - Savagi Bhu.,Z. P. Pra. Sha. Savagi Bhu.,97
16 - Ravrajur,"Z.P. Primary School Ravrajur, south Side, Room No. 1",97
17 - Ravrajur,"Z.P. Primary School Ravrajur, south Side, Room No. 2",97
18 - Ravarajur,Z. P. Pra. Sha. Ravarajur Uttarabaju Kholi Kr. 2,97
19 - Dhanevadi,Z. P. Pra. Sha. Dhanevadi,97
20 - Khuralevadi,Z. P. Pra. Sha. Navin Imarat Khuralevadi,97
21 - Kharbada,Jilha Parishad Prathamik Shala Kharbada Kholi kra.,97
22 - Vazur,Z. P. Pra. Sha. Vazur Kholi Kr. 1,97
23 - Vazur,Z.P.P.S.Wazur Room No.2,97
24 - Vazur,Z. P. Pra. Sha. Vazur Kholi Kr. 3,97
25 - Dagadavadi,Z. P. Pra. Sha. Dagadavadi Kholi kra.1,97
26 - Limala,Z. P. Pra. Sha. Limala kholi kra.1,97
27 - Dastapur,Z. P. Pra. Sha. Dastapur Kholi kra.1,97
28 - Kamalapur,Z. P. Pra. Sha. Kamalapur Kholi kra.1,97
29 - Makhani,Z. P. Pra. Sha. Makhani Kholi kra.1,97
30 - Shirakalas,Z. P. Pra. Sha. Sarv Shiksha Abhiyan Kholi Shiraka,97
31 - Balasa Bu.,Z. P. Pra. Sha. Balasa Bu.kholi kra.1,97
32 - Ismailapur,Z. P. Pra. Sha Ismailapur Kholi kra.1,97
33 - Ganpur,Z. P. Pra. Sha Ganpur kholi kra.1,97
