PS No & Name,Address,Constituency Number
1 - Dongargaon,"Zilla Parishad Primary School, Dongargaon Room no 1",98
2 - Dongargaon,"Zilla Parishad Primary School, Dongargaon Room no 2",98
3 - Kinhola Khurd,"Zilla Parishad Primary School, Kinhola Khurd Room no 1",98
4 - Renakhali,"Zilla Parishad Primary School, East side, Renakhali Room no 1",98
5 - Renakhali,"Zilla Parishad Primary School, West side, Renakhali Room no 3",98
6 - Renakhali,"Zilla Parishad Primary School, East side Renakhali Room No 2",98
7 - Devegaon,"Zilla Parishad Primary School, East side Devegaon Room no 1",98
8 - Devegaon,"Zilla Parishad Primary School, West side, Devegaon Room no 1",98
9 - Simurgavhan,"Zilla Parishad Primary School, Simurgavhan, Room no 1",98
10 - Manoli,"Zilla Parishad Primary School, East side, Manoli ,Room no 1",98
11 - Manoli,"Zilla Parishad Primary School, South side , Manoli Room No.2",98
12 - Karanji,"Zilla Parishad Primary School, Karanji, Room No 1 ,",98
13 - Karanji,"Zilla Parishad Primary School, Karanji, Room No 2 ,",98
14 - Iralad,"Zilla Parishad Primary School, Iralad , Room No 1,",98
15 - Iralad,"Zilla Parishad Primary School, Room No 2 , Iralad",98
16 - Sawangi Magar,"Zilla Parishad Primary School, Savangi Magar, Room No.1",98
17 - Gogalgaon,Anganwadi Kedra Gogalgaon Room No.1,98
18 - Gogalgaon,Anganwadi Kedra Gogalgaon Room No.2,98
19 - Mangrul Pa.P.,"Zilla Parishad Primary School, Mangarul P.P. Room No.1",98
20 - Naralad,"Zilla Parishad Primary School, Naralad Room No.1",98
21 - Takli Nilwarn,"Zilla Parishad Primary School,Takali Nilvarn Room No.1",98
22 - Kothala,"Zilla Parishad Primary School, Kothala, Room No 1",98
23 - Kothala/Rajura,"Zilla Parishad Primary School, Kothala , Room No 2",98
24 - Shevadi Jahangir/Pardi Takali,"Zilla Parishad Primary School, Shevadi Jahangir Room No.1",98
25 - Somthana/Atola,"Zilla Parishad Primary School, Somathana Room No.1",98
26 - Pimpalgaon S.M.,"Zilla Parishad Primary School, Pimpalgaon S.M. , Room No 1,",98
27 - Pimpalgaon S.M.,"Zilla Parishad Primary School, Pimpalgaon S.M. , Room No 2,",98
28 - Kashtgaon,"Zilla Parishad Primary School, Kashtgaon Room no 1",98
29 - Wadgaon Tarfe Takali,"Zilla Parishad Primary School, Wadgaon Tarfe Takali Room No.01",98
30 - Kumbhari,"Zilla Parishad Primary School, Kumbhari , Room Noa.1 ,",98
31 - Karala,"Zilla Parishad Primary School, Karala Room no 1",98
32 - Digras,"Zilla Parishad Primary School, Digras, Room No.1",98
33 - Arvi,"Zilla Parishad Primary School, Arvi , Room No.01",98
34 - Arvi,"Zilla Parishad Primary School, Arvi, Room no 4",98
35 - Arvi,"Zilla Parishad Primary School, Arvi , Room No.03",98
36 - Tuljapur,"Zilla Parishad Primary School, School, Room No.1 Tuljapur",98
37 - Hasnapur,"Zilla Parishad Primary School, Hasnapur, Room No.01",98
38 - Shahapur,"Zilla Parishad Primary School, Shahapur, Room No.1",98
39 - Ismailpur,"Zilla Parishad Primary School,Ismailapur Room No.1",98
40 - Pedgaon,"Zilla Parishad Kendriya Primary School Kanya, Pedgaon Room No 1",98
