PS No & Name,Address,Constituency Number
1 - Wadgaon(Sarhad),Z.P.Primary School Wadgaon(Sarhad),99
2 - Kokaramba,Z.P.Primary School Kokramba,99
3 - Shirapur,Z.P. Primary School Shirpur,99
4 - Wazar Sarkate,Z.P.P.School Wazar Sarkate East side,99
5 - Wazar Sarkate-2,Z.P.P.School Wazar Sarkate North Side,99
6 - Bhuvan,Z.P. Primary school Bhuvan West Side,99
7 - Waghala,Z.P.Primary School Waghala,99
8 - Talni,Z.P.Primary School Talni South Side,99
9 - Talni 1,Z.P.Primary School Talni east side,99
10 - Talni,Z.P.Primary School Talni Nourth side,99
11 - Talni 2,Z.P.Primary School Talni west side,99
12 - Kanadi,Z.P. Primary School Kanadi,99
13 - Devathana (pr. Ba. ),Z.P. Primary School Devthana (Pra.Ba.)east side,99
14 - Devathana (pr. Ba. ),Z.P. Primary School Devthana (Pra.Ba.)west,99
15 - Takalakhopa Incha,Z.P. Primary School Takalkhopa,99
16 - Limbakheda,Z.P. Primary School Limbkheda,99
17 - Hanavatakheda Chikhali,Z.P. Primary School Chikhali,99
18 - Dudha Sasakheda,Dudha,99
19 - Kirala,Z.P. Primary School Kirla,99
20 - Pokhari (kendhale ),Z.P. Primary School Pokhari (kendhale),99
21 - Belora,Z.P. Primary School Belora east side,99
22 - Belora,Z.P. Primary School Belora west side,99
23 - Shivanagiri,Z.P.P.School Shivangiri north side,99
24 - Shivangiri,Z.P. Primary School shivangiri South Side,99
25 - Eradeshwar,Z.p.p.s Erandeshwar West side,99
26 - Pimpalwadi,Z.P.Primary School Pimpalwadi,99
27 - Sawargaon Bhagde/ /Kharati/Raigavhan,Z.P.Primary School Sawargaon Bhagde/Kharati/Raigavhan,99
28 - Bibi,Z.P.Primary School Bibi,99
29 - Sondev,Z.P.Primary School Sondev,99
30 - Umari,Z.P.Primary School Umari,99
31 - Dhara,Z.P.Primary School Dhara,99
32 - Pathrud/Tanda,Z.P.Primary School Pathrud,99
33 - Pathrud/Tanda,Z.P.Primary School Pathrud,99
34 - Ukhali/Babar Pokhari,Z.P.Primary School Ukhali,99
35 - Shivnagar,Anganwadi offce shivnagar,99
36 - Pashta,Z.P.Primary School Pashta,99
37 - Nagapur,Z.P.Primary School Nagapu,99
38 - Erandwadgaon,Z.P.Primary School Erandwadgaon,99
39 - Jayapur,Z.P. Primary School Jaipur south side,99
40 - Jayapur,Z.P. Primary School Jaipur north side,99
41 - Daha,Z.P. Primary School Daha,99
42 - Tupa,Z.P.Primary school Tupa,99
43 - Jambharun,Z.P. Primary School Jambhrun,99
44 - Kokarsa,Z.P.Primaryschool Kokarsa,99
45 - Dahifal (khandare ),Z.P. Primary School Dahiphal Khandare east side,99
46 - Dahifal (khandare ),Z.P. Primary School Dahiphal Khandare balwadi east side,99
47 - Dahifal (khandare ),Z.P. Primary School Dahiphal Khandare west side,99
48 - Garateki,Z.P. Primary School Garteki North side,99
49 - Andhwadi,Z.P. Primary School Andhwadi,99
50 - Usvad,Z.P. Primary School Usvad east side,99
51 - Usvad,Z.P. Primary School Usvad west side,99
52 - Khoravad,Z.P. Primary School khorvad,99
53 - Ambhora (shelake ),Z.P. Primary School Ambhora shelke east side,99
54 - Ambhora (shelake ) Mohadari,Z.P. Primary School Ambhora shelke west side,99
55 - Kirtapur Kirtapur Tanda,Z.P. Primary School kirtapur,99
56 - Peva,Z.P. Primary School Peva,99
57 - Khorad Savangi,Z.P. Primary School khorad savangi south side,99
58 - Khorad Savangi,Z.P. Primary School khorad savangi west side,99
59 - Khorad Savangi Mal Savangi,Z.P. Primary School khorad savangi North side,99
60 - Talegav,Z.P. Primary School Talegaon,99
61 - Malegav,Z.P. Primary School Malegav east side,99
62 - Malegav,Z.P. Primary School Malegav west side,99
63 - Kehal Wadgaon,Z.P. Primary School Kehal Wadgaon,99
64 - Mahora,Z.P. Primary School Mahora,99
65 - Vaidhya Wadgaon,Z.P. Primary School Vaidhya Wadgaon east side,99
66 - Vaidhya Wadgaon Varud,Z.P. Primary School Vaidhya Wadgaon west side,99
67 - Pokhari (Takle ),Z.P. Primary School Pokhari Takle,99
68 - Warkheda Ner,Z.P.Primary School Warkhed Ner,99
69 - Sevli,Z.P.Primary School Sevli East Side Room No. 1,99
