PS No & Name,Address,Constituency Number
1 - Malkatar,Z P Primary School Malkatar North Side Room No 1,9
2 - Malkatar,Z P Primary School Malkatar West Side Room No 1,9
3 - Gadhaddeo,Z P Primary School Gadhaddev West Side Room No 1,9
4 - Gadhaddeo,Z P Primary School Gadhaddev East Side Room No 1,9
5 - Roshmal,Z P Primary School Roshmal South Side Room No 1,9
6 - Borpani,Z P Primary School Borapni Middle Room,9
7 - Fattepur (F),Z P Primary School Fattepur (F) East Side Room No 1,9
8 - Fattepur (F),Z P Primary School Fattepur (F) West Side Room No 1,9
9 - Vakpada,Z P Primary School Vakpada New Building East Side Room No 1,9
10 - Vakpada,Z P Primary School Vakpada New Building West Side Room No 1,9
11 - Manjnipada,Z P Primary School Manjanipada East Side Room No.1,9
12 - Manjnipada,Z P Primary School Manjanipada East Side Room No.2,9
13 - Chakadu,Z P Primary School Chakadu New Bulding East Side Room.No.1,9
14 - Chakdu,Z P Primary School Chakadu New Bulding West Side Room No 1,9
15 - Kodid,Z P Primary School Kodid New Buliding Kendra Shala West Side Room No 1,9
16 - Kodid,Z P Primary School Kodid New Buliding Kendra Shala East Side Room No 1,9
17 - Kodid,Z P Primary School Kodid New BulidingKendra Shala East Side Room No 2,9
18 - Takyapni,New Bulding Z P Primary School Takaypani,9
19 - Gurhadpani,Z P Primary School Gurhadpani Room No 1,9
20 - Nishanpani,Z P Primary School Nishanpani Room NO 1,9
21 - Samrydevi,Z P Pirmary School Samryadevi Room No.1,9
22 - Kakadmal,Z P Primary School Kakadma Est west Building Room No.2,9
23 - Durbadya,Z P Primary School Durbadya East Side Building Room No 1,9
24 - Durbadya,Z P Primary School Durbadya West Side Building Room No 1,9
25 - Shemlya,Z P Priamry School Hexagon Builiding Shemalya East Side Room No 1,9
26 - Shemlya,Z P Priamry School Building Shemalya East Side Room No.1,9
27 - Batvapada,Z P Primary School Batwapada New Building Room No 1,9
28 - Mohida,Z P Primary School Building Mohida North Side Room No 1,9
29 - Mohida,Z P Primary School Building Mohida South Side Room No 2,9
30 - Vakvad,Z P Primary School Building Vakvad South Side Room No 1,9
31 - Vakvad,Z P Primary School New Building Vakvad South Side Room No.1,9
32 - Umarda,"Z P Primary School Kendra Shala Umarda, North Side Building, Room No.1 From West",9
33 - Umarda,Z P Primary School Kendra Shala Umarda East Side Builiding Room No.1,9
34 - Zendeanjan,Z P Primary School Zendeanjan West Side Room No.1,9
35 - Zendeanjan,Z P Primary School Zendeanjan East Side Room no.1,9
36 - Kharyadondwada,Z P Primary School Dondwada Room No .1,9
37 - Chondipada,Z P Primary School Chodipada East Side Room No.1,9
38 - Chondipada,Anganwadi School Hexagon Builiding Room,9
39 - Tembhepada,"Z P Primary School Tembhepada,Middle Single Room (Sarvaya Shiksha Abhiyan Building)",9
40 - Tembhepada,"Z P Primary School Tembhepada, South Side, North South Building, Room No. 1 From North",9
41 - New Boradi,"Z P Primary School New Boradi, East West Building, East Side Room No. 1",9
42 - New Boradi,"Z P Primary School New Boradi, East West Building, East Side Room No. 2",9
43 - Navadhabapada,Z P Primary School Navadhabapada East West Building East Side room No.1,9
44 - Navadhabapada,Z P Primary School Navadhabapada East - West Building West Side Room No.1,9
45 - Boradi,Z P Primary School (Boys) Boradi Kendra Shala North Side Builiding East Side Room No 2,9
46 - Boradi,Z P Primary School (Boys) Boradi Kendra Shala North Side Builiding West Side Room No.1,9
47 - Boradi,"Z P Primary School Boradi West Side, North South Building, Room No. 2 from South",9
48 - Boradi,Pandit Javharlal Neharu Vidyalaya Boradi New Building North South Building North Side Room No .1,9
49 - Boradi,Pandit Javharlal Neharu Vidyalaya Boradi New Building North South Building North Side Room No .2,9
50 - Boradi,Pandit Javharlal Neharu Vidyalaya Boradi New Building North South Building South Side Room No .7,9
51 - Boradi,"Z P Primary School Sant Gadge Baba Nagar Boradi, East West Building, West Side Room No. 2",9
52 - Chinchpani,Z P Primary School Chinchpani North Side Room No 1,9
53 - Budki,Z P Primary School Budaki West Side Room No. 1,9
54 - Budki,Z P Primary School Budaki East Side Room No.1,9
55 - Vasardi,Z P Primary School Vasardi New Hexogonal Building,9
56 - Juna Chandsurya,Z P Primary School Juna Chandsurya New Builiding New Hexagonal Builiding,9
57 - Nandarde,"Z P Primary School Nandarde, New Builiding",9
58 - Samrypada,Z P Primary School Samarypada South Side Room No 1,9
59 - Wadi Khu,Z P Primary School Wadi Kh. North Side Room No 2,9
60 - Wadi Bk,Z P Primary School Wadi Bk South Side Builiding West Side Room No 1,9
61 - Wadi Bk,Z P Primary School wadi Bk North Side Builiding West Side Room No 2,9
