Year,Filename,Mismatches
2014,F20-053.xlsx,2
2014,F20-108.xlsx,32
2014,F20-023.xlsx,252
2014,F20-103.xlsx,37
2014,F20-161.xlsx,3
2014,F20-029.xlsx,5
2014,F20-062.xlsx,1
2014,F20-027.xlsx,3
2014,F20-133.xlsx,2
2014,F20-059.xlsx,2
2014,F20-156.xlsx,248
2014,F20-048.xlsx,5
2014,F20-134.xlsx,1
2014,F20-205.xlsx,11
2014,F20-080.xlsx,4
2014,F20-035.xlsx,1
2014,F20-022.xlsx,251
2014,F20-190.xlsx,48
2014,F20-037.xlsx,19
2014,F20-214.xlsx,2
2014,F20-197.xlsx,7
2014,F20-011.xlsx,237
2014,F20-104.xlsx,34
2014,F20-121.xlsx,5
2014,F20-124.xlsx,225
2014,F20-154.xlsx,1
2014,F20-222.xlsx,2
2014,F20-131.xlsx,8
2014,F20-187.xlsx,36
2014,F20-200.xlsx,5
2014,F20-195.xlsx,6
2014,F20-060.xlsx,5
2014,F20-040.xlsx,Error
2014,F20-024.xlsx,234
2014,F20-186.xlsx,13
2014,F20-110.xlsx,28
2014,F20-076.xlsx,6
2014,F20-166.xlsx,5
2014,F20-039.xlsx,2
2014,F20-153.xlsx,369
2014,F20-178.xlsx,269
2014,F20-079.xlsx,1
2014,F20-149.xlsx,1
2014,F20-028.xlsx,4
2014,F20-114.xlsx,1
2014,F20-165.xlsx,16
2014,F20-026.xlsx,217
2014,F20-203.xlsx,3
2014,F20-150.xlsx,2
2014,F20-184.xlsx,7
2014,F20-095.xlsx,2
2014,F20-201.xlsx,2
2014,F20-101.xlsx,5
2014,F20-137.xlsx,2
2014,F20-074.xlsx,227
2014,F20-096.xlsx,2
2014,F20-193.xlsx,5
2014,F20-058.xlsx,4
2014,F20-106.xlsx,38
2014,F20-077.xlsx,9
2014,F20-119.xlsx,5
2014,F20-071.xlsx,2
2014,F20-093.xlsx,3
2014,F20-013.xlsx,4
2014,F20-021.xlsx,218
2014,F20-146.xlsx,Error
2014,F20-105.xlsx,43
2014,F20-090.xlsx,5
2014,F20-107.xlsx,25
2014,F20-192.xlsx,79
2014,F20-179.xlsx,277
2014,F20-126.xlsx,6
2014,F20-054.xlsx,1
2014,F20-130.xlsx,1
2014,F20-007.xlsx,44
2014,F20-073.xlsx,211
2014,F20-032.xlsx,5
2014,F20-212.xlsx,3
2014,F20-089.xlsx,6
2014,F20-206.xlsx,1
2014,F20-199.xlsx,7
2014,F20-174.xlsx,50
2014,F20-094.xlsx,2
2014,F20-147.xlsx,5
2014,F20-163.xlsx,1
2014,F20-188.xlsx,19
2014,F20-207.xlsx,Error
2014,F20-202.xlsx,3
2014,F20-091.xlsx,11
2014,F20-139.xlsx,4
2014,F20-003.xlsx,3
2014,F20-141.xlsx,27
2014,F20-198.xlsx,7
2014,F20-050.xlsx,6
2014,F20-127.xlsx,5
2014,F20-018.xlsx,20
2014,F20-061.xlsx,1
2014,F20-168.xlsx,36
2014,F20-052.xlsx,Error
2014,F20-181.xlsx,Error
2014,F20-136.xlsx,2
2014,F20-006.xlsx,12
2014,F20-109.xlsx,43
2014,F20-189.xlsx,48
2014,F20-031.xlsx,5
2014,F20-125.xlsx,3
2014,F20-194.xlsx,6
2014,F20-151.xlsx,3
2014,F20-138.xlsx,1
2014,F20-140.xlsx,255
2014,F20-162.xlsx,5
2014,F20-088.xlsx,1
2014,F20-211.xlsx,54
2014,F20-017.xlsx,16
2014,F20-208.xlsx,11
2014,F20-160.xlsx,10
2014,F20-191.xlsx,60
2014,F20-009.xlsx,15
2014,F20-068.xlsx,210
2014,F20-041.xlsx,2
2014,F20-045.xlsx,2
2014,F20-117.xlsx,1
2014,F20-033.xlsx,7
2014,F20-049.xlsx,5
2014,F20-020.xlsx,220
